Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,4,4,0,0
Mar 25,5,5,0,0
Mar 26,5,5,0,0
Mar 27,5,5,0,0
Mar 28,5,5,0,0
Mar 29,5,5,0,0
Mar 30,5,5,0,0
Mar 31,5,5,0,0
Apr 01,5,5,0,0
Apr 02,7,7,0,0
Apr 03,7,7,0,0
Apr 04,12,12,0,0
Apr 05,12,12,0,0
Apr 06,14,14,0,0
Apr 07,15,15,0,0
Apr 08,15,15,0,0
Apr 09,15,15,0,0
Apr 10,16,16,0,0
Apr 11,16,16,0,0
Apr 12,16,16,0,0
Apr 13,16,16,0,0
Apr 14,16,16,0,0
Apr 15,16,16,0,0
Apr 16,17,17,0,0
Apr 17,17,17,0,0
Apr 18,17,17,0,0
Apr 19,17,17,0,0
Apr 20,18,15,0,3
Apr 21,18,10,0,8
Apr 22,18,10,0,8
Apr 23,18,10,0,8
Apr 24,18,8,0,10
Apr 25,18,8,0,10
Apr 26,18,6,0,12
Apr 27,18,6,0,12
Apr 28,18,6,0,12
Apr 29,18,6,0,12
Apr 30,18,6,0,12
May 01,18,6,0,12
May 02,18,4,0,14
May 03,18,4,0,14
May 04,18,4,0,14
May 05,18,4,0,14
May 06,18,4,0,14
May 07,18,4,0,14
May 08,18,4,0,14
May 09,18,4,0,14
May 10,18,4,0,14
May 11,18,4,0,14
May 12,18,4,0,14
May 13,18,4,0,14
May 14,18,4,0,14
May 15,18,3,0,15
May 16,18,3,0,15
May 17,18,3,0,15
May 18,18,3,0,15
May 19,18,3,0,15
May 20,18,3,0,15
May 21,18,3,0,15
May 22,18,3,0,15
May 23,18,3,0,15
May 24,18,3,0,15
May 25,18,3,0,15
May 26,18,3,0,15
May 27,18,3,0,15
May 28,18,3,0,15
May 29,18,3,0,15
May 30,18,3,0,15
May 31,18,3,0,15
Jun 01,18,3,0,15
Jun 02,18,3,0,15
Jun 03,18,3,0,15
Jun 04,18,0,0,18
Jun 05,18,0,0,18
Jun 06,18,0,0,18
Jun 07,18,0,0,18
Jun 08,18,0,0,18
Jun 09,18,0,0,18
Jun 10,18,0,0,18
Jun 11,18,0,0,18
Jun 12,18,0,0,18
Jun 13,18,0,0,18
Jun 14,18,0,0,18
Jun 15,18,0,0,18
Jun 16,18,0,0,18
Jun 17,18,0,0,18
Jun 18,18,0,0,18
Jun 19,18,0,0,18
Jun 20,18,0,0,18
Jun 21,18,0,0,18
Jun 22,18,0,0,18
Jun 23,18,0,0,18
Jun 24,18,0,0,18
Jun 25,18,0,0,18
Jun 26,18,0,0,18
Jun 27,18,0,0,18
Jun 28,18,0,0,18
Jun 29,18,0,0,18
Jun 30,18,0,0,18
Jul 01,18,0,0,18
Jul 02,18,0,0,18
Jul 03,18,0,0,18
Jul 04,18,0,0,18
Jul 05,18,0,0,18
Jul 06,19,1,0,18
Jul 07,21,3,0,18
Jul 08,21,3,0,18
Jul 09,21,3,0,18
Jul 10,26,8,0,18
Jul 11,26,8,0,18
Jul 12,26,8,0,18
Jul 13,26,8,0,18
Jul 14,26,8,0,18
Jul 15,26,8,0,18
Jul 16,26,8,0,18
Jul 17,26,8,0,18
Jul 18,26,8,0,18
Jul 19,26,8,0,18
Jul 20,27,9,0,18
Jul 21,27,9,0,18
Jul 22,27,9,0,18
Jul 23,27,9,0,18
Jul 24,27,9,0,18
Jul 25,27,9,0,18
Jul 26,27,9,0,18
Jul 27,27,9,0,18
Jul 28,27,9,0,18
Jul 29,27,9,0,18
Jul 30,27,9,0,18
Jul 31,27,8,1,19
Aug 01,27,8,1,19
Aug 02,27,8,1,19
Aug 03,27,8,1,19
Aug 04,27,8,1,19
Aug 05,27,8,1,19
Aug 06,27,8,1,19
Aug 07,27,8,1,19
Aug 08,27,8,1,19
Aug 09,27,8,1,19
Aug 10,27,8,1,19
Aug 11,27,8,1,19
Aug 12,27,8,1,19
Aug 13,28,7,1,21
Aug 14,28,7,1,21
Aug 15,28,7,1,21
Aug 16,28,7,1,21
Aug 17,28,7,1,21
Aug 18,28,7,1,21
Aug 19,28,7,1,21
Aug 20,28,7,1,21
