Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,4,4,0,0
Mar 25,5,5,0,0
Mar 26,5,5,0,0
Mar 27,5,5,0,0
Mar 28,5,5,0,0
Mar 29,5,5,0,0
Mar 30,5,5,0,0
Mar 31,5,5,0,0
Apr 01,5,5,0,0
Apr 02,7,7,0,0
Apr 03,7,7,0,0
Apr 04,12,12,0,0
Apr 05,12,12,0,0
Apr 06,14,14,0,0
Apr 07,15,15,0,0
Apr 08,15,15,0,0
Apr 09,15,15,0,0
Apr 10,16,16,0,0
Apr 11,16,16,0,0
Apr 12,16,16,0,0
Apr 13,16,16,0,0
Apr 14,16,16,0,0
Apr 15,16,16,0,0
Apr 16,17,17,0,0
Apr 17,17,17,0,0
Apr 18,17,17,0,0
Apr 19,17,17,0,0
Apr 20,18,15,0,3
Apr 21,18,10,0,8
Apr 22,18,10,0,8
Apr 23,18,10,0,8
Apr 24,18,8,0,10
Apr 25,18,8,0,10
Apr 26,18,6,0,12
Apr 27,18,6,0,12
Apr 28,18,6,0,12
Apr 29,18,6,0,12
Apr 30,18,6,0,12
May 01,18,6,0,12
May 02,18,4,0,14
May 03,18,4,0,14
May 04,18,4,0,14
May 05,18,4,0,14
May 06,18,4,0,14
May 07,18,4,0,14
May 08,18,4,0,14
May 09,18,4,0,14
May 10,18,4,0,14
May 11,18,4,0,14
May 12,18,4,0,14
May 13,18,4,0,14
May 14,18,4,0,14
May 15,18,3,0,15
May 16,18,3,0,15
May 17,18,3,0,15
May 18,18,3,0,15
May 19,18,3,0,15
May 20,18,3,0,15
May 21,18,3,0,15
May 22,18,3,0,15
May 23,18,3,0,15
May 24,18,3,0,15
May 25,18,3,0,15
May 26,18,3,0,15
May 27,18,3,0,15
May 28,18,3,0,15
May 29,18,3,0,15
May 30,18,3,0,15
May 31,18,3,0,15
Jun 01,18,3,0,15
Jun 02,18,3,0,15
Jun 03,18,3,0,15
Jun 04,18,0,0,18
Jun 05,18,0,0,18
Jun 06,18,0,0,18
Jun 07,18,0,0,18
Jun 08,18,0,0,18
Jun 09,18,0,0,18
Jun 10,18,0,0,18
Jun 11,18,0,0,18
