Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,0,0,1
Feb 16,1,0,0,1
Feb 17,1,0,0,1
Feb 18,1,0,0,1
Feb 19,1,0,0,1
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,2,1,0,1
Feb 27,2,1,0,1
Feb 28,3,2,0,1
Feb 29,3,2,0,1
Mar 01,6,5,0,1
Mar 02,7,6,0,1
Mar 03,7,6,0,1
Mar 04,7,6,0,1
Mar 05,12,11,0,1
Mar 06,15,14,0,1
Mar 07,19,18,0,1
Mar 08,25,24,0,1
Mar 09,33,32,0,1
Mar 10,40,39,0,1
Mar 11,65,64,0,1
Mar 12,109,108,0,1
Mar 13,155,154,0,1
Mar 14,225,215,0,10
Mar 15,244,234,0,10
Mar 16,278,268,0,10
Mar 17,322,312,0,10
Mar 18,359,349,0,10
Mar 19,400,390,0,10
Mar 20,450,440,0,10
Mar 21,523,512,1,11
Mar 22,626,615,1,11
Mar 23,700,689,1,11
Mar 24,792,781,1,11
Mar 25,880,867,3,13
Mar 26,958,943,5,15
Mar 27,1041,1024,7,17
Mar 28,1167,1148,9,19
Mar 29,1240,1219,11,21
Mar 30,1352,1329,13,23
Mar 31,1418,1391,17,27
Apr 01,1446,1419,17,27
Apr 02,1518,1199,19,319
Apr 03,1615,1295,20,320
Apr 04,1882,1557,25,325
Apr 05,1927,1599,28,328
Apr 06,2176,1849,27,327
Apr 07,2308,1974,34,334
Apr 08,2487,2147,40,340
Apr 09,2605,2263,42,342
Apr 10,2769,2421,48,348
Apr 11,2905,2556,49,349
Apr 12,2974,2618,56,356
Apr 13,3064,2705,59,359
Apr 14,3161,2797,64,364
Apr 15,3237,2865,72,372
Apr 16,3369,1594,75,1775
Apr 17,3489,1707,82,1782
Apr 18,3681,1891,90,1790
Apr 19,3783,1989,94,1794
Apr 20,3868,1770,98,2098
Apr 21,4014,1873,141,2141
Apr 22,4129,1980,149,2149
Apr 23,4284,2112,172,2172
Apr 24,4395,1718,177,2677
Apr 25,4475,1789,186,2686
Apr 26,4576,1886,190,2690
Apr 27,4695,2002,193,2693
Apr 28,4740,1741,199,2999
Apr 29,4906,1900,206,3006
Apr 30,4995,1784,211,3211
May 01,5051,1833,218,3218
May 02,5176,1956,220,3220
May 03,5254,2024,230,3230
May 04,5327,1587,240,3740
May 05,5412,1666,246,3746
May 06,5573,1821,252,3752
May 07,5673,1918,255,3755
May 08,5738,1478,260,4260
May 09,5880,1615,265,4265
May 10,5962,1695,267,4267
May 11,5984,1713,271,4271
May 12,6003,1428,275,4575
May 13,6054,1470,284,4584
May 14,6145,1558,287,4587
May 15,6228,935,293,5293
May 16,6286,989,297,5297
May 17,6347,1049,298,5298
May 18,6380,1080,300,5300
May 19,6399,1098,301,5301
May 20,6443,1339,304,5104
May 21,6493,1387,306,5106
May 22,6537,1431,306,5106
May 23,6568,1462,306,5106
May 24,6579,1472,307,5107
May 25,6599,1191,308,5408
May 26,6628,1216,312,5412
May 27,6692,1279,313,5413
May 28,6743,930,313,5813
May 29,6776,962,314,5814
May 30,6826,1010,316,5816
May 31,6859,1041,318,5818
Jun 01,6885,1067,318,5818
Jun 02,6887,1067,320,5820
Jun 03,6911,1090,321,5821
Jun 04,6911,789,322,6122
Jun 05,6941,819,322,6122
Jun 06,6964,842,322,6122
Jun 07,6981,858,323,6123
Jun 08,7001,878,323,6123
Jun 09,7025,901,324,6124
Jun 10,7040,916,324,6124
Jun 11,7064,539,325,6525
