Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,5,5,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,5,5,0,0
Mar 11,6,6,0,0
Mar 12,6,6,0,0
Mar 13,6,6,0,0
Mar 14,7,7,0,0
Mar 15,7,7,0,0
Mar 16,11,11,0,0
Mar 17,15,15,0,0
Mar 18,15,15,0,0
Mar 19,15,15,0,0
Mar 20,15,15,0,0
Mar 21,18,18,0,0
Mar 22,18,18,0,0
Mar 23,20,14,0,6
Mar 24,23,17,0,6
Mar 25,28,22,0,6
Mar 26,28,22,0,6
Mar 27,28,22,0,6
Mar 28,28,22,0,6
Mar 29,43,37,0,6
Mar 30,43,37,0,6
Mar 31,51,36,0,15
Apr 01,51,36,0,15
Apr 02,51,36,0,15
Apr 03,57,35,0,22
Apr 04,61,39,0,22
Apr 05,68,41,0,27
Apr 06,72,38,0,34
Apr 07,77,43,0,34
Apr 08,83,40,0,43
Apr 09,83,40,0,43
Apr 10,83,40,0,43
Apr 11,86,35,0,51
Apr 12,86,35,0,51
Apr 13,86,35,0,51
Apr 14,86,35,0,51
Apr 15,86,35,0,51
Apr 16,86,35,0,51
Apr 17,96,35,0,61
Apr 18,96,32,0,64
Apr 19,96,32,0,64
Apr 20,97,27,1,70
Apr 21,97,20,1,77
Apr 22,107,22,1,85
Apr 23,107,22,1,85
Apr 24,111,23,1,88
Apr 25,111,23,1,88
Apr 26,111,23,1,88
Apr 27,111,23,1,88
Apr 28,125,31,1,94
Apr 29,125,31,1,94
Apr 30,126,31,1,95
May 01,128,29,1,99
May 02,128,29,1,99
May 03,128,29,1,99
May 04,133,32,1,101
May 05,133,32,1,101
May 06,138,26,1,112
May 07,138,25,1,113
May 08,141,27,1,114
May 09,141,21,1,120
May 10,144,21,1,123
May 11,144,21,1,123
May 12,153,30,1,123
May 13,164,39,1,125
May 14,184,59,1,125
May 15,189,64,1,125
May 16,197,71,1,126
May 17,197,71,1,126
May 18,210,78,1,132
May 19,218,81,1,137
May 20,237,100,1,137
May 21,249,111,1,138
May 22,261,119,1,142
May 23,279,135,1,144
May 24,328,182,1,146
May 25,353,206,1,147
May 26,384,237,1,147
May 27,406,255,1,151
May 28,436,274,1,162
May 29,450,277,1,173
May 30,477,291,1,186
May 31,499,298,1,201
Jun 01,499,298,1,201
Jun 02,517,309,1,208
Jun 03,533,278,1,255
Jun 04,556,259,1,297
Jun 05,589,267,1,322
Jun 06,639,290,1,349
Jun 07,689,305,1,384
Jun 08,729,327,2,402
Jun 09,773,344,2,429
Jun 10,865,406,2,459
Jun 11,917,453,2,464
Jun 12,1043,552,2,491
Jun 13,1161,639,2,522
Jun 14,1255,718,3,537
Jun 15,1326,771,3,555
Jun 16,1421,797,5,624
Jun 17,1554,886,5,668
Jun 18,1758,969,5,789
Jun 19,1969,1124,5,845
Jun 20,2163,1268,5,895
Jun 21,2441,1505,6,936
Jun 22,2458,1478,8,980
Jun 23,2593,1569,8,1024
Jun 24,2827,1762,9,1065
Jun 25,3033,1927,10,1106
Jun 26,3270,2093,11,1177
Jun 27,3461,2200,12,1261
Jun 28,3461,2200,12,1261
Jun 29,3774,2407,15,1367
Jun 30,4004,2481,15,1523
Jul 01,4268,2650,16,1618
Jul 02,4444,2748,16,1696
Jul 03,4558,2765,16,1793
Jul 04,4913,3031,16,1882
Jul 05,4913,3031,16,1882
Jul 06,5054,3050,20,2004
Jul 07,5178,3038,21,2140
Jul 08,5459,3088,22,2371
Jul 09,5558,2981,22,2577
Jul 10,5704,2896,23,2808
Jul 11,5949,2942,26,3007
Jul 12,5949,2942,26,3007
Jul 13,6170,2931,29,3239
Jul 14,6229,2726,31,3503
Jul 15,6299,2528,33,3771
Jul 16,6393,2541,34,3852
Jul 17,6509,2543,34,3966
Jul 18,6655,2346,37,4309
Jul 19,6655,2346,37,4309
Jul 20,6745,1993,38,4752
Jul 21,6851,1816,39,5035
Jul 22,6883,1567,39,5316
Jul 23,7086,1670,40,5416
Jul 24,7251,1688,41,5563
Jul 25,7332,1524,41,5808
Jul 26,7332,1524,41,5808
Jul 27,7514,1425,42,6089
Jul 28,7562,1413,43,6149
Jul 29,7647,1428,43,6219
Jul 30,7728,1415,43,6313
Jul 31,7799,1370,43,6429
Aug 01,7857,1283,43,6574
Aug 02,7857,1283,43,6574
Aug 03,7948,1137,44,6811
Aug 04,7998,1080,45,6918
Aug 05,8069,947,47,7122
Aug 06,8127,840,47,7287
Aug 07,8204,837,47,7367
Aug 08,8267,718,48,7549
Aug 09,8267,718,48,7549
Aug 10,8324,726,49,7598
Aug 11,8360,679,49,7681
Aug 12,8423,660,50,7763
Aug 13,8471,636,51,7835
Aug 14,8549,655,53,7894
Aug 15,8588,642,53,7946
Aug 16,8588,642,53,7946
Aug 17,8622,584,53,8038
Aug 18,8657,550,53,8107
Aug 19,8711,545,54,8166
Aug 20,8743,500,54,8243
