Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,5,5,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,5,5,0,0
Mar 11,6,6,0,0
Mar 12,6,6,0,0
Mar 13,6,6,0,0
Mar 14,7,7,0,0
Mar 15,7,7,0,0
Mar 16,11,11,0,0
Mar 17,15,15,0,0
Mar 18,15,15,0,0
Mar 19,15,15,0,0
Mar 20,15,15,0,0
Mar 21,18,18,0,0
Mar 22,18,18,0,0
Mar 23,20,14,0,6
Mar 24,23,17,0,6
Mar 25,28,22,0,6
Mar 26,28,22,0,6
Mar 27,28,22,0,6
Mar 28,28,22,0,6
Mar 29,43,37,0,6
Mar 30,43,37,0,6
Mar 31,51,36,0,15
Apr 01,51,36,0,15
Apr 02,51,36,0,15
Apr 03,57,35,0,22
Apr 04,61,39,0,22
Apr 05,68,41,0,27
Apr 06,72,38,0,34
Apr 07,77,43,0,34
Apr 08,83,40,0,43
Apr 09,83,40,0,43
Apr 10,83,40,0,43
Apr 11,86,35,0,51
Apr 12,86,35,0,51
Apr 13,86,35,0,51
Apr 14,86,35,0,51
Apr 15,86,35,0,51
Apr 16,86,35,0,51
Apr 17,96,35,0,61
Apr 18,96,32,0,64
Apr 19,96,32,0,64
Apr 20,97,27,1,70
Apr 21,97,20,1,77
Apr 22,107,22,1,85
Apr 23,107,22,1,85
Apr 24,111,23,1,88
Apr 25,111,23,1,88
Apr 26,111,23,1,88
Apr 27,111,23,1,88
Apr 28,125,31,1,94
Apr 29,125,31,1,94
Apr 30,126,31,1,95
May 01,128,29,1,99
May 02,128,29,1,99
May 03,128,29,1,99
May 04,133,32,1,101
May 05,133,32,1,101
May 06,138,26,1,112
May 07,138,25,1,113
May 08,141,27,1,114
May 09,141,21,1,120
May 10,144,21,1,123
May 11,144,21,1,123
May 12,153,30,1,123
May 13,164,39,1,125
May 14,184,59,1,125
May 15,189,64,1,125
May 16,197,71,1,126
May 17,197,71,1,126
May 18,210,78,1,132
May 19,218,81,1,137
May 20,237,100,1,137
May 21,249,111,1,138
May 22,261,119,1,142
May 23,279,135,1,144
May 24,328,182,1,146
May 25,353,206,1,147
May 26,384,237,1,147
May 27,406,255,1,151
