Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,3,3,0,0
Mar 18,3,3,0,0
Mar 19,3,3,0,0
Mar 20,4,3,1,1
Mar 21,5,4,1,1
Mar 22,5,4,1,1
Mar 23,6,5,1,1
Mar 24,6,5,1,1
Mar 25,6,5,1,1
Mar 26,7,6,1,1
Mar 27,7,6,1,1
Mar 28,7,6,1,1
Mar 29,7,6,1,1
Mar 30,7,6,1,1
Mar 31,16,15,1,1
Apr 01,18,17,1,1
Apr 02,21,20,1,1
Apr 03,21,19,1,2
Apr 04,21,19,1,2
Apr 05,21,19,1,2
Apr 06,24,22,1,2
Apr 07,30,28,1,2
Apr 08,34,32,1,2
Apr 09,44,42,1,2
Apr 10,44,42,1,2
Apr 11,46,44,1,2
Apr 12,49,47,1,2
Apr 13,57,55,1,2
Apr 14,57,55,1,2
Apr 15,80,75,1,5
Apr 16,80,75,1,5
Apr 17,108,100,1,8
Apr 18,108,100,1,8
Apr 19,109,101,1,8
Apr 20,120,112,1,8
Apr 21,156,139,1,17
Apr 22,166,141,1,25
Apr 23,167,141,2,26
Apr 24,172,143,3,29
Apr 25,176,143,3,33
Apr 26,176,143,3,33
Apr 27,211,165,3,46
Apr 28,238,182,3,56
Apr 29,276,206,3,70
Apr 30,276,206,3,70
May 01,276,206,3,70
May 02,335,245,5,90
May 03,335,245,5,90
May 04,367,268,6,99
May 05,397,298,6,99
May 06,397,298,6,99
May 07,504,386,8,118
May 08,620,502,8,118
May 09,661,543,8,118
May 10,661,543,8,118
May 11,802,666,9,136
May 12,863,717,9,146
May 13,1004,843,9,161
May 14,1104,912,10,192
May 15,1209,980,10,229
May 16,1320,1065,11,255
May 17,1320,1065,11,255
May 18,1432,1120,11,312
May 19,1502,1172,12,330
May 20,1567,1190,12,377
May 21,1567,1190,12,377
May 22,1728,1314,12,414
May 23,1934,1463,12,471
May 24,1934,1463,12,471
May 25,2135,1559,14,576
May 26,2238,1631,14,607
May 27,2319,1674,14,645
May 28,2431,1749,14,682
May 29,2613,1889,15,724
May 30,2655,1916,17,739
May 31,2655,1916,17,739
Jun 01,2655,1916,17,739
Jun 02,2803,2004,20,799
Jun 03,2902,2081,20,821
Jun 04,2955,2116,21,839
Jun 05,3101,2247,21,854
Jun 06,3101,2247,21,854
Jun 07,3101,2247,21,854
Jun 08,3101,2247,21,854
Jun 09,3247,2288,21,959
Jun 10,3294,2317,21,977
Jun 11,3463,2416,23,1047
