Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,2,1,1,1
Mar 24,3,2,1,1
Mar 25,3,2,1,1
Mar 26,3,2,1,1
Mar 27,3,2,1,1
Mar 28,3,2,1,1
Mar 29,4,3,1,1
Mar 30,4,3,1,1
Mar 31,4,3,1,1
Apr 01,4,1,1,3
Apr 02,4,1,1,3
Apr 03,4,1,1,3
Apr 04,4,1,1,3
Apr 05,4,1,1,3
Apr 06,4,1,1,3
Apr 07,4,1,1,3
Apr 08,4,1,1,3
Apr 09,4,1,1,3
Apr 10,4,1,1,3
Apr 11,9,6,1,3
Apr 12,9,6,1,3
Apr 13,9,6,1,3
Apr 14,9,6,1,3
Apr 15,9,6,1,3
Apr 16,9,6,1,3
Apr 17,9,6,1,3
Apr 18,9,6,1,3
Apr 19,10,7,1,3
Apr 20,10,7,1,3
Apr 21,10,7,1,3
Apr 22,10,7,1,3
Apr 23,10,7,1,3
Apr 24,10,1,1,9
Apr 25,10,1,1,9
Apr 26,10,1,1,9
Apr 27,10,1,1,9
Apr 28,10,1,1,9
Apr 29,10,1,1,9
Apr 30,11,2,1,9
May 01,12,3,1,9
May 02,17,7,1,10
May 03,17,7,1,10
May 04,17,7,1,10
May 05,17,7,1,10
May 06,17,7,1,10
May 07,18,8,1,10
May 08,20,10,1,10
May 09,20,10,1,10
May 10,20,10,1,10
May 11,22,11,1,11
May 12,22,11,1,11
May 13,23,12,1,11
May 14,23,12,1,11
May 15,23,12,1,11
May 16,23,10,1,13
May 17,23,10,1,13
May 18,24,10,1,14
May 19,24,10,1,14
May 20,24,10,1,14
May 21,24,10,1,14
May 22,25,11,1,14
May 23,25,11,1,14
May 24,25,11,1,14
May 25,25,7,1,18
May 26,25,6,1,19
May 27,25,5,1,20
May 28,25,5,1,20
May 29,25,4,1,21
May 30,25,4,1,21
May 31,25,4,1,21
Jun 01,25,4,1,21
Jun 02,25,4,1,21
Jun 03,26,5,1,21
Jun 04,26,5,1,21
Jun 05,26,4,1,22
Jun 06,26,4,1,22
Jun 07,26,4,1,22
Jun 08,28,6,1,22
Jun 09,28,6,1,22
Jun 10,28,5,1,23
Jun 11,28,5,1,23
Jun 12,28,5,1,23
Jun 13,28,3,1,25
Jun 14,28,3,1,25
Jun 15,30,5,1,25
Jun 16,34,9,1,25
Jun 17,34,9,1,25
Jun 18,36,11,1,25
Jun 19,36,11,1,25
Jun 20,36,11,1,25
Jun 21,37,11,2,26
Jun 22,41,13,2,28
Jun 23,41,13,2,28
Jun 24,42,14,2,28
Jun 25,42,14,2,28
Jun 26,43,15,2,28
Jun 27,44,16,2,28
Jun 28,45,17,2,28
Jun 29,47,19,2,28
Jun 30,49,20,2,29
Jul 01,49,20,2,29
Jul 02,55,26,2,29
Jul 03,55,26,2,29
Jul 04,57,28,2,29
Jul 05,57,28,2,29
Jul 06,61,31,3,30
Jul 07,61,31,3,30
Jul 08,61,31,3,30
Jul 09,63,28,3,35
Jul 10,64,27,3,37
Jul 11,64,27,3,37
Jul 12,64,27,3,37
Jul 13,64,27,3,37
Jul 14,64,27,3,37
Jul 15,64,27,3,37
Jul 16,78,41,3,37
Jul 17,78,41,3,37
Jul 18,93,40,4,53
Jul 19,93,40,4,53
Jul 20,112,51,4,61
Jul 21,112,51,4,61
Jul 22,146,84,5,62
Jul 23,170,107,5,63
Jul 24,216,150,6,66
Jul 25,326,260,6,66
Jul 26,326,260,6,66
Jul 27,403,329,8,74
Jul 28,403,329,8,74
Jul 29,498,424,8,74
Jul 30,541,467,8,74
Jul 31,584,507,9,77
Aug 01,627,550,9,77
Aug 02,671,594,9,77
Aug 03,671,594,9,77
Aug 04,671,578,14,93
Aug 05,799,668,16,131
Aug 06,935,783,16,152
Aug 07,1090,925,19,165
Aug 08,1090,925,19,165
Aug 09,1235,991,23,244
Aug 10,1235,991,23,244
Aug 11,1346,1087,32,259
Aug 12,1477,1197,33,280
Aug 13,1556,1246,43,310
Aug 14,1623,1269,50,354
Aug 15,1689,1288,54,401
Aug 16,1872,1408,63,464
Aug 17,1872,1408,63,464
Aug 18,2116,1638,63,478
Aug 19,2288,1776,77,512
Aug 20,2401,1885,81,516
