Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,2,1,1,1
Mar 24,3,2,1,1
Mar 25,3,2,1,1
Mar 26,3,2,1,1
Mar 27,3,2,1,1
Mar 28,3,2,1,1
Mar 29,4,3,1,1
Mar 30,4,3,1,1
Mar 31,4,3,1,1
Apr 01,4,1,1,3
Apr 02,4,1,1,3
Apr 03,4,1,1,3
Apr 04,4,1,1,3
Apr 05,4,1,1,3
Apr 06,4,1,1,3
Apr 07,4,1,1,3
Apr 08,4,1,1,3
Apr 09,4,1,1,3
Apr 10,4,1,1,3
Apr 11,9,6,1,3
Apr 12,9,6,1,3
Apr 13,9,6,1,3
Apr 14,9,6,1,3
Apr 15,9,6,1,3
Apr 16,9,6,1,3
Apr 17,9,6,1,3
Apr 18,9,6,1,3
Apr 19,10,7,1,3
Apr 20,10,7,1,3
Apr 21,10,7,1,3
Apr 22,10,7,1,3
Apr 23,10,7,1,3
Apr 24,10,1,1,9
Apr 25,10,1,1,9
Apr 26,10,1,1,9
Apr 27,10,1,1,9
Apr 28,10,1,1,9
Apr 29,10,1,1,9
Apr 30,11,2,1,9
May 01,12,3,1,9
May 02,17,7,1,10
May 03,17,7,1,10
May 04,17,7,1,10
May 05,17,7,1,10
May 06,17,7,1,10
May 07,18,8,1,10
May 08,20,10,1,10
May 09,20,10,1,10
May 10,20,10,1,10
May 11,22,11,1,11
May 12,22,11,1,11
May 13,23,12,1,11
May 14,23,12,1,11
May 15,23,12,1,11
May 16,23,10,1,13
May 17,23,10,1,13
May 18,24,10,1,14
May 19,24,10,1,14
May 20,24,10,1,14
May 21,24,10,1,14
May 22,25,11,1,14
May 23,25,11,1,14
May 24,25,11,1,14
May 25,25,7,1,18
May 26,25,6,1,19
May 27,25,5,1,20
