Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,2,2,0,0
Feb 29,3,3,0,0
Mar 01,3,3,0,0
Mar 02,3,3,0,0
Mar 03,3,3,0,0
Mar 04,3,3,0,0
Mar 05,9,9,0,0
Mar 06,9,9,0,0
Mar 07,13,13,0,0
Mar 08,13,13,0,0
Mar 09,15,15,0,0
Mar 10,23,23,0,0
Mar 11,24,24,0,0
Mar 12,25,25,0,0
Mar 13,25,25,0,0
Mar 14,30,30,0,0
Mar 15,33,32,0,1
Mar 16,33,32,0,1
Mar 17,34,33,0,1
Mar 18,38,37,0,1
Mar 19,40,39,0,1
Mar 20,44,43,0,1
Mar 21,49,48,0,1
Mar 22,54,53,0,1
Mar 23,61,53,0,8
Mar 24,70,61,0,9
Mar 25,75,65,0,10
Mar 26,79,68,0,11
Mar 27,83,69,0,14
Mar 28,90,76,0,14
Mar 29,91,73,0,18
Mar 30,103,83,0,20
Mar 31,110,89,0,21
Apr 01,117,94,0,23
Apr 02,134,108,0,26
Apr 03,155,127,0,28
Apr 04,162,125,1,37
Apr 05,174,136,2,38
Apr 06,188,147,2,41
Apr 07,196,147,3,49
Apr 08,211,158,3,53
Apr 09,218,164,3,54
Apr 10,234,177,3,57
Apr 11,242,179,3,63
Apr 12,257,187,3,70
Apr 13,272,201,3,71
Apr 14,300,228,3,72
Apr 15,306,232,3,74
Apr 16,348,269,3,79
Apr 17,370,288,3,82
Apr 18,388,298,4,90
Apr 19,394,297,4,97
Apr 20,402,303,4,99
Apr 21,408,307,4,101
Apr 22,416,304,5,112
Apr 23,425,309,5,116
Apr 24,444,307,5,137
Apr 25,456,312,5,144
Apr 26,486,331,6,155
Apr 27,497,335,6,162
Apr 28,511,337,6,174
