Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,2,2,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,6,6,0,0
Mar 16,6,6,0,0
Mar 17,7,7,0,0
Mar 18,7,7,0,0
Mar 19,11,11,0,0
Mar 20,16,16,0,0
Mar 21,21,20,1,1
Mar 22,23,22,1,1
Mar 23,27,25,2,2
Mar 24,53,51,2,2
Mar 25,68,64,4,4
Mar 26,132,127,4,5
Mar 27,137,131,4,6
Mar 28,141,134,5,7
Mar 29,152,145,5,7
Mar 30,152,145,5,7
Mar 31,161,125,5,36
Apr 01,195,159,5,36
Apr 02,204,168,5,36
Apr 03,205,169,5,36
Apr 04,205,169,5,36
Apr 05,214,178,5,36
Apr 06,214,178,5,36
Apr 07,287,251,5,36
Apr 08,313,273,6,40
Apr 09,378,369,6,9
Apr 10,378,368,6,10
Apr 11,408,396,8,12
Apr 12,566,554,8,12
Apr 13,566,554,8,12
Apr 14,636,611,8,25
Apr 15,641,550,8,91
Apr 16,641,550,8,91
Apr 17,641,550,8,91
Apr 18,834,726,9,108
Apr 19,1042,934,9,108
Apr 20,1042,934,9,108
Apr 21,1042,934,9,108
Apr 22,1154,1046,9,108
Apr 23,1154,1046,9,108
Apr 24,1279,1135,10,144
Apr 25,1279,1135,10,144
Apr 26,1550,1384,11,166
Apr 27,1550,1384,11,166
Apr 28,1671,1467,16,204
Apr 29,1671,1467,16,204
Apr 30,2074,1845,17,229
May 01,2074,1845,17,229
May 02,2169,1922,18,247
May 03,2169,1922,18,247
May 04,2719,2407,18,312
May 05,2719,2407,18,312
May 06,3091,2779,18,312
May 07,3091,2770,18,321
May 08,4012,3671,18,341
May 09,4263,3863,22,400
May 10,4263,3863,22,400
May 11,4700,4184,22,516
May 12,5127,4611,22,516
May 13,5408,4870,24,538
May 14,5530,4832,24,698
May 15,5638,4150,28,1488
May 16,5735,3952,29,1783
May 17,5735,3952,29,1783
May 18,5735,3952,29,1783
May 19,6096,4292,31,1804
May 20,6269,4340,31,1929
May 21,6269,4340,31,1929
May 22,6486,4504,31,1982
May 23,6617,4608,31,2009
May 24,6683,4653,32,2030
May 25,6808,4706,32,2102
May 26,7117,4766,34,2351
May 27,7303,4857,34,2446
May 28,7303,4857,34,2446
May 29,7616,5161,34,2455
May 30,7768,5193,35,2575
May 31,7881,5004,36,2877
Jun 01,8070,5087,36,2983
Jun 02,8297,5273,38,3024
Jun 03,8548,5378,38,3170
Jun 04,8885,5658,38,3227
Jun 05,9168,5669,42,3499
Jun 06,9462,5871,44,3591
Jun 07,9638,5958,44,3680
Jun 08,9910,6217,48,3693
Jun 09,10201,6398,48,3803
Jun 10,10201,6398,48,3803
Jun 11,10358,6486,48,3872
