Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,0,0,1
Mar 09,1,0,0,1
Mar 10,1,0,0,1
Mar 11,1,0,0,1
Mar 12,1,0,0,1
Mar 13,1,0,0,1
Mar 14,1,0,0,1
Mar 15,1,0,0,1
Mar 16,3,2,0,1
Mar 17,3,1,0,2
Mar 18,8,6,0,2
Mar 19,10,8,0,2
Mar 20,10,8,0,2
Mar 21,10,8,0,2
Mar 22,15,13,0,2
Mar 23,15,10,0,5
Mar 24,15,10,0,5
Mar 25,26,21,0,5
Mar 26,35,22,0,13
Mar 27,55,41,0,14
Mar 28,56,42,0,14
Mar 29,65,51,0,14
Mar 30,69,35,0,34
Mar 31,69,35,0,34
Apr 01,81,47,0,34
Apr 02,88,42,0,46
Apr 03,95,49,0,46
Apr 04,98,46,0,52
Apr 05,103,51,0,52
Apr 06,109,57,0,52
Apr 07,113,53,0,60
Apr 08,120,60,0,60
Apr 09,123,63,0,60
Apr 10,127,58,0,69
Apr 11,129,45,0,84
Apr 12,129,45,0,84
Apr 13,129,36,0,93
Apr 14,129,36,0,93
Apr 15,131,27,0,104
Apr 16,131,27,0,104
Apr 17,132,27,0,105
Apr 18,132,21,0,111
Apr 19,132,12,0,120
Apr 20,132,12,0,120
Apr 21,132,12,0,120
Apr 22,132,5,0,127
Apr 23,133,4,0,129
Apr 24,133,2,0,131
Apr 25,136,5,0,131
Apr 26,141,10,0,131
Apr 27,141,10,0,131
Apr 28,141,10,0,131
Apr 29,141,10,0,131
Apr 30,144,13,0,131
May 01,144,13,0,131
May 02,144,12,0,132
May 03,144,12,0,132
May 04,144,11,0,133
May 05,144,11,0,133
May 06,144,8,0,136
May 07,144,3,0,141
May 08,146,4,0,142
May 09,146,4,0,142
May 10,146,3,0,143
May 11,147,4,0,143
May 12,147,3,0,144
May 13,147,3,0,144
May 14,147,3,0,144
May 15,147,3,0,144
May 16,147,2,0,145
May 17,147,2,0,145
May 18,147,2,0,145
May 19,147,2,0,145
May 20,149,4,0,145
May 21,151,5,0,146
May 22,151,4,0,147
May 23,152,5,0,147
May 24,154,7,0,147
May 25,154,7,0,147
May 26,154,7,0,147
May 27,157,10,0,147
May 28,158,11,0,147
May 29,161,13,0,148
May 30,169,20,0,149
May 31,170,21,0,149
Jun 01,170,19,0,151
Jun 02,172,21,0,151
Jun 03,173,20,0,153
Jun 04,173,20,0,153
Jun 05,174,21,0,153
Jun 06,175,20,0,155
Jun 07,176,12,0,164
Jun 08,176,11,0,165
Jun 09,176,11,0,165
Jun 10,176,7,0,169
Jun 11,176,5,0,171
Jun 12,176,4,0,172
Jun 13,176,3,0,173
Jun 14,176,3,0,173
Jun 15,176,2,0,174
Jun 16,176,2,0,174
Jun 17,176,0,0,176
Jun 18,176,0,0,176
Jun 19,176,0,0,176
Jun 20,176,0,0,176
Jun 21,176,0,0,176
Jun 22,176,0,0,176
Jun 23,176,0,0,176
Jun 24,176,0,0,176
Jun 25,176,0,0,176
Jun 26,176,0,0,176
Jun 27,177,1,0,176
Jun 28,177,1,0,176
Jun 29,177,1,0,176
Jun 30,177,1,0,176
Jul 01,178,2,0,176
Jul 02,178,2,0,176
Jul 03,178,2,0,176
Jul 04,178,2,0,176
Jul 05,179,3,0,176
Jul 06,179,3,0,176
Jul 07,179,3,0,176
Jul 08,179,3,0,176
Jul 09,180,4,0,176
Jul 10,180,4,0,176
Jul 11,180,4,0,176
Jul 12,180,4,0,176
Jul 13,180,1,0,179
Jul 14,180,1,0,179
Jul 15,180,0,0,180
Jul 16,180,0,0,180
Jul 17,180,0,0,180
Jul 18,180,0,0,180
Jul 19,180,0,0,180
Jul 20,180,0,0,180
Jul 21,180,0,0,180
Jul 22,182,2,0,180
Jul 23,184,4,0,180
Jul 24,184,4,0,180
Jul 25,185,5,0,180
Jul 26,185,5,0,180
Jul 27,185,5,0,180
Jul 28,186,6,0,180
Jul 29,186,6,0,180
Jul 30,187,7,0,180
Jul 31,187,6,0,181
Aug 01,188,6,0,182
Aug 02,188,5,0,183
Aug 03,188,5,0,183
Aug 04,189,6,0,183
Aug 05,189,6,0,183
Aug 06,190,6,0,184
Aug 07,190,6,0,184
Aug 08,197,13,0,184
Aug 09,201,15,0,186
Aug 10,201,15,0,186
Aug 11,202,15,0,187
Aug 12,203,16,0,187
Aug 13,205,17,0,188
Aug 14,206,18,0,188
Aug 15,209,19,0,190
Aug 16,215,25,0,190
Aug 17,217,23,0,194
Aug 18,222,27,0,195
Aug 19,223,26,0,197
Aug 20,229,29,0,200
