Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,3,3,0,0
Feb 28,4,4,0,0
Feb 29,7,7,0,0
Mar 01,7,7,0,0
Mar 02,7,7,0,0
Mar 03,7,7,0,0
Mar 04,9,9,0,0
Mar 05,31,31,0,0
Mar 06,45,45,0,0
Mar 07,66,66,0,0
Mar 08,73,73,0,0
Mar 09,84,84,0,0
Mar 10,89,89,0,0
Mar 11,99,99,0,0
Mar 12,117,116,1,1
Mar 13,190,187,1,3
Mar 14,228,217,3,11
Mar 15,331,319,4,12
Mar 16,352,340,4,12
Mar 17,387,368,5,19
Mar 18,418,399,5,19
Mar 19,464,439,6,25
Mar 20,495,466,10,29
Mar 21,530,498,13,32
Mar 22,624,590,15,34
Mar 23,695,649,17,46
Mar 24,743,694,20,49
Mar 25,821,763,22,58
Mar 26,892,829,27,63
Mar 27,966,886,28,80
Mar 28,1061,977,32,84
Mar 29,1156,1065,39,91
Mar 30,1212,1114,46,98
Mar 31,1314,1213,49,101
Apr 01,1415,1312,51,103
Apr 02,1544,1430,53,114
Apr 03,1613,1472,63,141
Apr 04,1673,1527,68,146
Apr 05,1735,1584,73,151
Apr 06,1755,1407,79,348
Apr 07,1832,1482,81,350
Apr 08,1884,1532,83,352
Apr 09,1955,1599,87,356
Apr 10,2011,1650,92,361
Apr 11,2081,1719,93,362
Apr 12,2114,1747,98,367
Apr 13,2145,1777,99,368
