Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,5,3,0,2
Mar 25,6,4,0,2
Mar 26,6,4,0,2
Mar 27,10,8,0,2
Mar 28,10,8,0,2
Mar 29,10,8,0,2
Mar 30,10,8,0,2
Mar 31,10,8,0,2
Apr 01,10,8,0,2
Apr 02,10,8,0,2
Apr 03,10,7,0,3
Apr 04,11,8,0,3
Apr 05,11,8,0,3
Apr 06,11,7,0,4
Apr 07,11,1,0,10
Apr 08,11,0,0,11
Apr 09,11,0,0,11
Apr 10,11,0,0,11
Apr 11,11,0,0,11
Apr 12,11,0,0,11
Apr 13,11,0,0,11
Apr 14,11,0,0,11
Apr 15,11,0,0,11
Apr 16,11,0,0,11
Apr 17,11,0,0,11
Apr 18,11,0,0,11
Apr 19,11,0,0,11
Apr 20,11,0,0,11
Apr 21,11,0,0,11
Apr 22,11,0,0,11
Apr 23,11,0,0,11
Apr 24,11,0,0,11
Apr 25,11,0,0,11
Apr 26,11,0,0,11
Apr 27,11,0,0,11
Apr 28,11,0,0,11
Apr 29,11,0,0,11
Apr 30,11,0,0,11
May 01,11,0,0,11
May 02,11,0,0,11
May 03,11,0,0,11
May 04,11,0,0,11
May 05,11,0,0,11
May 06,11,0,0,11
May 07,11,0,0,11
May 08,11,0,0,11
May 09,11,0,0,11
May 10,11,0,0,11
May 11,11,0,0,11
May 12,11,0,0,11
May 13,11,0,0,11
May 14,11,0,0,11
May 15,11,0,0,11
May 16,11,0,0,11
May 17,11,0,0,11
May 18,11,0,0,11
May 19,11,0,0,11
May 20,11,0,0,11
May 21,11,0,0,11
May 22,11,0,0,11
May 23,11,0,0,11
May 24,12,1,0,11
May 25,12,1,0,11
May 26,12,1,0,11
May 27,13,2,0,11
May 28,13,2,0,11
May 29,13,2,0,11
May 30,13,2,0,11
May 31,13,2,0,11
Jun 01,13,2,0,11
Jun 02,13,2,0,11
Jun 03,13,2,0,11
Jun 04,13,0,0,13
Jun 05,13,0,0,13
Jun 06,13,0,0,13
Jun 07,13,0,0,13
Jun 08,13,0,0,13
Jun 09,13,0,0,13
Jun 10,13,0,0,13
Jun 11,13,0,0,13
Jun 12,13,0,0,13
Jun 13,13,0,0,13
Jun 14,13,0,0,13
Jun 15,13,0,0,13
Jun 16,13,0,0,13
Jun 17,13,0,0,13
Jun 18,13,0,0,13
Jun 19,13,0,0,13
Jun 20,13,0,0,13
Jun 21,13,0,0,13
Jun 22,13,0,0,13
Jun 23,13,0,0,13
Jun 24,13,0,0,13
Jun 25,13,0,0,13
Jun 26,13,0,0,13
Jun 27,13,0,0,13
Jun 28,13,0,0,13
Jun 29,13,0,0,13
Jun 30,13,0,0,13
Jul 01,13,0,0,13
Jul 02,13,0,0,13
Jul 03,13,0,0,13
Jul 04,13,0,0,13
Jul 05,13,0,0,13
Jul 06,13,0,0,13
Jul 07,13,0,0,13
Jul 08,13,0,0,13
Jul 09,13,0,0,13
Jul 10,13,0,0,13
Jul 11,13,0,0,13
Jul 12,13,0,0,13
Jul 13,13,0,0,13
Jul 14,13,0,0,13
Jul 15,13,0,0,13
Jul 16,13,0,0,13
Jul 17,13,0,0,13
Jul 18,13,0,0,13
Jul 19,13,0,0,13
Jul 20,13,0,0,13
Jul 21,13,0,0,13
Jul 22,13,0,0,13
Jul 23,13,0,0,13
Jul 24,13,0,0,13
Jul 25,13,0,0,13
Jul 26,13,0,0,13
Jul 27,14,1,0,13
Jul 28,14,1,0,13
Jul 29,14,1,0,13
Jul 30,14,1,0,13
Jul 31,14,1,0,13
Aug 01,14,1,0,13
Aug 02,14,1,0,13
Aug 03,14,1,0,13
Aug 04,14,1,0,13
Aug 05,14,1,0,13
Aug 06,14,0,0,14
Aug 07,14,0,0,14
Aug 08,14,0,0,14
Aug 09,14,0,0,14
Aug 10,14,0,0,14
Aug 11,14,0,0,14
Aug 12,14,0,0,14
Aug 13,14,0,0,14
Aug 14,14,0,0,14
Aug 15,14,0,0,14
Aug 16,14,0,0,14
Aug 17,14,0,0,14
Aug 18,14,0,0,14
Aug 19,14,0,0,14
Aug 20,14,0,0,14
