Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,4,4,0,0
Mar 23,4,4,0,0
Mar 24,5,3,0,2
Mar 25,6,4,0,2
Mar 26,6,4,0,2
Mar 27,10,8,0,2
Mar 28,10,8,0,2
Mar 29,10,8,0,2
Mar 30,10,8,0,2
Mar 31,10,8,0,2
Apr 01,10,8,0,2
Apr 02,10,8,0,2
Apr 03,10,7,0,3
Apr 04,11,8,0,3
Apr 05,11,8,0,3
Apr 06,11,7,0,4
Apr 07,11,1,0,10
Apr 08,11,0,0,11
Apr 09,11,0,0,11
Apr 10,11,0,0,11
Apr 11,11,0,0,11
Apr 12,11,0,0,11
Apr 13,11,0,0,11
Apr 14,11,0,0,11
Apr 15,11,0,0,11
Apr 16,11,0,0,11
Apr 17,11,0,0,11
Apr 18,11,0,0,11
Apr 19,11,0,0,11
Apr 20,11,0,0,11
Apr 21,11,0,0,11
Apr 22,11,0,0,11
Apr 23,11,0,0,11
Apr 24,11,0,0,11
Apr 25,11,0,0,11
Apr 26,11,0,0,11
Apr 27,11,0,0,11
Apr 28,11,0,0,11
Apr 29,11,0,0,11
Apr 30,11,0,0,11
May 01,11,0,0,11
May 02,11,0,0,11
May 03,11,0,0,11
May 04,11,0,0,11
May 05,11,0,0,11
May 06,11,0,0,11
May 07,11,0,0,11
May 08,11,0,0,11
May 09,11,0,0,11
May 10,11,0,0,11
May 11,11,0,0,11
May 12,11,0,0,11
May 13,11,0,0,11
May 14,11,0,0,11
May 15,11,0,0,11
May 16,11,0,0,11
May 17,11,0,0,11
May 18,11,0,0,11
May 19,11,0,0,11
May 20,11,0,0,11
May 21,11,0,0,11
May 22,11,0,0,11
May 23,11,0,0,11
May 24,12,1,0,11
May 25,12,1,0,11
May 26,12,1,0,11
May 27,13,2,0,11
May 28,13,2,0,11
May 29,13,2,0,11
May 30,13,2,0,11
May 31,13,2,0,11
Jun 01,13,2,0,11
Jun 02,13,2,0,11
Jun 03,13,2,0,11
Jun 04,13,0,0,13
Jun 05,13,0,0,13
Jun 06,13,0,0,13
Jun 07,13,0,0,13
Jun 08,13,0,0,13
Jun 09,13,0,0,13
Jun 10,13,0,0,13
Jun 11,13,0,0,13
