Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,7,7,0,0
Mar 27,7,7,0,0
Mar 28,7,7,0,0
Mar 29,9,9,0,0
Mar 30,9,9,0,0
Mar 31,9,9,0,0
Apr 01,9,9,0,0
Apr 02,10,10,0,0
Apr 03,12,12,0,0
Apr 04,12,12,0,0
Apr 05,12,12,0,0
Apr 06,12,12,0,0
Apr 07,12,12,0,0
Apr 08,12,12,0,0
Apr 09,12,12,0,0
Apr 10,14,14,0,0
Apr 11,14,14,0,0
Apr 12,14,14,0,0
Apr 13,14,14,0,0
Apr 14,14,14,0,0
Apr 15,14,14,0,0
Apr 16,14,14,0,0
Apr 17,14,8,0,6
Apr 18,14,8,0,6
Apr 19,14,8,0,6
Apr 20,14,8,0,6
Apr 21,14,8,0,6
Apr 22,15,9,0,6
Apr 23,15,9,0,6
Apr 24,15,8,0,7
Apr 25,18,11,0,7
Apr 26,18,11,0,7
Apr 27,18,11,0,7
Apr 28,18,11,0,7
Apr 29,20,7,0,13
Apr 30,20,7,0,13
May 01,20,7,0,13
May 02,21,8,0,13
May 03,21,8,0,13
May 04,21,8,0,13
May 05,21,8,0,13
May 06,21,8,0,13
May 07,21,8,0,13
May 08,21,8,0,13
May 09,21,8,0,13
May 10,21,8,0,13
May 11,21,8,0,13
May 12,21,8,0,13
May 13,21,8,0,13
May 14,21,7,0,14
May 15,22,8,0,14
May 16,22,8,0,14
May 17,22,8,0,14
May 18,22,8,0,14
May 19,22,8,0,14
May 20,22,5,0,17
May 21,22,5,0,17
May 22,22,5,0,17
May 23,22,5,0,17
May 24,22,5,0,17
May 25,23,5,0,18
May 26,23,5,0,18
May 27,23,5,0,18
May 28,23,5,0,18
May 29,23,5,0,18
May 30,23,5,0,18
May 31,23,5,0,18
Jun 01,23,5,0,18
Jun 02,23,5,0,18
Jun 03,23,5,0,18
Jun 04,23,5,0,18
Jun 05,23,1,0,22
Jun 06,23,1,0,22
Jun 07,23,1,0,22
Jun 08,23,1,0,22
Jun 09,23,1,0,22
Jun 10,23,1,0,22
Jun 11,23,1,0,22
