Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,3,3,0,0
Mar 15,5,5,0,0
Mar 16,6,6,0,0
Mar 17,18,18,0,0
Mar 18,33,33,0,0
Mar 19,33,33,0,0
Mar 20,51,50,1,1
Mar 21,56,55,1,1
Mar 22,58,57,1,1
Mar 23,62,61,1,1
Mar 24,73,72,1,1
Mar 25,73,72,1,1
Mar 26,73,72,1,1
Mar 27,73,72,1,1
Mar 28,102,83,2,19
Mar 29,106,85,4,21
Mar 30,106,85,4,21
Mar 31,114,88,4,26
Apr 01,125,95,6,30
Apr 02,128,98,6,30
Apr 03,130,99,7,31
Apr 04,134,103,7,31
Apr 05,135,97,7,38
Apr 06,139,101,7,38
Apr 07,139,101,7,38
Apr 08,141,90,8,51
Apr 09,143,68,8,75
Apr 10,143,68,8,75
Apr 11,143,68,8,75
Apr 12,143,68,8,75
Apr 13,145,70,8,75
Apr 14,145,70,8,75
Apr 15,145,70,8,75
Apr 16,145,70,8,75
Apr 17,145,70,8,75
Apr 18,148,67,8,81
Apr 19,148,67,8,81
Apr 20,148,67,8,81
Apr 21,148,63,12,85
Apr 22,148,60,12,88
Apr 23,148,60,12,88
Apr 24,149,55,12,94
Apr 25,149,55,12,94
Apr 26,149,55,12,94
Apr 27,149,55,12,94
Apr 28,149,55,12,94
Apr 29,149,55,12,94
Apr 30,151,44,12,107
May 01,152,45,12,107
May 02,152,45,12,107
May 03,152,45,12,107
May 04,152,42,12,110
May 05,152,42,12,110
May 06,152,35,13,117
May 07,153,36,13,117
May 08,154,37,13,117
May 09,154,37,13,117
May 10,154,37,13,117
May 11,154,37,13,117
May 12,155,33,13,122
May 13,155,33,13,122
May 14,155,33,13,122
May 15,155,33,13,122
May 16,155,33,13,122
May 17,155,33,13,122
May 18,155,33,13,122
May 19,155,33,13,122
May 20,155,33,13,122
May 21,155,33,13,122
May 22,156,28,13,128
May 23,156,28,13,128
May 24,161,32,14,129
May 25,161,32,14,129
May 26,161,32,14,129
May 27,161,32,14,129
May 28,161,32,14,129
May 29,162,10,14,152
May 30,162,10,14,152
May 31,162,10,14,152
Jun 01,162,10,14,152
Jun 02,162,10,14,152
Jun 03,162,10,14,152
Jun 04,162,10,14,152
Jun 05,164,6,14,158
Jun 06,164,6,14,158
Jun 07,164,6,14,158
Jun 08,164,6,14,158
Jun 09,164,6,14,158
Jun 10,164,6,14,158
Jun 11,164,6,14,158
