Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,0,1,1
Mar 16,8,7,1,1
Mar 17,8,7,1,1
Mar 18,8,7,1,1
Mar 19,9,8,1,1
Mar 20,12,11,1,1
Mar 21,17,16,1,1
Mar 22,19,18,1,1
Mar 23,20,19,1,1
Mar 24,21,20,1,1
Mar 25,24,19,1,5
Mar 26,25,20,1,5
Mar 27,28,23,1,5
Mar 28,34,23,1,11
Mar 29,34,23,1,11
Mar 30,36,25,1,11
Mar 31,38,25,1,13
Apr 01,39,26,1,13
Apr 02,47,34,1,13
Apr 03,50,37,1,13
Apr 04,61,44,2,17
Apr 05,70,52,3,18
Apr 06,70,52,3,18
Apr 07,77,57,3,20
Apr 08,87,67,3,20
Apr 09,95,75,3,20
Apr 10,126,106,3,20
Apr 11,137,115,3,22
Apr 12,155,131,5,24
Apr 13,156,132,5,24
Apr 14,167,143,5,24
Apr 15,180,156,5,24
Apr 16,196,172,5,24
Apr 17,214,186,7,28
Apr 18,235,207,7,28
Apr 19,257,229,7,28
Apr 20,289,261,7,28
Apr 21,294,263,7,31
Apr 22,316,284,8,32
Apr 23,342,307,10,35
Apr 24,384,343,11,41
Apr 25,430,389,11,41
Apr 26,473,415,13,58
Apr 27,500,436,15,64
Apr 28,530,466,15,64
