Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,2,2,0,0
Mar 26,2,2,0,0
Mar 27,2,2,0,0
Mar 28,2,2,0,0
Mar 29,2,2,0,0
Mar 30,8,8,0,0
Mar 31,8,8,0,0
Apr 01,9,9,0,0
Apr 02,9,9,0,0
Apr 03,15,15,0,0
Apr 04,18,18,0,0
Apr 05,18,18,0,0
Apr 06,18,18,0,0
Apr 07,33,33,0,0
Apr 08,33,33,0,0
Apr 09,36,36,0,0
Apr 10,36,36,0,0
Apr 11,38,38,0,0
Apr 12,38,38,0,0
Apr 13,38,38,0,0
Apr 14,43,43,0,0
Apr 15,43,43,0,0
Apr 16,43,43,0,0
Apr 17,43,43,0,0
Apr 18,46,46,0,0
Apr 19,50,47,0,3
Apr 20,50,47,0,3
Apr 21,50,47,0,3
Apr 22,50,47,0,3
Apr 23,50,47,0,3
Apr 24,52,49,0,3
Apr 25,52,49,0,3
Apr 26,53,49,1,4
Apr 27,73,54,1,19
Apr 28,73,54,1,19
Apr 29,205,185,1,20
Apr 30,205,185,1,20
May 01,257,237,1,20
May 02,257,237,1,20
May 03,257,237,1,20
May 04,413,393,1,20
May 05,413,393,1,20
May 06,475,449,2,26
May 07,564,537,2,27
May 08,594,567,2,27
May 09,641,613,3,28
May 10,726,697,3,29
May 11,761,732,3,29
May 12,820,791,3,29
May 13,836,807,3,29
May 14,913,884,3,29
May 15,913,884,3,29
May 16,969,939,4,30
May 17,990,960,4,30
May 18,1032,990,4,42
May 19,1038,990,6,48
May 20,1089,1041,6,48
May 21,1109,1061,6,48
May 22,1114,1066,6,48
May 23,1114,1066,6,48
May 24,1114,1066,6,48
May 25,1178,1129,7,49
May 26,1178,1129,7,49
May 27,1195,1146,7,49
May 28,1195,1145,8,50
May 29,1256,1206,8,50
May 30,1256,1206,8,50
May 31,1256,1206,8,50
Jun 01,1339,1278,8,61
Jun 02,1339,1278,8,61
Jun 03,1339,1278,8,61
Jun 04,1339,1278,8,61
Jun 05,1368,1203,12,165
Jun 06,1368,1203,12,165
Jun 07,1368,1203,12,165
Jun 08,1389,1224,12,165
Jun 09,1389,1224,12,165
Jun 10,1389,1224,12,165
Jun 11,1389,1224,12,165
Jun 12,1460,1292,15,168
Jun 13,1460,1292,15,168
Jun 14,1460,1292,15,168
Jun 15,1492,1324,15,168
Jun 16,1492,1324,15,168
Jun 17,1492,1324,15,168
Jun 18,1492,1324,15,168
Jun 19,1541,1371,17,170
Jun 20,1541,1371,17,170
Jun 21,1541,1371,17,170
Jun 22,1556,1346,19,210
Jun 23,1556,1346,19,210
Jun 24,1556,1346,19,210
Jun 25,1556,1346,19,210
Jun 26,1614,1401,22,213
Jun 27,1614,1275,22,339
Jun 28,1614,1275,22,339
Jun 29,1654,1313,24,341
Jun 30,1654,1313,24,341
Jul 01,1654,1313,24,341
Jul 02,1654,1313,24,341
Jul 03,1765,1064,25,701
Jul 04,1765,1064,25,701
Jul 05,1765,1064,25,701
Jul 06,1790,1005,25,785
Jul 07,1790,1005,25,785
Jul 08,1790,1005,25,785
Jul 09,1790,1005,25,785
Jul 10,1842,1043,26,799
Jul 11,1842,1043,26,799
Jul 12,1842,1043,26,799
Jul 13,1842,1043,26,799
Jul 14,1842,1043,26,799
Jul 15,1842,1043,26,799
Jul 16,1902,1103,26,799
Jul 17,1927,1128,26,799
Jul 18,1949,1120,26,829
Jul 19,1949,1120,26,829
Jul 20,1949,1120,26,829
Jul 21,1954,1125,26,829
Jul 22,1954,1125,26,829
Jul 23,1954,1125,26,829
Jul 24,1954,1125,26,829
Jul 25,1954,1125,26,829
Jul 26,1954,1125,26,829
Jul 27,1954,1125,26,829
Jul 28,1954,1125,26,829
Jul 29,1954,1125,26,829
Jul 30,1981,1152,26,829
Jul 31,1981,1152,26,829
Aug 01,1981,1151,27,830
Aug 02,1981,1151,27,830
Aug 03,1981,1151,27,830
Aug 04,1981,1151,27,830
Aug 05,2032,1061,27,971
Aug 06,2032,1061,27,971
Aug 07,2032,1061,27,971
Aug 08,2052,1079,29,973
Aug 09,2052,1079,29,973
Aug 10,2052,1079,29,973
Aug 11,2088,1044,29,1044
Aug 12,2088,1044,29,1044
Aug 13,2088,1044,29,1044
Aug 14,2088,1044,29,1044
Aug 15,2117,1069,33,1048
Aug 16,2117,1069,33,1048
Aug 17,2117,1069,33,1048
Aug 18,2117,1069,33,1048
Aug 19,2117,1069,33,1048
Aug 20,2149,1101,33,1048
