Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,4,4,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,4,4,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,16,16,0,0
Mar 30,22,22,0,0
Mar 31,22,22,0,0
Apr 01,30,30,0,0
Apr 02,52,52,0,0
Apr 03,73,71,0,2
Apr 04,111,106,0,5
Apr 05,121,116,0,5
Apr 06,128,123,0,5
Apr 07,144,139,0,5
Apr 08,164,159,0,5
Apr 09,194,183,0,11
Apr 10,212,197,0,15
Apr 11,250,233,0,17
Apr 12,250,233,0,17
Apr 13,319,302,0,17
Apr 14,363,332,0,31
Apr 15,404,372,1,32
Apr 16,438,388,1,50
Apr 17,477,415,3,62
Apr 18,518,450,3,68
Apr 19,579,487,5,92
Apr 20,622,495,5,127
Apr 21,688,555,6,133
Apr 22,761,591,6,170
Apr 23,862,686,6,176
Apr 24,954,757,6,197
Apr 25,996,781,7,215
Apr 26,996,781,7,215
Apr 27,1163,910,7,253
Apr 28,1240,964,7,276
