Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,4,4,0,0
Mar 24,4,4,0,0
Mar 25,4,4,0,0
Mar 26,4,4,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,16,16,0,0
Mar 30,22,22,0,0
Mar 31,22,22,0,0
Apr 01,30,30,0,0
Apr 02,52,52,0,0
Apr 03,73,71,0,2
Apr 04,111,106,0,5
Apr 05,121,116,0,5
Apr 06,128,123,0,5
Apr 07,144,139,0,5
Apr 08,164,159,0,5
Apr 09,194,183,0,11
Apr 10,212,197,0,15
Apr 11,250,233,0,17
Apr 12,250,233,0,17
Apr 13,319,302,0,17
Apr 14,363,332,0,31
Apr 15,404,372,1,32
Apr 16,438,388,1,50
Apr 17,477,415,3,62
Apr 18,518,450,3,68
Apr 19,579,487,5,92
Apr 20,622,495,5,127
Apr 21,688,555,6,133
Apr 22,761,591,6,170
Apr 23,862,686,6,176
Apr 24,954,757,6,197
Apr 25,996,781,7,215
Apr 26,996,781,7,215
Apr 27,1163,910,7,253
Apr 28,1240,964,7,276
Apr 29,1351,1031,7,320
Apr 30,1495,1159,7,336
May 01,1537,1188,7,349
May 02,1586,1174,7,412
May 03,1586,1174,7,412
May 04,1710,1251,9,459
May 05,1811,1303,10,508
May 06,1856,1248,11,608
May 07,1927,1287,11,640
May 08,2009,1335,11,674
May 09,2042,1333,11,709
May 10,2146,1421,11,725
May 11,2146,1421,11,725
May 12,2298,1471,11,827
May 13,2374,1504,14,870
May 14,2473,1563,15,910
May 15,2473,1563,15,910
May 16,2658,1509,16,1149
May 17,2658,1509,16,1149
May 18,2796,1517,16,1279
May 19,2863,1320,18,1543
May 20,2863,1320,18,1543
May 21,3067,1474,18,1593
May 22,3067,1473,19,1594
May 23,3176,1525,20,1651
May 24,3275,1582,20,1693
May 25,3275,1582,20,1693
May 26,3275,1582,20,1693
May 27,3275,1582,20,1693
May 28,3553,1581,22,1972
May 29,3656,1634,22,2022
May 30,3706,1653,23,2053
May 31,3706,1653,23,2053
Jun 01,3844,1686,23,2158
Jun 02,3886,1596,23,2290
Jun 03,3933,1578,23,2355
Jun 04,3991,1456,23,2535
Jun 05,4060,1370,23,2690
Jun 06,4117,1237,23,2880
Jun 07,4117,1217,23,2900
Jun 08,4216,1275,23,2941
Jun 09,4258,1293,23,2965
Jun 10,4258,1293,23,2965
Jun 11,4372,1316,23,3056
