Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,1,0,1,1
Mar 13,1,0,1,1
Mar 14,1,0,1,1
Mar 15,4,3,1,1
Mar 16,7,6,1,1
Mar 17,7,6,1,1
Mar 18,4,3,1,1
Mar 19,5,4,1,1
Mar 20,15,14,1,1
Mar 21,18,17,1,1
Mar 22,19,18,1,1
Mar 23,20,19,1,1
Mar 24,5,4,1,1
Mar 25,5,4,1,1
Mar 26,5,4,1,1
Mar 27,5,4,1,1
Mar 28,8,7,1,1
Mar 29,8,7,1,1
Mar 30,8,7,1,1
Mar 31,12,10,2,2
Apr 01,19,16,3,3
Apr 02,19,15,4,4
Apr 03,23,19,4,4
Apr 04,23,19,4,4
Apr 05,24,20,4,4
Apr 06,31,19,4,12
Apr 07,33,20,5,13
Apr 08,37,23,6,14
Apr 09,37,23,6,14
Apr 10,37,23,6,14
Apr 11,45,31,6,14
Apr 12,45,31,6,14
Apr 13,47,33,6,14
Apr 14,47,33,6,14
Apr 15,55,41,6,14
Apr 16,55,41,6,14
Apr 17,63,48,6,15
Apr 18,63,48,6,15
Apr 19,65,49,7,16
Apr 20,65,49,7,16
Apr 21,66,50,7,16
Apr 22,67,51,7,16
Apr 23,70,54,7,16
Apr 24,73,54,7,19
Apr 25,73,54,7,19
Apr 26,74,54,8,20
Apr 27,74,51,8,23
Apr 28,74,51,8,23
Apr 29,74,51,8,23
Apr 30,82,51,9,31
May 01,82,51,9,31
May 02,82,51,9,31
May 03,82,51,9,31
May 04,92,56,9,36
May 05,92,56,9,36
May 06,93,56,10,37
May 07,93,56,10,37
May 08,94,50,10,44
May 09,94,49,10,45
May 10,104,59,10,45
May 11,109,63,10,46
May 12,113,67,10,46
May 13,113,62,10,51
May 14,113,61,10,52
May 15,116,63,10,53
May 16,117,64,10,53
May 17,117,64,10,53
May 18,124,70,10,54
May 19,125,69,10,56
May 20,125,68,10,57
May 21,127,60,10,67
May 22,127,60,10,67
May 23,127,59,10,68
May 24,135,63,10,72
May 25,137,64,11,73
May 26,139,66,11,73
May 27,139,61,11,78
May 28,150,72,11,78
May 29,150,72,11,78
May 30,152,73,12,79
May 31,153,71,12,82
Jun 01,153,71,12,82
Jun 02,153,71,12,82
Jun 03,153,71,12,82
Jun 04,153,64,12,89
Jun 05,153,64,12,89
Jun 06,154,62,12,92
Jun 07,154,62,12,92
Jun 08,154,58,12,96
Jun 09,156,58,12,98
Jun 10,156,52,12,104
Jun 11,158,54,12,104
Jun 12,159,52,12,107
Jun 13,159,52,12,107
Jun 14,159,48,12,111
Jun 15,159,48,12,111
Jun 16,171,60,12,111
Jun 17,171,57,12,114
Jun 18,183,69,12,114
Jun 19,183,69,12,114
Jun 20,183,69,12,114
Jun 21,184,69,12,115
Jun 22,205,90,12,115
Jun 23,206,87,12,119
Jun 24,209,90,12,119
Jun 25,215,95,12,120
Jun 26,215,95,12,120
Jun 27,230,109,12,121
Jun 28,230,109,12,121
Jun 29,235,109,12,126
Jun 30,245,119,12,126
Jul 01,248,119,13,129
Jul 02,250,119,14,131
Jul 03,256,125,14,131
Jul 04,272,138,14,134
Jul 05,273,138,15,135
Jul 06,273,138,15,135
Jul 07,284,143,16,141
Jul 08,284,143,16,141
Jul 09,286,145,16,141
Jul 10,290,140,16,150
Jul 11,291,140,17,151
Jul 12,297,126,17,171
Jul 13,300,128,17,172
Jul 14,308,135,17,173
Jul 15,313,139,18,174
Jul 16,315,140,19,175
Jul 17,320,145,19,175
Jul 18,327,145,19,182
Jul 19,336,154,19,182
Jul 20,337,155,19,182
Jul 21,339,157,19,182
Jul 22,350,166,19,184
Jul 23,351,156,19,195
Jul 24,352,154,20,198
Jul 25,360,160,20,200
Jul 26,370,169,20,201
Jul 27,389,188,20,201
Jul 28,396,195,20,201
Jul 29,398,193,20,205
Jul 30,401,196,20,205
Jul 31,413,208,20,205
Aug 01,430,225,20,205
Aug 02,474,268,21,206
Aug 03,474,268,21,206
Aug 04,497,289,22,208
Aug 05,509,298,22,211
Aug 06,538,327,22,211
Aug 07,538,327,22,211
Aug 08,554,343,22,211
Aug 09,568,357,22,211
Aug 10,568,357,22,211
Aug 11,602,391,22,211
Aug 12,623,410,22,213
Aug 13,631,407,22,224
Aug 14,649,321,22,328
Aug 15,674,342,22,332
Aug 16,709,337,23,372
Aug 17,709,337,23,372
Aug 18,737,347,25,390
Aug 19,776,368,27,408
Aug 20,846,418,29,428
