Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,1,0,1,1
Mar 13,1,0,1,1
Mar 14,1,0,1,1
Mar 15,4,3,1,1
Mar 16,7,6,1,1
Mar 17,7,6,1,1
Mar 18,4,3,1,1
Mar 19,5,4,1,1
Mar 20,15,14,1,1
Mar 21,18,17,1,1
Mar 22,19,18,1,1
Mar 23,20,19,1,1
Mar 24,5,4,1,1
Mar 25,5,4,1,1
Mar 26,5,4,1,1
Mar 27,5,4,1,1
Mar 28,8,7,1,1
Mar 29,8,7,1,1
Mar 30,8,7,1,1
Mar 31,12,10,2,2
Apr 01,19,16,3,3
Apr 02,19,15,4,4
Apr 03,23,19,4,4
Apr 04,23,19,4,4
Apr 05,24,20,4,4
Apr 06,31,19,4,12
Apr 07,33,20,5,13
Apr 08,37,23,6,14
Apr 09,37,23,6,14
Apr 10,37,23,6,14
Apr 11,45,31,6,14
Apr 12,45,31,6,14
Apr 13,47,33,6,14
Apr 14,47,33,6,14
Apr 15,55,41,6,14
Apr 16,55,41,6,14
Apr 17,63,48,6,15
Apr 18,63,48,6,15
Apr 19,65,49,7,16
Apr 20,65,49,7,16
Apr 21,66,50,7,16
Apr 22,67,51,7,16
Apr 23,70,54,7,16
Apr 24,73,54,7,19
Apr 25,73,54,7,19
Apr 26,74,54,8,20
Apr 27,74,51,8,23
Apr 28,74,51,8,23
Apr 29,74,51,8,23
Apr 30,82,51,9,31
May 01,82,51,9,31
May 02,82,51,9,31
May 03,82,51,9,31
May 04,92,56,9,36
May 05,92,56,9,36
May 06,93,56,10,37
May 07,93,56,10,37
May 08,94,50,10,44
May 09,94,49,10,45
May 10,104,59,10,45
May 11,109,63,10,46
May 12,113,67,10,46
May 13,113,62,10,51
May 14,113,61,10,52
May 15,116,63,10,53
May 16,117,64,10,53
May 17,117,64,10,53
May 18,124,70,10,54
May 19,125,69,10,56
May 20,125,68,10,57
May 21,127,60,10,67
May 22,127,60,10,67
May 23,127,59,10,68
May 24,135,63,10,72
May 25,137,64,11,73
May 26,139,66,11,73
May 27,139,61,11,78
