Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,56,54,1,2
Feb 16,57,54,1,3
Feb 17,60,57,1,3
Feb 18,62,59,1,3
Feb 19,65,58,2,7
Feb 20,69,61,2,8
Feb 21,69,61,2,8
Feb 22,70,57,2,13
Feb 23,74,60,2,14
Feb 24,81,67,2,14
Feb 25,85,65,2,20
Feb 26,89,69,2,20
Feb 27,92,72,2,20
Feb 28,93,73,2,20
Feb 29,95,63,2,32
Mar 01,100,62,2,38
Mar 02,100,62,2,38
Mar 03,101,62,2,39
Mar 04,103,64,2,39
Mar 05,105,66,2,39
Mar 06,108,55,2,53
Mar 07,108,55,2,53
Mar 08,115,53,3,62
Mar 09,116,54,3,62
Mar 10,121,58,3,63
Mar 11,130,50,3,80
Mar 12,131,51,3,80
Mar 13,132,50,4,82
Mar 14,142,57,4,85
Mar 15,149,64,4,85
Mar 16,155,70,4,85
Mar 17,168,83,4,85
Mar 18,193,94,4,99
Mar 19,208,106,4,102
Mar 20,256,154,4,102
Mar 21,274,170,4,104
Mar 22,318,214,4,104
Mar 23,357,253,4,104
Mar 24,387,281,4,106
Mar 25,411,305,4,106
Mar 26,454,340,4,114
Mar 27,519,404,4,115
Mar 28,560,444,4,116
Mar 29,642,520,4,122
Mar 30,683,561,4,122
Mar 31,715,583,4,132
Apr 01,766,615,4,151
Apr 02,802,644,4,158
Apr 03,845,668,4,177
Apr 04,862,685,4,177
Apr 05,891,681,4,210
Apr 06,915,695,4,220
Apr 07,936,696,4,240
Apr 08,961,693,4,268
Apr 09,974,677,4,297
Apr 10,990,677,4,313
Apr 11,1001,661,4,340
Apr 12,1005,641,4,364
Apr 13,1010,609,4,401
Apr 14,1013,575,4,438
Apr 15,1017,554,4,463
Apr 16,1018,529,4,489
Apr 17,1022,485,4,537
Apr 18,1024,452,4,572
Apr 19,1026,420,4,606
Apr 20,1026,392,4,634
Apr 21,1030,376,4,654
Apr 22,1034,352,4,682
Apr 23,1036,333,4,703
Apr 24,1036,307,4,729
Apr 25,1038,281,4,757
Apr 26,1038,262,4,776
Apr 27,1038,247,4,791
Apr 28,1038,223,4,815
Apr 29,1038,204,4,834
Apr 30,1038,188,4,850
May 01,1040,177,4,863
May 02,1040,172,4,868
May 03,1040,157,4,883
May 04,1041,137,4,904
May 05,1041,117,4,924
May 06,1041,105,4,936
May 07,1045,97,4,948
May 08,1045,81,4,964
May 09,1045,74,4,971
May 10,1048,62,4,986
May 11,1048,59,4,989
May 12,1048,53,4,995
May 13,1051,39,4,1012
May 14,1052,39,4,1013
May 15,1053,30,4,1023
May 16,1053,27,4,1026
May 17,1056,28,4,1028
May 18,1056,27,4,1029
May 19,1056,27,4,1029
May 20,1056,26,4,1030
May 21,1064,31,4,1033
May 22,1066,33,4,1033
May 23,1066,33,4,1033
May 24,1066,32,4,1034
May 25,1066,32,4,1034
May 26,1066,29,4,1037
May 27,1067,29,4,1038
May 28,1067,28,4,1039
May 29,1080,41,4,1039
May 30,1083,43,4,1040
May 31,1085,44,4,1041
Jun 01,1088,47,4,1041
Jun 02,1094,52,4,1042
Jun 03,1094,51,4,1043
Jun 04,1099,54,4,1045
Jun 05,1103,54,4,1049
Jun 06,1106,54,4,1052
Jun 07,1107,54,4,1053
Jun 08,1108,55,4,1053
Jun 09,1108,55,4,1053
Jun 10,1108,53,4,1055
Jun 11,1108,49,4,1059
Jun 12,1109,45,4,1064
Jun 13,1110,45,4,1065
Jun 14,1110,39,4,1071
Jun 15,1113,42,4,1071
Jun 16,1113,40,4,1073
Jun 17,1121,46,4,1075
Jun 18,1125,49,4,1076
Jun 19,1128,50,4,1078
Jun 20,1129,47,5,1082
Jun 21,1132,49,5,1083
Jun 22,1162,79,5,1083
Jun 23,1178,89,6,1089
Jun 24,1180,88,6,1092
Jun 25,1194,99,7,1095
Jun 26,1197,99,7,1098
Jun 27,1198,96,7,1102
Jun 28,1200,89,7,1111
Jun 29,1204,92,7,1112
Jun 30,1206,92,7,1114
Jul 01,1234,110,7,1124
Jul 02,1243,116,7,1127
Jul 03,1248,116,7,1132
Jul 04,1259,107,7,1152
Jul 05,1269,106,7,1163
Jul 06,1286,122,7,1164
Jul 07,1300,132,7,1168
Jul 08,1324,150,7,1174
Jul 09,1366,183,7,1183
Jul 10,1404,210,7,1194
Jul 11,1433,229,7,1204
Jul 12,1470,249,7,1221
Jul 13,1522,297,8,1225
Jul 14,1570,333,8,1237
Jul 15,1589,338,10,1251
Jul 16,1656,392,10,1264
Jul 17,1714,439,11,1275
Jul 18,1778,492,12,1286
Jul 19,1886,580,12,1306
Jul 20,1959,645,12,1314
Jul 21,2020,682,14,1338
Jul 22,2132,774,14,1358
Jul 23,2250,856,15,1394
Jul 24,2373,950,16,1423
Jul 25,2506,1033,18,1473
Jul 26,2634,1121,18,1513
Jul 27,2779,1262,22,1517
Jul 28,2885,1335,23,1550
Jul 29,3003,1388,24,1615
Jul 30,3152,1467,25,1685
Jul 31,3273,1495,27,1778
Aug 01,3397,1506,33,1891
Aug 02,3512,1519,34,1993
Aug 03,3590,1513,40,2077
Aug 04,3670,1488,41,2182
Aug 05,3755,1398,43,2357
Aug 06,3850,1346,46,2504
Aug 07,3939,1273,46,2666
Aug 08,4008,1206,47,2802
Aug 09,4080,1179,54,2901
Aug 10,4149,1178,55,2971
Aug 11,4182,1072,58,3110
Aug 12,4244,992,63,3252
Aug 13,4313,953,65,3360
Aug 14,4361,902,67,3459
Aug 15,4407,851,68,3556
Aug 16,4481,864,69,3617
Aug 17,4525,857,69,3668
Aug 18,4561,814,70,3747
Aug 19,4587,736,72,3851
Aug 20,4605,705,73,3900
