Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,56,54,1,2
Feb 16,57,54,1,3
Feb 17,60,57,1,3
Feb 18,62,59,1,3
Feb 19,65,58,2,7
Feb 20,69,61,2,8
Feb 21,69,61,2,8
Feb 22,70,57,2,13
Feb 23,74,60,2,14
Feb 24,81,67,2,14
Feb 25,85,65,2,20
Feb 26,89,69,2,20
Feb 27,92,72,2,20
Feb 28,93,73,2,20
Feb 29,95,63,2,32
Mar 01,100,62,2,38
Mar 02,100,62,2,38
Mar 03,101,62,2,39
Mar 04,103,64,2,39
Mar 05,105,66,2,39
Mar 06,108,55,2,53
Mar 07,108,55,2,53
Mar 08,115,53,3,62
Mar 09,116,54,3,62
Mar 10,121,58,3,63
Mar 11,130,50,3,80
Mar 12,131,51,3,80
Mar 13,132,50,4,82
Mar 14,142,57,4,85
Mar 15,149,64,4,85
Mar 16,155,70,4,85
Mar 17,168,83,4,85
Mar 18,193,94,4,99
Mar 19,208,106,4,102
Mar 20,256,154,4,102
Mar 21,274,170,4,104
Mar 22,318,214,4,104
Mar 23,357,253,4,104
Mar 24,387,281,4,106
Mar 25,411,305,4,106
Mar 26,454,340,4,114
Mar 27,519,404,4,115
Mar 28,560,444,4,116
Mar 29,642,520,4,122
Mar 30,683,561,4,122
Mar 31,715,583,4,132
Apr 01,766,615,4,151
Apr 02,802,644,4,158
Apr 03,845,668,4,177
Apr 04,862,685,4,177
Apr 05,891,681,4,210
Apr 06,915,695,4,220
Apr 07,936,696,4,240
Apr 08,961,693,4,268
Apr 09,974,677,4,297
Apr 10,990,677,4,313
Apr 11,1001,661,4,340
Apr 12,1005,641,4,364
Apr 13,1010,609,4,401
Apr 14,1013,575,4,438
Apr 15,1017,554,4,463
Apr 16,1018,529,4,489
Apr 17,1022,485,4,537
Apr 18,1024,452,4,572
Apr 19,1026,420,4,606
Apr 20,1026,392,4,634
Apr 21,1030,376,4,654
Apr 22,1034,352,4,682
Apr 23,1036,333,4,703
Apr 24,1036,307,4,729
Apr 25,1038,281,4,757
Apr 26,1038,262,4,776
Apr 27,1038,247,4,791
Apr 28,1038,223,4,815
Apr 29,1038,204,4,834
Apr 30,1038,188,4,850
May 01,1040,177,4,863
May 02,1040,172,4,868
May 03,1040,157,4,883
May 04,1041,137,4,904
May 05,1041,117,4,924
May 06,1041,105,4,936
May 07,1045,97,4,948
May 08,1045,81,4,964
May 09,1045,74,4,971
May 10,1048,62,4,986
May 11,1048,59,4,989
May 12,1048,53,4,995
May 13,1051,39,4,1012
May 14,1052,39,4,1013
May 15,1053,30,4,1023
May 16,1053,27,4,1026
May 17,1056,28,4,1028
May 18,1056,27,4,1029
May 19,1056,27,4,1029
May 20,1056,26,4,1030
May 21,1064,31,4,1033
May 22,1066,33,4,1033
May 23,1066,33,4,1033
May 24,1066,32,4,1034
May 25,1066,32,4,1034
May 26,1066,29,4,1037
May 27,1067,29,4,1038
