Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,3,3,0,0
Mar 02,9,9,0,0
Mar 03,14,13,0,1
Mar 04,26,25,0,1
Mar 05,37,36,0,1
Mar 06,45,44,0,1
Mar 07,50,49,0,1
Mar 08,58,57,0,1
Mar 09,65,64,0,1
Mar 10,81,80,0,1
Mar 11,85,84,0,1
Mar 12,117,116,0,1
Mar 13,134,133,0,1
Mar 14,161,160,0,1
Mar 15,180,179,0,1
Mar 16,199,198,0,1
Mar 17,247,242,0,5
Mar 18,250,245,0,5
Mar 19,330,325,0,5
Mar 20,409,404,0,5
Mar 21,473,467,1,6
Mar 22,568,562,1,6
Mar 23,588,575,1,13
Mar 24,648,634,2,14
Mar 25,737,723,2,14
Mar 26,802,788,2,14
Mar 27,890,854,2,36
Mar 28,963,917,2,46
Mar 29,1020,961,2,59
Mar 30,1086,1009,2,77
Mar 31,1135,1040,2,95
Apr 01,1220,1087,2,133
Apr 02,1319,1151,4,168
Apr 03,1364,1154,4,210
Apr 04,1417,1185,4,232
Apr 05,1486,1170,4,316
Apr 06,1562,1216,6,346
Apr 07,1586,1212,6,374
Apr 08,1616,1144,6,472
Apr 09,1648,1104,6,544
Apr 10,1675,1077,7,598
Apr 11,1689,1029,8,660
Apr 12,1701,952,8,749
Apr 13,1711,915,8,796
Apr 14,1720,881,8,839
Apr 15,1727,833,8,894
Apr 16,1739,757,8,982
Apr 17,1754,705,9,1049
Apr 18,1760,632,9,1128
Apr 19,1771,577,9,1194
Apr 20,1773,578,10,1195
Apr 21,1778,512,10,1266
Apr 22,1785,464,10,1321
Apr 23,1789,423,10,1366
Apr 24,1789,376,10,1413
Apr 25,1790,344,10,1446
Apr 26,1792,318,10,1474
Apr 27,1792,280,10,1512
Apr 28,1795,267,10,1528
Apr 29,1797,257,10,1540
Apr 30,1797,237,10,1560
May 01,1798,224,10,1574
May 02,1798,205,10,1593
May 03,1799,189,10,1610
May 04,1799,178,10,1621
May 05,1799,172,10,1627
May 06,1799,162,10,1637
May 07,1801,147,10,1654
May 08,1801,142,10,1659
May 09,1801,132,10,1669
May 10,1801,124,10,1677
May 11,1801,124,10,1677
May 12,1801,124,10,1677
May 13,1802,122,10,1680
May 14,1802,118,10,1684
May 15,1802,118,10,1684
May 16,1802,116,10,1686
May 17,1802,112,10,1690
May 18,1802,112,10,1690
May 19,1802,112,10,1690
May 20,1803,110,10,1693
May 21,1803,110,10,1693
May 22,1803,109,10,1694
May 23,1804,109,10,1695
May 24,1804,109,10,1695
May 25,1804,109,10,1695
May 26,1804,109,10,1695
May 27,1805,109,10,1696
May 28,1805,109,10,1696
May 29,1805,109,10,1696
May 30,1806,108,10,1698
May 31,1806,108,10,1698
Jun 01,1806,108,10,1698
Jun 02,1806,108,10,1698
Jun 03,1806,108,10,1698
Jun 04,1806,108,10,1698
Jun 05,1806,108,10,1698
Jun 06,1806,108,10,1698
Jun 07,1807,109,10,1698
Jun 08,1807,109,10,1698
Jun 09,1807,109,10,1698
Jun 10,1807,109,10,1698
