Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,6,6,0,0
Mar 05,13,13,0,0
Mar 06,18,18,0,0
Mar 07,19,19,0,0
Mar 08,21,21,0,0
Mar 09,24,24,0,0
Mar 10,34,34,0,0
Mar 11,43,42,1,1
Mar 12,70,69,1,1
Mar 13,90,89,1,1
Mar 14,129,127,2,2
Mar 15,170,167,2,3
Mar 16,223,216,2,7
Mar 17,292,285,2,7
Mar 18,366,359,2,7
Mar 19,557,549,3,8
Mar 20,683,675,3,8
Mar 21,785,777,3,8
Mar 22,906,897,4,9
Mar 23,1125,1114,6,11
Mar 24,1329,1317,7,12
Mar 25,1564,1550,9,14
Mar 26,1819,1795,19,24
Mar 27,2121,2094,22,27
Mar 28,2415,2374,36,41
Mar 29,2615,2564,46,51
Mar 30,2910,2851,54,59
Mar 31,3235,3159,71,76
Apr 01,3447,3357,85,90
Apr 02,3849,3746,98,103
Apr 03,4273,4128,120,145
Apr 04,4604,4442,137,162
Apr 05,4994,4811,158,183
Apr 06,5364,5165,174,199
Apr 07,5709,5474,210,235
Apr 08,6074,5814,235,260
Apr 09,6574,6286,263,288
Apr 10,8089,7777,287,312
Apr 11,8928,8583,320,345
Apr 12,9655,9296,334,359
Apr 13,10647,10257,365,390
