Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,6,6,0,0
Mar 05,13,13,0,0
Mar 06,18,18,0,0
Mar 07,19,19,0,0
Mar 08,21,21,0,0
Mar 09,24,24,0,0
Mar 10,34,34,0,0
Mar 11,43,42,1,1
Mar 12,70,69,1,1
Mar 13,90,89,1,1
Mar 14,129,127,2,2
Mar 15,170,167,2,3
Mar 16,223,216,2,7
Mar 17,292,285,2,7
Mar 18,366,359,2,7
Mar 19,557,549,3,8
Mar 20,683,675,3,8
Mar 21,785,777,3,8
Mar 22,906,897,4,9
Mar 23,1125,1114,6,11
Mar 24,1329,1317,7,12
Mar 25,1564,1550,9,14
Mar 26,1819,1795,19,24
Mar 27,2121,2094,22,27
Mar 28,2415,2374,36,41
Mar 29,2615,2564,46,51
Mar 30,2910,2851,54,59
Mar 31,3235,3159,71,76
Apr 01,3447,3357,85,90
Apr 02,3849,3746,98,103
Apr 03,4273,4128,120,145
Apr 04,4604,4442,137,162
Apr 05,4994,4811,158,183
Apr 06,5364,5165,174,199
Apr 07,5709,5474,210,235
Apr 08,6074,5814,235,260
Apr 09,6574,6286,263,288
Apr 10,8082,7770,287,312
Apr 11,8921,8576,320,345
Apr 12,9648,9289,334,359
Apr 13,10640,10250,365,390
Apr 14,11472,11041,406,431
Apr 15,12540,12019,444,521
Apr 16,13264,12701,486,563
Apr 17,13973,13366,530,607
Apr 18,14751,14103,571,648
Apr 19,15244,14557,610,687
Apr 20,15645,14881,687,764
Apr 21,16033,6070,730,9963
Apr 22,16664,6662,769,10002
Apr 23,17600,7573,794,10027
Apr 24,18177,7934,1010,10243
Apr 25,18554,8262,1059,10292
Apr 26,19255,8939,1083,10316
Apr 27,19641,9310,1098,10331
Apr 28,19870,9482,1155,10388
Apr 29,20246,5674,1186,14572
Apr 30,20605,5991,1228,14614
May 01,20826,6179,1261,14647
May 02,21169,6501,1282,14668
May 03,21499,6814,1299,14685
May 04,21765,7064,1315,14701
May 05,21976,7255,1335,14721
May 06,22241,3760,1371,18481
May 07,22378,3869,1399,18509
May 08,22534,3999,1425,18535
May 09,22753,4201,1442,18552
May 10,22989,4425,1454,18564
May 11,23128,4555,1463,18573
May 12,23235,4641,1484,18594
May 13,23394,2431,1493,20963
May 14,23820,2848,1502,20972
May 15,23949,2965,1514,20984
May 16,24041,3042,1529,20999
May 17,24105,3096,1539,21009
May 18,24193,3180,1543,21013
May 19,24244,3217,1557,21027
May 20,24308,1681,1567,22627
May 21,24384,1745,1579,22639
May 22,24499,1851,1588,22648
May 23,24575,1915,1600,22660
May 24,24632,1968,1604,22664
May 25,24691,2029,1602,22662
May 26,24728,2057,1611,22671
May 27,24796,1080,1627,23716
May 28,24834,1110,1635,23724
May 29,24869,1139,1641,23730
May 30,24922,1186,1647,23736
May 31,24983,1248,1646,23735
Jun 01,25055,1320,1646,23735
Jun 02,25059,1316,1654,23743
Jun 03,25104,751,1655,24353
