Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,1,1,0,0
Feb 22,1,1,0,0
Feb 23,2,2,0,0
Feb 24,2,2,0,0
Feb 25,2,2,0,0
Feb 26,2,2,0,0
Feb 27,3,3,0,0
Feb 28,7,6,0,1
Feb 29,7,6,0,1
Mar 01,10,9,0,1
Mar 02,12,11,0,1
Mar 03,12,11,0,1
Mar 04,15,14,0,1
Mar 05,17,15,0,2
Mar 06,21,19,0,2
Mar 07,25,22,0,3
Mar 08,39,36,0,3
Mar 09,50,46,0,4
Mar 10,75,71,0,4
Mar 11,97,93,0,4
Mar 12,109,105,0,4
Mar 13,143,139,0,4
Mar 14,193,189,0,4
Mar 15,213,209,0,4
Mar 16,298,294,0,4
Mar 17,337,326,0,11
Mar 18,433,422,0,11
Mar 19,677,663,0,14
Mar 20,705,689,1,16
Mar 21,883,846,1,37
Mar 22,1071,1033,1,38
Mar 23,1442,1400,1,42
Mar 24,1930,1874,3,56
Mar 25,2369,2306,5,63
Mar 26,2693,2617,8,76
Mar 27,3035,2944,12,91
Mar 28,3619,3518,12,101
Mar 29,4247,4100,15,147
Mar 30,4695,4518,16,177
Mar 31,5358,5114,20,244
Apr 01,6092,5825,26,267
Apr 02,6857,6483,36,374
Apr 03,7428,6985,40,443
Apr 04,7851,7380,44,471
Apr 05,8430,7904,49,526
Apr 06,8904,8262,57,642
Apr 07,9248,8413,65,835
Apr 08,9404,8530,73,874
Apr 09,9968,8871,86,1097
Apr 10,10408,9130,95,1278
Apr 11,10743,9301,101,1442
Apr 12,11145,9415,103,1730
Apr 13,11586,9615,116,1971
Apr 14,12046,9728,123,2318
Apr 15,12501,9808,130,2693
Apr 16,12758,9798,142,2960
Apr 17,12982,9705,151,3277
Apr 18,13265,9645,164,3620
Apr 19,13491,9565,172,3926
Apr 20,13713,9487,177,4226
Apr 21,13942,9251,184,4691
Apr 22,14498,9094,189,5404
Apr 23,14803,9000,192,5803
Apr 24,15058,8861,194,6197
Apr 25,15298,8664,199,6634
Apr 26,15443,8511,201,6932
Apr 27,15555,8151,204,7404
Apr 28,15728,7772,210,7956
Apr 29,15834,7386,215,8448
Apr 30,15946,7163,222,8783
May 01,16101,6720,225,9381
May 02,16185,6363,229,9822
May 03,16208,6227,232,9981
May 04,16246,5947,235,10299
May 05,16289,5586,238,10703
May 06,16310,5434,239,10876
May 07,16381,5268,240,11113
May 08,16436,4962,245,11474
May 09,16454,4831,247,11623
May 10,16477,4795,252,11682
May 11,16506,4405,258,12101
May 12,16529,4186,260,12343
May 13,16548,4052,264,12496
May 14,16579,3793,265,12786
May 15,16589,3736,266,12853
May 16,16607,3484,268,13123
May 17,16617,3403,272,13214
May 18,16643,3114,276,13529
May 19,16659,2946,278,13713
May 20,16667,2884,279,13783
May 21,16683,2680,279,14003
May 22,16690,2496,279,14194
May 23,16712,2343,279,14369
May 24,16717,2285,279,14432
May 25,16734,2146,281,14588
May 26,16757,2019,281,14738
May 27,16793,1942,281,14851
May 28,16872,1909,284,14963
May 29,16987,1927,284,15060
May 30,17012,1917,284,15095
May 31,17071,1974,285,15097
Jun 01,17169,2006,285,15163
Jun 02,17285,2055,290,15230
Jun 03,17377,2103,291,15274
Jun 04,17495,2191,291,15304
Jun 05,17562,2245,291,15317
