Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,3,3,0,0
Feb 16,3,3,0,0
Feb 17,3,3,0,0
Feb 18,3,3,0,0
Feb 19,3,3,0,0
Feb 20,4,4,0,0
Feb 21,21,19,1,2
Feb 22,79,75,2,4
Feb 23,157,152,3,5
Feb 24,229,221,7,8
Feb 25,323,310,11,13
Feb 26,470,455,12,15
Feb 27,655,593,17,62
Feb 28,889,822,21,67
Feb 29,1128,1049,29,79
Mar 01,1701,1577,41,124
Mar 02,2036,1835,52,201
Mar 03,2502,2263,79,239
Mar 04,3089,2706,107,383
Mar 05,3858,3296,148,562
Mar 06,4636,3916,197,720
Mar 07,5883,5061,233,822
Mar 08,7375,6387,366,988
Mar 09,9172,7985,463,1187
Mar 10,10149,8514,631,1635
Mar 11,12462,10590,827,1872
Mar 12,15113,12839,1016,2274
Mar 13,17660,14955,1266,2705
Mar 14,21157,17750,1441,3407
Mar 15,24747,20603,1809,4144
Mar 16,27980,23073,2158,4907
Mar 17,31506,26062,2503,5444
Mar 18,35713,28710,2978,7003
Mar 19,41035,33190,3405,7845
Mar 20,47021,37860,4032,9161
Mar 21,53578,42681,4825,10897
Mar 22,59138,46638,5476,12500
Mar 23,63927,50418,6077,13509
Mar 24,69176,54030,6820,15146
Mar 25,74386,57521,7503,16865
Mar 26,80589,62013,8215,18576
Mar 27,86498,66414,9134,20084
Mar 28,92472,70065,10023,22407
Mar 29,97689,73880,10779,23809
Mar 30,101739,75528,11591,26211
Mar 31,105792,77635,12428,28157
Apr 01,110574,80572,13155,30002
Apr 02,115242,83049,13915,32193
Apr 03,119827,85388,14681,34439
Apr 04,124632,88274,15362,36358
Apr 05,128948,91246,15887,37702
Apr 06,132547,93187,16523,39360
Apr 07,135586,94067,17127,41519
Apr 08,139422,95262,17669,44160
Apr 09,143626,96877,18279,46749
Apr 10,147577,98273,18849,49304
Apr 11,152271,100269,19468,52002
Apr 12,156363,102253,19899,54110
Apr 13,159516,103616,20465,55900
