Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,3,3,0,0
Feb 16,3,3,0,0
Feb 17,3,3,0,0
Feb 18,3,3,0,0
Feb 19,3,3,0,0
Feb 20,4,4,0,0
Feb 21,21,19,1,2
Feb 22,79,75,2,4
Feb 23,157,152,3,5
Feb 24,229,221,7,8
Feb 25,323,310,11,13
Feb 26,470,455,12,15
Feb 27,655,593,17,62
Feb 28,889,822,21,67
Feb 29,1128,1049,29,79
Mar 01,1701,1577,41,124
Mar 02,2036,1835,52,201
Mar 03,2502,2263,79,239
Mar 04,3089,2706,107,383
Mar 05,3858,3296,148,562
Mar 06,4636,3916,197,720
Mar 07,5883,5061,233,822
Mar 08,7375,6387,366,988
Mar 09,9172,7985,463,1187
Mar 10,10149,8514,631,1635
Mar 11,12462,10590,827,1872
Mar 12,15113,12839,1016,2274
Mar 13,17660,14955,1266,2705
Mar 14,21157,17750,1441,3407
Mar 15,24747,20603,1809,4144
Mar 16,27980,23073,2158,4907
Mar 17,31506,26062,2503,5444
Mar 18,35713,28710,2978,7003
Mar 19,41035,33190,3405,7845
Mar 20,47021,37860,4032,9161
Mar 21,53578,42681,4825,10897
Mar 22,59138,46638,5476,12500
Mar 23,63927,50418,6077,13509
Mar 24,69176,54030,6820,15146
Mar 25,74386,57521,7503,16865
Mar 26,80589,62013,8215,18576
Mar 27,86498,66414,9134,20084
Mar 28,92472,70065,10023,22407
Mar 29,97689,73880,10779,23809
Mar 30,101739,75528,11591,26211
Mar 31,105792,77635,12428,28157
Apr 01,110574,80572,13155,30002
Apr 02,115242,83049,13915,32193
Apr 03,119827,85388,14681,34439
Apr 04,124632,88274,15362,36358
Apr 05,128948,91246,15887,37702
Apr 06,132547,93187,16523,39360
Apr 07,135586,94067,17127,41519
Apr 08,139422,95262,17669,44160
Apr 09,143626,96877,18279,46749
Apr 10,147577,98273,18849,49304
Apr 11,152271,100269,19468,52002
Apr 12,156363,102253,19899,54110
Apr 13,159516,103616,20465,55900
Apr 14,162488,104291,21067,58197
Apr 15,165155,105418,21645,59737
Apr 16,168941,106607,22170,62334
Apr 17,172434,106962,22745,65472
Apr 18,175925,107771,23227,68154
Apr 19,178972,108257,23660,70715
Apr 20,181228,108237,24114,72991
Apr 21,183957,107709,24648,76248
Apr 22,187327,107699,25085,79628
Apr 23,189973,106848,25549,83125
Apr 24,192994,106527,25969,86467
Apr 25,195351,105847,26384,89504
Apr 26,197675,106103,26644,91572
Apr 27,199414,105813,26977,93601
Apr 28,201505,105205,27359,96300
Apr 29,203591,104657,27682,98934
Apr 30,205463,101551,27967,103912
May 01,207428,100943,28236,106485
May 02,209328,100704,28710,108624
May 03,210717,100179,28884,110538
May 04,211938,99980,29079,111958
May 05,213013,98467,29315,114546
May 06,214457,91528,29684,122929
May 07,215858,89624,29958,126234
May 08,217185,87961,30201,129224
May 09,218268,84842,30395,133426
May 10,219070,83324,30560,135746
May 11,219814,82488,30739,137326
May 12,221216,81266,30911,139950
May 13,222104,78457,31106,143647
May 14,223096,76440,31368,146656
May 15,223885,72070,31610,151815
May 16,224760,70187,31763,154573
May 17,225435,68351,31908,157084
May 18,225886,66553,32007,159333
May 19,226699,65129,32169,161570
May 20,227364,62752,32330,164612
May 21,228006,60960,32486,167046
May 22,228658,59322,32616,169336
May 23,229327,57752,32735,171575
May 24,229858,56594,32785,173264
May 25,230158,55300,32877,174858
May 26,230555,52942,32955,177613
May 27,231139,50966,33072,180173
May 28,231732,47986,33142,183746
May 29,232248,46175,33229,186073
May 30,232664,43691,33340,188973
May 31,232997,42075,33415,190922
Jun 01,233197,41367,33475,191830
Jun 02,233515,39893,33530,193622
Jun 03,233836,39297,33601,194539
Jun 04,234013,38429,33689,195584
Jun 05,234531,36976,33774,197555
Jun 06,234801,35877,33846,198924
Jun 07,234998,35262,33899,199736
Jun 08,235278,34730,33964,200548
Jun 09,235561,32872,34043,202689
Jun 10,235763,31710,34114,204053
Jun 11,236142,30637,34167,205505
