Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,2,2,0,0
Mar 15,4,4,0,0
Mar 16,4,4,0,0
Mar 17,4,4,0,0
Mar 18,9,8,0,1
Mar 19,9,8,0,1
Mar 20,9,8,0,1
Mar 21,14,13,0,1
Mar 22,14,13,0,1
Mar 23,25,23,0,2
Mar 24,73,71,0,2
Mar 25,80,77,0,3
Mar 26,96,93,0,3
Mar 27,101,98,0,3
Mar 28,101,98,0,3
Mar 29,165,160,1,5
Mar 30,168,161,1,7
Mar 31,179,171,1,8
Apr 01,190,180,1,10
Apr 02,194,178,1,16
Apr 03,218,198,1,20
Apr 04,245,219,1,26
Apr 05,261,221,3,40
Apr 06,323,279,3,44
Apr 07,349,305,3,44
Apr 08,384,333,3,51
Apr 09,444,389,3,55
Apr 10,480,423,3,57
Apr 11,533,471,4,62
Apr 12,574,484,5,90
Apr 13,626,531,6,95
Apr 14,638,518,6,120
Apr 15,654,502,6,152
Apr 16,654,502,6,152
Apr 17,688,489,6,199
Apr 18,801,554,8,247
Apr 19,847,578,9,269
Apr 20,879,582,10,297
Apr 21,916,600,13,316
Apr 22,952,628,14,324
Apr 23,1004,631,14,373
Apr 24,1077,644,14,433
Apr 25,1077,644,14,433
Apr 26,1150,668,14,482
Apr 27,1164,651,14,513
Apr 28,1183,644,14,539
Apr 29,1238,667,14,571
Apr 30,1275,687,14,588
May 01,1333,721,15,612
May 02,1362,725,15,637
May 03,1398,728,17,670
May 04,1432,722,17,710
May 05,1464,745,18,719
May 06,1516,777,18,739
May 07,1571,809,20,762
May 08,1602,828,20,774
May 09,1667,877,21,790
May 10,1700,885,21,815
May 11,1730,891,21,839
May 12,1857,1016,21,841
May 13,1912,986,24,926
May 14,1971,1017,24,954
May 15,2017,1051,24,966
May 16,2061,1049,25,1012
May 17,2109,1078,27,1031
May 18,2119,1051,28,1068
May 19,2153,1075,28,1078
May 20,2231,1119,29,1112
May 21,2301,1172,29,1129
May 22,2341,1166,29,1175
May 23,2366,1148,30,1218
May 24,2376,1127,30,1249
May 25,2423,1136,30,1287
May 26,2477,1161,30,1316
May 27,2556,1223,31,1333
May 28,2641,1283,32,1358
May 29,2750,1348,32,1402
May 30,2799,1381,33,1418
May 31,2833,1365,33,1468
Jun 01,2951,1451,33,1500
Jun 02,3024,1490,33,1534
Jun 03,3110,1545,35,1565
Jun 04,3262,1643,35,1619
Jun 05,3431,1791,36,1640
Jun 06,3557,1771,36,1786
Jun 07,3739,1885,36,1854
Jun 08,3881,1974,38,1907
Jun 09,3995,1912,38,2083
Jun 10,4181,1966,41,2215
Jun 11,4404,2151,41,2253
Jun 12,4684,2376,45,2308
