Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,8,8,0,0
Mar 14,8,8,0,0
Mar 15,10,8,0,2
Mar 16,12,10,0,2
Mar 17,13,11,0,2
Mar 18,15,12,1,3
Mar 19,15,12,1,3
Mar 20,19,16,1,3
Mar 21,19,16,1,3
Mar 22,19,16,1,3
Mar 23,19,16,1,3
Mar 24,21,18,1,3
Mar 25,26,23,1,3
Mar 26,26,23,1,3
Mar 27,26,23,1,3
Mar 28,30,27,1,3
Mar 29,32,29,1,3
Mar 30,36,33,1,3
Mar 31,38,34,2,4
Apr 01,44,39,3,5
Apr 02,47,42,3,5
Apr 03,53,43,3,10
Apr 04,53,43,3,10
Apr 05,58,47,3,11
Apr 06,59,48,3,11
Apr 07,63,51,3,12
Apr 08,63,49,4,14
Apr 09,63,47,4,16
Apr 10,63,46,4,17
Apr 11,69,52,4,17
Apr 12,72,52,4,20
Apr 13,73,50,4,23
