Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,8,8,0,0
Mar 14,8,8,0,0
Mar 15,10,8,0,2
Mar 16,12,10,0,2
Mar 17,13,11,0,2
Mar 18,15,12,1,3
Mar 19,15,12,1,3
Mar 20,19,16,1,3
Mar 21,19,16,1,3
Mar 22,19,16,1,3
Mar 23,19,16,1,3
Mar 24,21,18,1,3
Mar 25,26,23,1,3
Mar 26,26,23,1,3
Mar 27,26,23,1,3
Mar 28,30,27,1,3
Mar 29,32,29,1,3
Mar 30,36,33,1,3
Mar 31,38,34,2,4
Apr 01,44,39,3,5
Apr 02,47,42,3,5
Apr 03,53,43,3,10
Apr 04,53,43,3,10
Apr 05,58,47,3,11
Apr 06,59,48,3,11
Apr 07,63,51,3,12
Apr 08,63,49,4,14
Apr 09,63,47,4,16
Apr 10,63,46,4,17
Apr 11,69,52,4,17
Apr 12,72,52,4,20
Apr 13,73,50,4,23
Apr 14,105,82,4,23
Apr 15,125,99,5,26
Apr 16,143,117,5,26
Apr 17,143,113,5,30
Apr 18,163,133,5,30
Apr 19,173,141,5,32
Apr 20,223,191,5,32
Apr 21,228,195,6,33
Apr 22,252,219,6,33
Apr 23,252,218,6,34
Apr 24,257,222,7,35
Apr 25,288,253,7,35
Apr 26,305,270,7,35
Apr 27,350,315,7,35
Apr 28,364,328,7,36
Apr 29,396,360,7,36
Apr 30,396,360,7,36
May 01,422,385,8,37
May 02,432,393,8,39
May 03,463,422,8,41
May 04,469,422,9,47
May 05,471,413,9,58
May 06,473,408,9,65
May 07,478,412,9,66
May 08,488,421,9,67
May 09,490,419,9,71
May 10,498,411,9,87
May 11,502,403,9,99
May 12,505,406,9,99
May 13,507,398,9,109
May 14,509,382,9,127
May 15,509,382,9,127
May 16,511,381,9,130
May 17,517,387,9,130
May 18,520,384,9,136
May 19,520,366,9,154
May 20,520,366,9,154
May 21,529,349,9,180
May 22,534,344,9,190
May 23,544,344,9,200
May 24,550,341,9,209
May 25,552,332,9,220
May 26,556,309,9,247
May 27,564,288,9,276
May 28,569,281,9,288
May 29,569,276,9,293
May 30,575,277,9,298
May 31,581,282,9,299
Jun 01,586,266,9,320
Jun 02,588,257,9,331
Jun 03,590,225,9,365
Jun 04,591,213,10,378
Jun 05,591,213,10,378
Jun 06,595,200,10,395
Jun 07,596,182,10,414
Jun 08,598,183,10,415
Jun 09,599,184,10,415
Jun 10,605,188,10,417
Jun 11,605,188,10,417
