Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,0,0,1
Mar 14,1,0,0,1
Mar 15,12,11,0,1
Mar 16,29,28,0,1
Mar 17,48,47,0,1
Mar 18,56,55,0,1
Mar 19,69,68,0,1
Mar 20,84,83,0,1
Mar 21,100,99,0,1
Mar 22,112,111,0,1
Mar 23,127,126,0,1
Mar 24,154,153,0,1
Mar 25,172,171,0,1
Mar 26,212,211,0,1
Mar 27,235,216,1,19
Mar 28,246,227,1,19
Mar 29,259,238,3,21
Mar 30,268,237,5,31
Mar 31,274,239,5,35
Apr 01,278,237,5,41
Apr 02,299,249,5,50
Apr 03,310,247,5,63
Apr 04,323,244,5,79
Apr 05,345,230,5,115
Apr 06,349,217,6,132
Apr 07,353,209,6,144
Apr 08,358,202,6,156
Apr 09,372,204,7,168
Apr 10,372,195,7,177
Apr 11,381,197,7,184
Apr 12,389,181,7,208
Apr 13,391,169,7,222
