Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,7,7,0,0
Mar 14,11,11,0,0
Mar 15,17,17,0,0
Mar 16,19,19,0,0
Mar 17,61,61,0,0
Mar 18,67,67,0,0
Mar 19,82,82,0,0
Mar 20,97,97,0,0
Mar 21,101,101,0,0
Mar 22,112,112,0,0
Mar 23,116,116,0,0
Mar 24,134,134,0,0
Mar 25,151,151,0,0
Mar 26,210,205,1,5
Mar 27,278,271,1,7
Mar 28,421,390,1,31
Mar 29,524,485,1,39
Mar 30,557,516,1,41
Mar 31,632,585,2,47
Apr 01,700,648,3,52
Apr 02,801,747,3,54
Apr 03,854,796,3,58
Apr 04,977,904,5,73
Apr 05,1074,989,6,85
Apr 06,1217,1124,6,93
Apr 07,1281,1179,6,102
Apr 08,1336,1227,7,109
Apr 09,1435,1314,8,121
Apr 10,1492,1362,10,130
Apr 11,1589,1427,10,162
Apr 12,1747,1551,10,196
Apr 13,2004,1732,12,272
Apr 14,2263,1867,14,396
Apr 15,2379,1911,16,468
Apr 16,2576,2038,17,538
Apr 17,2841,2171,17,670
Apr 18,2968,2241,17,727
Apr 19,3080,2310,17,770
Apr 20,3404,2544,19,860
Apr 21,3667,2728,19,939
Apr 22,3924,2936,19,988
Apr 23,4207,3133,20,1074
Apr 24,4441,3279,25,1162
Apr 25,4781,3540,25,1241
Apr 26,4994,3685,25,1309
Apr 27,5211,3831,25,1380
Apr 28,5564,4082,25,1482
Apr 29,5768,4202,25,1566
Apr 30,6253,4598,25,1655
May 01,6612,4852,25,1760
May 02,7090,5211,25,1879
May 03,7206,5139,27,2067
May 04,7443,5206,29,2237
May 05,7730,5294,29,2436
May 06,8129,5449,30,2680
May 07,8416,5529,30,2887
May 08,8887,5786,31,3101
May 09,9146,5772,31,3374
May 10,9357,5673,31,3684
May 11,9572,5637,32,3935
May 12,9704,5488,32,4216
May 13,9958,5394,32,4564
May 14,10241,5445,32,4796
May 15,10458,5329,34,5129
May 16,10754,5111,34,5643
May 17,11319,5157,34,6162
May 18,11839,5275,35,6564
May 19,12411,5604,35,6807
May 20,12812,5749,35,7063
May 21,13299,6031,35,7268
May 22,13967,6223,35,7744
May 23,14559,6593,35,7966
May 24,15300,7074,35,8226
May 25,15684,7151,35,8533
May 26,16489,7770,37,8719
May 27,17105,8094,37,9011
May 28,17605,8346,37,9259
May 29,18260,8705,37,9555
May 30,19088,9226,38,9862
May 31,19963,9752,40,10211
Jun 01,20791,10235,41,10556
Jun 02,21275,10050,44,11225
Jun 03,21689,9897,48,11792
Jun 04,22187,9702,52,12485
Jun 05,22638,9594,52,13044
Jun 06,23004,9522,53,13482
Jun 07,23341,9406,53,13935
