Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,3,3,0,0
Mar 16,3,3,0,0
Mar 17,4,4,0,0
Mar 18,7,7,0,0
Mar 19,7,7,0,0
Mar 20,7,7,0,0
Mar 21,7,7,0,0
Mar 22,15,15,0,0
Mar 23,16,16,0,0
Mar 24,25,25,0,0
Mar 25,28,27,0,1
Mar 26,31,29,1,2
Mar 27,31,29,1,2
Mar 28,38,36,1,2
Mar 29,42,40,1,2
Mar 30,50,48,1,2
Mar 31,59,57,1,2
Apr 01,81,77,1,4
Apr 02,110,103,3,7
Apr 03,122,114,4,8
Apr 04,126,118,4,8
Apr 05,142,134,4,8
Apr 06,158,148,6,10
Apr 07,172,159,6,13
Apr 08,179,164,6,15
Apr 09,184,165,7,19
Apr 10,189,160,7,29
Apr 11,191,160,7,31
Apr 12,197,164,8,33
Apr 13,208,159,9,49
