Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,3,3,0,0
Mar 19,3,3,0,0
Mar 20,6,6,0,0
Mar 21,14,14,0,0
Mar 22,14,14,0,0
Mar 23,16,16,0,0
Mar 24,42,42,0,0
Mar 25,44,44,0,0
Mar 26,44,44,0,0
Mar 27,58,58,0,0
Mar 28,58,58,0,0
Mar 29,84,84,0,0
Mar 30,94,91,0,3
Mar 31,107,104,0,3
Apr 01,111,108,0,3
Apr 02,116,111,0,5
Apr 03,130,123,1,7
Apr 04,144,134,1,10
Apr 05,147,137,1,10
Apr 06,216,179,4,37
Apr 07,228,191,4,37
Apr 08,270,233,4,37
Apr 09,280,241,4,39
Apr 10,298,258,5,40
Apr 11,339,290,5,49
Apr 12,377,318,5,59
Apr 13,419,347,5,72
