Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,5,5,0,0
Mar 19,5,5,0,0
Mar 20,10,10,0,0
Mar 21,25,25,0,0
Mar 22,25,25,0,0
Mar 23,29,29,0,0
Mar 24,77,77,0,0
Mar 25,81,81,0,0
Mar 26,81,81,0,0
Mar 27,107,107,0,0
Mar 28,107,107,0,0
Mar 29,155,155,0,0
Mar 30,173,165,0,8
Mar 31,197,189,0,8
Apr 01,204,196,0,8
Apr 02,213,200,0,13
Apr 03,239,218,5,21
Apr 04,265,236,5,29
Apr 05,270,241,5,29
Apr 06,396,286,20,110
Apr 07,418,308,20,110
Apr 08,495,385,20,110
Apr 09,513,398,20,115
Apr 10,546,426,25,120
Apr 11,621,476,25,145
Apr 12,690,518,25,172
Apr 13,767,559,25,208
Apr 14,787,568,25,219
Apr 15,822,584,25,238
Apr 16,853,579,25,274
Apr 17,895,558,25,337
Apr 18,926,545,25,381
Apr 19,1014,625,25,389
Apr 20,1040,455,35,585
Apr 21,1080,454,35,626
Apr 22,1120,390,35,730
Apr 23,1155,289,40,866
Apr 24,1201,280,40,921
Apr 25,1217,233,40,984
Apr 26,1248,196,40,1052
Apr 27,1272,152,40,1120
Apr 28,1296,118,40,1178
Apr 29,1334,98,40,1236
Apr 30,1365,61,40,1304
May 01,1383,-36,40,1419
May 02,1407,-75,40,1482
May 03,1455,-138,50,1593
May 04,1519,-104,50,1623
May 05,1543,-153,55,1696
May 06,1594,-145,60,1739
May 07,1638,-164,60,1802
May 08,1658,-180,60,1838
May 09,1704,-156,60,1860
May 10,1834,-73,60,1907
May 11,1860,-83,60,1943
May 12,1898,-103,60,2001
May 13,1911,-137,60,2048
May 14,1980,-93,60,2073
May 15,2033,-77,70,2110
May 16,2044,-170,70,2214
May 17,2082,-190,70,2272
May 18,2225,-110,70,2335
May 19,2274,-255,70,2529
May 20,2323,-239,70,2562
May 21,2402,-196,70,2598
May 22,2470,-172,70,2642
May 23,2497,-194,70,2691
May 24,2566,-188,70,2754
May 25,2621,-176,80,2797
May 26,2685,-175,80,2860
May 27,2780,-157,80,2937
May 28,2915,-85,80,3000
May 29,3039,-21,80,3060
May 30,3149,21,80,3128
May 31,3197,-87,80,3284
Jun 01,3323,9,80,3314
Jun 02,3374,-49,85,3423
Jun 03,3422,-142,100,3564
Jun 04,3473,-165,100,3638
Jun 05,3541,-238,110,3779
Jun 06,3610,-224,110,3834
Jun 07,3670,-342,110,4012
Jun 08,3716,-356,115,4072
Jun 09,3758,-423,120,4181
Jun 10,3827,-608,130,4435
