Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,3,3,0,0
Mar 19,3,3,0,0
Mar 20,6,6,0,0
Mar 21,14,14,0,0
Mar 22,14,14,0,0
Mar 23,16,16,0,0
Mar 24,42,42,0,0
Mar 25,44,44,0,0
Mar 26,44,44,0,0
Mar 27,58,58,0,0
Mar 28,58,58,0,0
Mar 29,84,84,0,0
Mar 30,94,91,0,3
Mar 31,107,104,0,3
Apr 01,111,108,0,3
Apr 02,116,111,0,5
Apr 03,130,123,1,7
Apr 04,144,134,1,10
Apr 05,147,137,1,10
Apr 06,216,179,4,37
Apr 07,228,191,4,37
Apr 08,270,233,4,37
Apr 09,280,241,4,39
Apr 10,298,258,5,40
Apr 11,339,290,5,49
Apr 12,377,318,5,59
Apr 13,419,347,5,72
Apr 14,430,354,5,76
Apr 15,449,366,5,83
Apr 16,466,370,5,96
Apr 17,489,370,5,119
Apr 18,506,371,5,135
Apr 19,554,416,5,138
Apr 20,568,360,7,208
Apr 21,590,367,7,223
Apr 22,612,351,7,261
Apr 23,631,321,8,310
Apr 24,656,326,8,330
Apr 25,665,312,8,353
Apr 26,682,304,8,378
Apr 27,695,292,8,403
Apr 28,708,284,8,424
Apr 29,729,284,8,445
Apr 30,746,276,8,470
May 01,756,244,8,512
May 02,769,234,8,535
May 03,795,221,10,574
May 04,830,245,10,585
May 05,843,232,11,611
May 06,871,245,12,626
May 07,895,246,12,649
May 08,906,244,12,662
May 09,931,261,12,670
May 10,1002,315,12,687
May 11,1016,316,12,700
May 12,1037,316,12,721
May 13,1044,306,12,738
May 14,1082,335,12,747
May 15,1111,352,14,759
May 16,1117,320,14,797
May 17,1138,320,14,818
May 18,1216,375,14,841
May 19,1243,331,14,912
May 20,1270,346,14,924
May 21,1313,376,14,937
May 22,1350,397,14,953
May 23,1365,394,14,971
May 24,1403,409,14,994
May 25,1433,425,16,1008
May 26,1468,437,16,1031
May 27,1520,461,16,1059
May 28,1594,512,16,1082
May 29,1662,558,16,1104
May 30,1722,593,16,1129
May 31,1748,562,16,1186
Jun 01,1817,620,16,1197
Jun 02,1845,609,17,1236
Jun 03,1871,586,20,1285
Jun 04,1899,587,20,1312
Jun 05,1936,574,22,1362
Jun 06,1974,592,22,1382
Jun 07,2007,560,22,1447
Jun 08,2032,564,23,1468
Jun 09,2055,548,24,1507
Jun 10,2093,495,26,1598
Jun 11,2129,473,26,1656
