Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,2,2,0,0
Mar 25,3,3,0,0
Mar 26,6,6,0,0
Mar 27,6,6,0,0
Mar 28,8,8,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,9,9,0,0
Apr 01,10,10,0,0
Apr 02,10,10,0,0
Apr 03,10,10,0,0
Apr 04,10,10,0,0
Apr 05,11,11,0,0
Apr 06,12,12,0,0
Apr 07,14,14,0,0
Apr 08,15,15,0,0
Apr 09,16,16,0,0
Apr 10,16,16,0,0
Apr 11,18,18,0,0
Apr 12,19,19,0,0
Apr 13,19,19,0,0
Apr 14,19,18,0,1
Apr 15,19,18,0,1
Apr 16,19,17,0,2
Apr 17,19,17,0,2
Apr 18,19,17,0,2
Apr 19,19,17,0,2
Apr 20,19,17,0,2
Apr 21,19,17,0,2
Apr 22,19,15,0,4
Apr 23,19,15,0,4
Apr 24,19,15,0,4
Apr 25,19,12,0,7
Apr 26,19,12,0,7
Apr 27,19,12,0,7
Apr 28,19,12,0,7
Apr 29,19,12,0,7
Apr 30,19,11,0,8
May 01,19,11,0,8
May 02,19,10,0,9
May 03,19,10,0,9
May 04,19,10,0,9
May 05,19,10,0,9
May 06,19,10,0,9
May 07,19,10,0,9
May 08,19,10,0,9
May 09,19,6,0,13
May 10,19,6,0,13
May 11,19,6,0,13
May 12,19,6,0,13
May 13,19,5,0,14
May 14,19,5,0,14
May 15,19,5,0,14
May 16,19,5,0,14
May 17,19,5,0,14
May 18,19,5,0,14
May 19,19,5,0,14
May 20,19,5,0,14
May 21,19,5,0,14
May 22,19,5,0,14
May 23,19,5,0,14
May 24,19,5,0,14
May 25,19,5,0,14
May 26,19,5,0,14
May 27,19,3,0,16
May 28,19,3,0,16
May 29,19,3,0,16
May 30,19,3,0,16
May 31,19,3,0,16
Jun 01,19,3,0,16
Jun 02,19,3,0,16
Jun 03,19,1,0,18
Jun 04,19,1,0,18
Jun 05,19,1,0,18
Jun 06,19,1,0,18
Jun 07,19,1,0,18
Jun 08,19,1,0,18
Jun 09,19,0,0,19
Jun 10,19,0,0,19
Jun 11,19,0,0,19
Jun 12,19,0,0,19
Jun 13,19,0,0,19
Jun 14,19,0,0,19
Jun 15,19,0,0,19
Jun 16,19,0,0,19
Jun 17,19,0,0,19
Jun 18,19,0,0,19
Jun 19,19,0,0,19
Jun 20,19,0,0,19
Jun 21,19,0,0,19
Jun 22,19,0,0,19
Jun 23,19,0,0,19
Jun 24,19,0,0,19
Jun 25,19,0,0,19
Jun 26,19,0,0,19
Jun 27,19,0,0,19
Jun 28,19,0,0,19
Jun 29,19,0,0,19
Jun 30,19,0,0,19
Jul 01,19,0,0,19
Jul 02,19,0,0,19
Jul 03,19,0,0,19
Jul 04,19,0,0,19
Jul 05,19,0,0,19
Jul 06,19,0,0,19
Jul 07,19,0,0,19
Jul 08,19,0,0,19
Jul 09,19,0,0,19
Jul 10,19,0,0,19
Jul 11,19,0,0,19
Jul 12,19,0,0,19
Jul 13,19,0,0,19
Jul 14,19,0,0,19
Jul 15,19,0,0,19
Jul 16,19,0,0,19
Jul 17,19,0,0,19
Jul 18,19,0,0,19
Jul 19,19,0,0,19
Jul 20,19,0,0,19
Jul 21,19,0,0,19
Jul 22,19,0,0,19
Jul 23,19,0,0,19
Jul 24,20,1,0,19
Jul 25,20,1,0,19
Jul 26,20,1,0,19
Jul 27,20,1,0,19
Jul 28,20,1,0,19
Jul 29,20,1,0,19
Jul 30,20,1,0,19
Jul 31,20,1,0,19
Aug 01,20,1,0,19
Aug 02,20,1,0,19
Aug 03,20,1,0,19
Aug 04,20,1,0,19
Aug 05,20,1,0,19
Aug 06,20,1,0,19
Aug 07,20,1,0,19
Aug 08,20,1,0,19
Aug 09,20,1,0,19
Aug 10,20,1,0,19
Aug 11,20,1,0,19
Aug 12,20,1,0,19
Aug 13,20,1,0,19
Aug 14,22,3,0,19
Aug 15,22,3,0,19
Aug 16,22,3,0,19
Aug 17,22,3,0,19
Aug 18,22,3,0,19
Aug 19,22,3,0,19
Aug 20,22,3,0,19
