Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,1,0,0,1
Mar 08,3,2,0,1
Mar 09,6,5,0,1
Mar 10,8,7,0,1
Mar 11,10,9,0,1
Mar 12,16,15,0,1
Mar 13,17,16,0,1
Mar 14,26,25,0,1
Mar 15,30,29,0,1
Mar 16,34,33,0,1
Mar 17,60,59,0,1
Mar 18,71,70,0,1
Mar 19,86,85,0,1
Mar 20,111,110,0,1
Mar 21,124,123,0,1
Mar 22,139,138,0,1
Mar 23,180,179,0,1
Mar 24,197,196,0,1
Mar 25,221,220,0,1
Mar 26,244,243,0,1
Mar 27,280,279,0,1
Mar 28,305,304,0,1
Mar 29,347,346,0,1
Mar 30,376,375,0,1
Mar 31,398,397,0,1
Apr 01,446,445,0,1
Apr 02,458,427,0,31
Apr 03,493,491,1,2
Apr 04,509,507,1,2
Apr 05,533,531,1,2
Apr 06,542,525,1,17
Apr 07,548,530,2,18
Apr 08,577,559,2,18
Apr 09,589,570,3,19
Apr 10,612,593,3,19
Apr 11,630,611,3,19
Apr 12,651,630,5,21
Apr 13,655,634,5,21
