Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,1,0,0,1
Mar 08,3,2,0,1
Mar 09,6,5,0,1
Mar 10,8,7,0,1
Mar 11,10,9,0,1
Mar 12,16,15,0,1
Mar 13,17,16,0,1
Mar 14,26,25,0,1
Mar 15,30,29,0,1
Mar 16,34,33,0,1
Mar 17,60,59,0,1
Mar 18,71,70,0,1
Mar 19,86,85,0,1
Mar 20,111,110,0,1
Mar 21,124,123,0,1
Mar 22,139,138,0,1
Mar 23,180,179,0,1
Mar 24,197,196,0,1
Mar 25,221,220,0,1
Mar 26,244,243,0,1
Mar 27,280,279,0,1
Mar 28,305,304,0,1
Mar 29,347,346,0,1
Mar 30,376,375,0,1
Mar 31,398,397,0,1
Apr 01,446,445,0,1
Apr 02,458,427,0,31
Apr 03,493,491,1,2
Apr 04,509,507,1,2
Apr 05,533,531,1,2
Apr 06,542,525,1,17
Apr 07,548,530,2,18
Apr 08,577,559,2,18
Apr 09,589,570,3,19
Apr 10,612,593,3,19
Apr 11,630,611,3,19
Apr 12,651,630,5,21
Apr 13,655,634,5,21
Apr 14,657,636,5,21
Apr 15,666,617,5,49
Apr 16,675,613,5,62
Apr 17,682,589,5,93
Apr 18,712,619,5,93
Apr 19,727,634,5,93
Apr 20,739,646,5,93
Apr 21,748,606,9,142
Apr 22,761,617,11,144
Apr 23,778,634,11,144
Apr 24,784,505,12,279
Apr 25,804,525,12,279
Apr 26,812,533,12,279
Apr 27,818,538,13,280
Apr 28,836,556,13,280
Apr 29,849,486,15,363
Apr 30,858,495,15,363
May 01,870,506,16,364
May 02,871,507,16,364
May 03,879,515,16,364
May 04,896,532,16,364
May 05,896,531,17,365
May 06,900,419,17,481
May 07,909,427,18,482
May 08,928,446,18,482
May 09,930,448,18,482
May 10,939,457,18,482
May 11,946,464,18,482
May 12,950,305,18,645
May 13,951,305,19,646
May 14,962,316,19,646
May 15,970,289,19,681
May 16,997,316,19,681
May 17,1008,327,19,681
May 18,1009,328,19,681
May 19,1012,297,21,715
May 20,1016,301,21,715
May 21,1025,309,22,716
May 22,1030,296,22,734
May 23,1046,312,22,734
May 24,1047,313,22,734
May 25,1049,315,22,734
May 26,1053,290,22,763
May 27,1057,293,23,764
May 28,1061,296,24,765
May 29,1064,295,24,769
May 30,1065,296,24,769
May 31,1066,297,24,769
Jun 01,1066,297,24,769
Jun 02,1071,287,24,784
Jun 03,1079,295,24,784
Jun 04,1082,297,25,785
Jun 05,1085,279,25,806
Jun 06,1086,280,25,806
Jun 07,1088,282,25,806
Jun 08,1088,281,26,807
Jun 09,1089,269,26,820
Jun 10,1092,272,26,820
Jun 11,1094,250,26,844
Jun 12,1096,251,27,845
Jun 13,1097,224,28,873
Jun 14,1097,224,28,873
Jun 15,1097,224,28,873
Jun 16,1098,195,28,903
Jun 17,1104,199,30,905
Jun 18,1108,175,30,933
Jun 19,1110,177,30,933
Jun 20,1111,178,30,933
Jun 21,1111,178,30,933
Jun 22,1111,178,30,933
Jun 23,1111,178,30,933
Jun 24,1111,178,30,933
Jun 25,1111,178,30,933
Jun 26,1112,150,30,962
Jun 27,1115,153,30,962
Jun 28,1116,154,30,962
Jun 29,1117,155,30,962
Jun 30,1118,114,30,1004
Jul 01,1121,117,30,1004
Jul 02,1122,104,30,1018
Jul 03,1122,95,30,1027
Jul 04,1123,93,30,1030
Jul 05,1124,94,30,1030
Jul 06,1127,97,30,1030
Jul 07,1134,96,30,1038
Jul 08,1141,103,30,1038
Jul 09,1154,105,30,1049
Jul 10,1165,116,30,1049
Jul 11,1173,124,30,1049
Jul 12,1173,124,30,1049
Jul 13,1174,124,31,1050
Jul 14,1174,121,31,1053
Jul 15,1178,125,31,1053
Jul 16,1179,126,31,1053
Jul 17,1185,132,31,1053
Jul 18,1189,136,31,1053
Jul 19,1192,139,31,1053
Jul 20,1192,139,31,1053
Jul 21,1193,117,31,1076
Jul 22,1197,121,31,1076
Jul 23,1203,127,31,1076
Jul 24,1205,129,31,1076
Jul 25,1206,130,31,1076
Jul 26,1219,143,31,1076
Jul 27,1219,143,31,1076
Jul 28,1220,137,31,1083
Jul 29,1224,141,31,1083
Jul 30,1228,145,31,1083
Jul 31,1231,147,32,1084
Aug 01,1238,154,32,1084
Aug 02,1243,159,32,1084
Aug 03,1246,162,32,1084
Aug 04,1249,147,32,1102
Aug 05,1257,155,32,1102
Aug 06,1275,173,32,1102
Aug 07,1281,179,32,1102
Aug 08,1288,186,32,1102
Aug 09,1290,188,32,1102
Aug 10,1290,188,32,1102
Aug 11,1293,183,32,1110
Aug 12,1303,193,32,1110
Aug 13,1307,197,32,1110
Aug 14,1308,198,32,1110
Aug 15,1315,205,32,1110
Aug 16,1322,212,32,1110
Aug 17,1323,213,32,1110
Aug 18,1323,197,33,1126
Aug 19,1326,200,33,1126
Aug 20,1327,201,33,1126
