Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,1,0,0,1
Mar 08,3,2,0,1
Mar 09,6,5,0,1
Mar 10,8,7,0,1
Mar 11,10,9,0,1
Mar 12,16,15,0,1
Mar 13,17,16,0,1
Mar 14,26,25,0,1
Mar 15,30,29,0,1
Mar 16,34,33,0,1
Mar 17,60,59,0,1
Mar 18,71,70,0,1
Mar 19,86,85,0,1
Mar 20,111,110,0,1
Mar 21,124,123,0,1
Mar 22,139,138,0,1
Mar 23,180,179,0,1
Mar 24,197,196,0,1
Mar 25,221,220,0,1
Mar 26,244,243,0,1
Mar 27,280,279,0,1
Mar 28,305,304,0,1
Mar 29,347,346,0,1
Mar 30,376,375,0,1
Mar 31,398,397,0,1
Apr 01,446,445,0,1
Apr 02,458,427,0,31
Apr 03,493,491,1,2
Apr 04,509,507,1,2
Apr 05,533,531,1,2
Apr 06,542,525,1,17
Apr 07,548,530,2,18
Apr 08,577,559,2,18
Apr 09,589,570,3,19
Apr 10,612,593,3,19
Apr 11,630,611,3,19
Apr 12,651,630,5,21
Apr 13,655,634,5,21
Apr 14,657,636,5,21
Apr 15,666,617,5,49
Apr 16,675,613,5,62
Apr 17,682,589,5,93
Apr 18,712,619,5,93
Apr 19,727,634,5,93
Apr 20,739,646,5,93
Apr 21,748,606,9,142
Apr 22,761,617,11,144
Apr 23,778,634,11,144
Apr 24,784,505,12,279
Apr 25,804,525,12,279
Apr 26,812,533,12,279
Apr 27,818,538,13,280
Apr 28,836,556,13,280
Apr 29,849,486,15,363
Apr 30,858,495,15,363
May 01,870,506,16,364
May 02,871,507,16,364
May 03,879,515,16,364
May 04,896,532,16,364
May 05,896,531,17,365
May 06,900,419,17,481
May 07,909,427,18,482
May 08,928,446,18,482
May 09,930,448,18,482
May 10,939,457,18,482
May 11,946,464,18,482
May 12,950,305,18,645
May 13,951,305,19,646
May 14,962,316,19,646
May 15,970,289,19,681
May 16,997,316,19,681
May 17,1008,327,19,681
May 18,1009,328,19,681
May 19,1012,297,21,715
May 20,1016,301,21,715
May 21,1025,309,22,716
May 22,1030,296,22,734
May 23,1046,312,22,734
May 24,1047,313,22,734
May 25,1049,315,22,734
May 26,1053,290,22,763
May 27,1057,293,23,764
May 28,1061,296,24,765
May 29,1064,295,24,769
May 30,1065,296,24,769
May 31,1066,297,24,769
Jun 01,1066,297,24,769
Jun 02,1071,287,24,784
Jun 03,1079,295,24,784
Jun 04,1082,297,25,785
Jun 05,1085,279,25,806
Jun 06,1086,280,25,806
Jun 07,1088,282,25,806
Jun 08,1088,281,26,807
Jun 09,1089,269,26,820
Jun 10,1092,272,26,820
Jun 11,1094,250,26,844
