Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,1,1,0,0
Feb 22,1,1,0,0
Feb 23,1,1,0,0
Feb 24,1,1,0,0
Feb 25,1,1,0,0
Feb 26,2,2,0,0
Feb 27,3,3,0,0
Feb 28,4,4,0,0
Feb 29,7,7,0,0
Mar 01,10,10,0,0
Mar 02,13,13,0,0
Mar 03,13,13,0,0
Mar 04,15,15,0,0
Mar 05,16,16,0,0
Mar 06,22,21,0,1
Mar 07,28,27,0,1
Mar 08,32,31,0,1
Mar 09,41,40,0,1
Mar 10,52,50,1,2
Mar 11,68,65,2,3
Mar 12,68,64,3,4
Mar 13,77,73,3,4
Mar 14,93,89,3,4
Mar 15,110,106,3,4
Mar 16,109,103,3,6
Mar 17,124,116,4,8
Mar 18,133,125,4,8
Mar 19,157,149,4,8
Mar 20,177,169,4,8
Mar 21,230,218,4,12
Mar 22,248,236,4,12
Mar 23,267,255,4,12
Mar 24,318,306,4,12
Mar 25,333,307,6,26
Mar 26,368,339,6,29
Mar 27,391,356,8,35
Mar 28,412,374,8,38
Mar 29,438,398,10,40
Mar 30,446,400,11,46
Mar 31,463,414,12,49
Apr 01,479,422,14,57
Apr 02,494,432,16,62
Apr 03,508,441,17,67
Apr 04,520,449,17,71
Apr 05,527,455,18,72
Apr 06,541,462,19,79
Apr 07,548,467,19,81
Apr 08,576,495,19,81
Apr 09,582,496,19,86
Apr 10,609,513,20,96
Apr 11,619,522,20,97
Apr 12,630,530,20,100
Apr 13,632,532,20,100
Apr 14,641,540,21,101
Apr 15,658,552,21,106
Apr 16,663,556,21,107
Apr 17,668,561,21,107
Apr 18,672,552,21,120
Apr 19,673,550,21,123
Apr 20,677,553,21,124
Apr 21,677,548,21,129
Apr 22,682,547,22,135
Apr 23,688,526,22,162
Apr 24,696,534,22,162
Apr 25,704,537,24,167
Apr 26,707,538,24,169
Apr 27,710,541,24,169
Apr 28,717,548,24,169
Apr 29,721,547,24,174
Apr 30,725,551,24,174
May 01,729,513,24,216
May 02,733,511,25,222
May 03,737,512,25,225
May 04,740,515,25,225
May 05,741,510,25,231
May 06,750,519,25,231
May 07,784,539,25,245
May 08,796,547,26,249
May 09,809,549,26,260
May 10,845,585,26,260
May 11,859,599,26,260
May 12,870,610,26,260
May 13,878,616,26,262
May 14,886,624,26,262
May 15,891,619,26,272
May 16,902,629,26,273
May 17,911,638,26,273
May 18,931,654,26,277
May 19,954,677,26,277
May 20,961,684,26,277
May 21,1024,335,26,689
May 22,1086,397,26,689
May 23,1097,404,26,693
May 24,1114,400,26,714
May 25,1119,405,26,714
May 26,1140,425,26,715
May 27,1161,443,26,718
May 28,1168,443,26,725
May 29,1172,441,26,731
May 30,1191,457,26,734
May 31,1220,481,27,739
Jun 01,1233,491,27,742
Jun 02,1242,496,27,746
Jun 03,1256,505,27,751
Jun 04,1306,547,28,759
Jun 05,1312,516,28,796
Jun 06,1320,523,29,797
Jun 07,1331,533,30,798
Jun 08,1350,541,30,809
Jun 09,1368,543,30,825
Jun 10,1388,526,30,862
Jun 11,1402,526,31,876
Jun 12,1422,538,31,884
Jun 13,1442,542,32,900
Jun 14,1446,546,32,900
Jun 15,1464,557,32,907
Jun 16,1473,552,32,921
Jun 17,1489,550,32,939
Jun 18,1495,519,32,976
Jun 19,1510,518,32,992
Jun 20,1536,498,32,1038
Jun 21,1587,487,32,1100
Jun 22,1603,494,32,1109
Jun 23,1622,492,32,1130
Jun 24,1644,508,33,1136
Jun 25,1662,485,33,1177
Jun 26,1697,520,33,1177
Jun 27,1719,533,33,1186
Jun 28,1740,553,34,1187
Jun 29,1745,541,34,1204
Jun 30,1778,561,34,1217
Jul 01,1788,531,34,1257
Jul 02,1796,519,35,1277
Jul 03,1830,503,35,1327
Jul 04,1855,516,35,1339
Jul 05,1873,526,36,1347
Jul 06,1885,538,36,1347
Jul 07,1907,523,36,1384
Jul 08,1946,542,36,1404
Jul 09,2011,607,36,1404
Jul 10,2082,644,36,1438
Jul 11,2168,730,36,1438
Jul 12,2334,878,36,1456
Jul 13,2419,960,36,1459
Jul 14,2451,962,37,1489
Jul 15,2542,1049,38,1493
Jul 16,2599,1074,40,1525
Jul 17,2700,1175,40,1525
Jul 18,2775,1250,40,1525
Jul 19,2859,1304,40,1555
Jul 20,2905,1302,41,1603
Jul 21,2980,1362,41,1618
Jul 22,3104,1454,43,1650
Jul 23,3260,1598,43,1662
Jul 24,3407,1695,46,1712
Jul 25,3582,1864,47,1718
Jul 26,3750,2007,51,1743
Jul 27,3882,2122,51,1760
Jul 28,4023,2259,54,1764
Jul 29,4205,2397,55,1808
Jul 30,4334,2524,57,1810
Jul 31,4555,2733,61,1822
Aug 01,4730,2908,61,1822
Aug 02,4885,3028,62,1857
Aug 03,5062,3160,65,1902
Aug 04,5271,3369,65,1902
Aug 05,5417,3469,68,1948
Aug 06,5672,3628,70,2044
Aug 07,5951,3839,70,2112
Aug 08,6223,4102,78,2121
Aug 09,6517,4312,78,2205
Aug 10,6812,4442,80,2370
Aug 11,7121,4657,87,2464
Aug 12,7413,4917,89,2496
Aug 13,7711,5123,92,2588
Aug 14,8045,5400,94,2645
Aug 15,8442,5695,97,2747
Aug 16,8881,6054,103,2827
Aug 17,9337,6423,105,2914
Aug 18,9758,6799,107,2959
Aug 19,10347,7310,109,3037
Aug 20,10952,7799,113,3153
