Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,1,1,0,0
Feb 22,1,1,0,0
Feb 23,1,1,0,0
Feb 24,1,1,0,0
Feb 25,1,1,0,0
Feb 26,2,2,0,0
Feb 27,3,3,0,0
Feb 28,4,4,0,0
Feb 29,7,7,0,0
Mar 01,10,10,0,0
Mar 02,13,13,0,0
Mar 03,13,13,0,0
Mar 04,15,15,0,0
Mar 05,16,16,0,0
Mar 06,22,21,0,1
Mar 07,28,27,0,1
Mar 08,32,31,0,1
Mar 09,41,40,0,1
Mar 10,52,50,1,2
Mar 11,68,65,2,3
Mar 12,68,64,3,4
Mar 13,77,73,3,4
Mar 14,93,89,3,4
Mar 15,110,106,3,4
Mar 16,109,103,3,6
Mar 17,124,116,4,8
Mar 18,133,125,4,8
Mar 19,157,149,4,8
Mar 20,177,169,4,8
Mar 21,230,218,4,12
Mar 22,248,236,4,12
Mar 23,267,255,4,12
Mar 24,318,306,4,12
Mar 25,333,307,6,26
Mar 26,368,339,6,29
Mar 27,391,356,8,35
Mar 28,412,374,8,38
Mar 29,438,398,10,40
Mar 30,446,400,11,46
Mar 31,463,414,12,49
Apr 01,479,422,14,57
Apr 02,494,432,16,62
Apr 03,508,441,17,67
Apr 04,520,449,17,71
Apr 05,527,455,18,72
Apr 06,541,462,19,79
Apr 07,548,467,19,81
Apr 08,576,495,19,81
Apr 09,582,496,19,86
Apr 10,609,513,20,96
Apr 11,619,522,20,97
Apr 12,630,530,20,100
Apr 13,632,532,20,100
Apr 14,641,540,21,101
Apr 15,658,552,21,106
Apr 16,663,556,21,107
Apr 17,668,561,21,107
Apr 18,672,552,21,120
Apr 19,673,550,21,123
Apr 20,677,553,21,124
Apr 21,677,548,21,129
Apr 22,682,547,22,135
Apr 23,688,526,22,162
Apr 24,696,534,22,162
Apr 25,704,537,24,167
Apr 26,707,538,24,169
Apr 27,710,541,24,169
Apr 28,717,548,24,169
Apr 29,721,547,24,174
Apr 30,725,551,24,174
May 01,729,513,24,216
May 02,733,511,25,222
May 03,737,512,25,225
May 04,740,515,25,225
May 05,741,510,25,231
May 06,750,519,25,231
May 07,784,539,25,245
May 08,796,547,26,249
May 09,809,549,26,260
May 10,845,585,26,260
May 11,859,599,26,260
May 12,870,610,26,260
May 13,878,616,26,262
May 14,886,624,26,262
May 15,891,619,26,272
May 16,902,629,26,273
May 17,911,638,26,273
May 18,931,654,26,277
May 19,954,677,26,277
May 20,961,684,26,277
May 21,1024,335,26,689
May 22,1086,397,26,689
May 23,1097,404,26,693
May 24,1114,400,26,714
May 25,1119,405,26,714
May 26,1140,425,26,715
May 27,1161,443,26,718
