Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,0,0,0,0
Apr 06,0,0,0,0
Apr 07,0,0,0,0
Apr 08,0,0,0,0
Apr 09,0,0,0,0
Apr 10,0,0,0,0
Apr 11,0,0,0,0
Apr 12,0,0,0,0
Apr 13,0,0,0,0
Apr 14,0,0,0,0
Apr 15,0,0,0,0
Apr 16,0,0,0,0
Apr 17,0,0,0,0
Apr 18,0,0,0,0
Apr 19,0,0,0,0
Apr 20,0,0,0,0
Apr 21,0,0,0,0
Apr 22,0,0,0,0
Apr 23,0,0,0,0
Apr 24,0,0,0,0
Apr 25,0,0,0,0
Apr 26,0,0,0,0
Apr 27,0,0,0,0
Apr 28,0,0,0,0
Apr 29,0,0,0,0
Apr 30,0,0,0,0
May 01,0,0,0,0
May 02,0,0,0,0
May 03,0,0,0,0
May 04,0,0,0,0
May 05,0,0,0,0
May 06,0,0,0,0
May 07,0,0,0,0
May 08,0,0,0,0
May 09,0,0,0,0
May 10,0,0,0,0
May 11,0,0,0,0
May 12,0,0,0,0
May 13,1,1,0,0
May 14,1,1,0,0
May 15,1,1,0,0
May 16,1,1,0,0
May 17,1,1,0,0
May 18,1,1,0,0
May 19,1,1,0,0
May 20,1,1,0,0
May 21,1,1,0,0
May 22,2,2,0,0
May 23,2,2,0,0
May 24,2,2,0,0
May 25,2,2,0,0
May 26,2,2,0,0
May 27,2,2,0,0
May 28,2,1,0,1
May 29,2,1,0,1
May 30,2,1,0,1
May 31,2,1,0,1
Jun 01,2,1,0,1
Jun 02,2,1,0,1
Jun 03,4,2,0,2
Jun 04,4,2,0,2
Jun 05,4,2,0,2
Jun 06,4,2,0,2
Jun 07,4,2,0,2
Jun 08,4,2,0,2
Jun 09,4,2,0,2
Jun 10,4,2,0,2
Jun 11,4,2,0,2
Jun 12,4,2,0,2
Jun 13,4,2,0,2
Jun 14,4,2,0,2
Jun 15,4,2,0,2
Jun 16,4,2,0,2
Jun 17,4,2,0,2
Jun 18,4,2,0,2
Jun 19,4,2,0,2
Jun 20,4,2,0,2
Jun 21,4,2,0,2
Jun 22,12,10,0,2
Jun 23,17,15,0,2
Jun 24,17,15,0,2
Jun 25,17,15,0,2
Jun 26,24,20,0,4
Jun 27,24,20,0,4
Jun 28,27,23,0,4
Jun 29,27,23,0,4
Jun 30,27,23,0,4
Jul 01,35,24,0,11
Jul 02,35,24,0,11
Jul 03,35,24,0,11
Jul 04,35,24,0,11
Jul 05,79,68,0,11
Jul 06,91,80,0,11
Jul 07,91,80,0,11
Jul 08,91,80,0,11
Jul 09,134,122,1,12
Jul 10,184,157,1,27
Jul 11,184,157,1,27
Jul 12,233,199,2,34
Jul 13,245,209,3,36
Jul 14,256,205,3,51
Jul 15,256,205,3,51
Jul 16,256,205,3,51
Jul 17,311,236,6,75
Jul 18,359,284,6,75
Jul 19,359,284,6,75
Jul 20,359,284,6,75
Jul 21,359,284,6,75
Jul 22,359,284,6,75
Jul 23,359,284,6,75
Jul 24,359,284,6,75
Jul 25,419,341,9,78
Jul 26,505,365,12,140
Jul 27,505,365,12,140
Jul 28,505,365,12,140
Jul 29,576,422,13,154
Jul 30,604,447,13,157
Jul 31,604,447,13,157
Aug 01,702,517,14,185
Aug 02,718,526,19,192
Aug 03,718,526,19,192
Aug 04,726,531,21,195
Aug 05,726,531,21,195
Aug 06,742,544,23,198
Aug 07,742,544,23,198
Aug 08,742,544,23,198
Aug 09,742,544,23,198
Aug 10,781,582,24,199
Aug 11,781,582,24,199
Aug 12,798,599,24,199
Aug 13,884,588,25,296
Aug 14,884,588,25,296
Aug 15,903,607,25,296
Aug 16,903,607,25,296
Aug 17,946,645,30,301
Aug 18,946,645,30,301
Aug 19,946,645,30,301
Aug 20,996,543,30,453
