Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,2,2,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,3,3,0,0
Mar 31,3,3,0,0
Apr 01,6,6,0,0
Apr 02,6,6,0,0
Apr 03,7,7,0,0
Apr 04,10,6,1,4
Apr 05,13,7,3,6
Apr 06,14,8,3,6
Apr 07,14,8,3,6
Apr 08,31,24,4,7
Apr 09,31,24,4,7
Apr 10,37,29,5,8
Apr 11,48,40,5,8
Apr 12,50,42,5,8
Apr 13,59,49,6,10
