Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,2,2,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,3,3,0,0
Mar 31,3,3,0,0
Apr 01,6,6,0,0
Apr 02,6,6,0,0
Apr 03,7,7,0,0
Apr 04,10,6,1,4
Apr 05,13,7,3,6
Apr 06,14,8,3,6
Apr 07,14,8,3,6
Apr 08,31,24,4,7
Apr 09,31,24,4,7
Apr 10,37,29,5,8
Apr 11,48,40,5,8
Apr 12,50,42,5,8
Apr 13,59,49,6,10
Apr 14,59,49,6,10
Apr 15,59,49,6,10
Apr 16,59,49,6,10
Apr 17,76,62,7,14
Apr 18,76,62,7,14
Apr 19,91,76,8,15
Apr 20,99,84,8,15
Apr 21,101,86,8,15
Apr 22,101,73,8,28
Apr 23,101,73,8,28
Apr 24,117,84,8,33
Apr 25,120,84,11,36
Apr 26,124,87,12,37
Apr 27,124,87,12,37
Apr 28,141,80,16,61
Apr 29,141,80,16,61
Apr 30,141,80,16,61
May 01,152,89,18,63
May 02,154,88,18,66
May 03,158,82,18,76
May 04,166,90,18,76
May 05,170,92,20,78
May 06,178,83,20,95
May 07,189,90,20,99
May 08,199,100,20,99
May 09,199,100,20,99
May 10,199,100,20,99
May 11,211,106,20,105
May 12,211,106,20,105
May 13,213,92,20,121
May 14,215,90,20,125
May 15,219,91,20,128
May 16,223,87,20,136
May 17,226,85,21,141
May 18,229,84,22,145
May 19,233,85,23,148
May 20,238,87,23,151
May 21,240,86,23,154
May 22,249,89,24,160
May 23,255,93,26,162
May 24,265,100,26,165
May 25,265,98,26,167
May 26,266,96,26,170
May 27,266,95,27,171
May 28,269,98,27,171
May 29,273,100,27,173
May 30,280,105,27,175
May 31,288,104,27,184
Jun 01,296,110,27,186
Jun 02,311,116,28,195
Jun 03,316,119,28,197
Jun 04,321,118,28,203
Jun 05,334,128,30,206
Jun 06,345,130,30,215
Jun 07,359,135,30,224
Jun 08,370,145,30,225
Jun 09,383,153,31,230
Jun 10,397,166,31,231
Jun 11,410,173,31,237
Jun 12,421,179,32,242
Jun 13,446,200,32,246
Jun 14,458,207,32,251
Jun 15,498,244,33,254
Jun 16,509,254,33,255
Jun 17,516,243,33,273
Jun 18,542,259,33,283
Jun 19,581,298,33,283
Jun 20,601,314,33,287
Jun 21,626,338,34,288
Jun 22,650,356,34,294
Jun 23,652,348,34,304
Jun 24,662,358,34,304
Jun 25,681,369,34,312
Jun 26,684,365,34,319
Jun 27,729,404,34,325
Jun 28,768,436,34,332
Jun 29,770,422,36,348
Jun 30,780,420,36,360
Jul 01,804,432,37,372
Jul 02,819,444,37,375
Jul 03,833,450,37,383
Jul 04,869,463,37,406
Jul 05,874,460,37,414
Jul 06,891,475,39,416
Jul 07,917,482,41,435
Jul 08,926,490,41,436
Jul 09,957,517,42,440
Jul 10,963,516,47,447
Jul 11,998,531,47,467
Jul 12,1010,536,51,474
Jul 13,1024,534,51,490
Jul 14,1038,541,51,497
Jul 15,1056,558,51,498
Jul 16,1070,516,68,554
Jul 17,1085,520,69,565
Jul 18,1088,499,70,589
Jul 19,1091,487,70,604
Jul 20,1107,490,70,617
Jul 21,1108,463,70,645
Jul 22,1114,452,70,662
Jul 23,1117,433,71,684
Jul 24,1135,443,71,692
Jul 25,1155,453,71,702
Jul 26,1162,449,72,713
Jul 27,1167,449,72,718
Jul 28,1177,459,72,718
Jul 29,1179,443,72,736
Jul 30,1181,441,73,740
Jul 31,1186,441,75,745
Aug 01,1189,441,75,748
Aug 02,1207,457,77,750
Aug 03,1214,440,78,774
Aug 04,1216,440,78,776
Aug 05,1221,444,78,777
Aug 06,1224,441,78,783
Aug 07,1230,447,78,783
Aug 08,1234,441,79,793
Aug 09,1237,435,79,802
Aug 10,1240,436,79,804
Aug 11,1250,433,81,817
Aug 12,1252,432,82,820
Aug 13,1252,432,82,820
Aug 14,1252,432,82,820
Aug 15,1257,387,82,870
Aug 16,1257,387,82,870
Aug 17,1277,392,82,885
Aug 18,1282,397,82,885
Aug 19,1282,397,82,885
Aug 20,1284,399,82,885
