Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,2,2,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,3,3,0,0
Mar 31,3,3,0,0
Apr 01,6,6,0,0
Apr 02,6,6,0,0
Apr 03,7,7,0,0
Apr 04,10,6,1,4
Apr 05,13,7,3,6
Apr 06,14,8,3,6
Apr 07,14,8,3,6
Apr 08,31,24,4,7
Apr 09,31,24,4,7
Apr 10,37,29,5,8
Apr 11,48,40,5,8
Apr 12,50,42,5,8
Apr 13,59,49,6,10
Apr 14,59,49,6,10
Apr 15,59,49,6,10
Apr 16,59,49,6,10
Apr 17,76,62,7,14
Apr 18,76,62,7,14
Apr 19,91,76,8,15
Apr 20,99,84,8,15
Apr 21,101,86,8,15
Apr 22,101,73,8,28
Apr 23,101,73,8,28
Apr 24,117,84,8,33
Apr 25,120,84,11,36
Apr 26,124,87,12,37
Apr 27,124,87,12,37
Apr 28,141,80,16,61
Apr 29,141,80,16,61
Apr 30,141,80,16,61
May 01,152,89,18,63
May 02,154,88,18,66
May 03,158,82,18,76
May 04,166,90,18,76
May 05,170,92,20,78
May 06,178,83,20,95
May 07,189,90,20,99
May 08,199,100,20,99
May 09,199,100,20,99
May 10,199,100,20,99
May 11,211,106,20,105
May 12,211,106,20,105
May 13,213,92,20,121
May 14,215,90,20,125
May 15,219,91,20,128
May 16,223,87,20,136
May 17,226,85,21,141
May 18,229,84,22,145
May 19,233,85,23,148
May 20,238,87,23,151
May 21,240,86,23,154
May 22,249,89,24,160
May 23,255,93,26,162
May 24,265,100,26,165
May 25,265,98,26,167
May 26,266,96,26,170
May 27,266,95,27,171
