Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,1,1,0,0
Mar 27,1,1,0,0
Mar 28,3,3,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,10,9,0,1
Apr 01,10,10,0,0
Apr 02,11,10,1,1
Apr 03,17,16,1,1
Apr 04,18,17,1,1
Apr 05,18,17,1,1
Apr 06,19,17,1,2
Apr 07,20,18,1,2
Apr 08,21,12,1,9
Apr 09,24,15,1,9
Apr 10,24,15,1,9
Apr 11,25,16,1,9
Apr 12,25,15,1,10
Apr 13,26,16,1,10
Apr 14,35,25,1,10
Apr 15,48,36,1,12
Apr 16,49,37,1,12
Apr 17,49,37,1,12
Apr 18,49,37,1,12
Apr 19,51,39,1,12
Apr 20,51,35,1,16
Apr 21,59,43,1,16
Apr 22,60,44,1,16
Apr 23,60,43,2,17
Apr 24,61,41,2,20
Apr 25,61,41,2,20
Apr 26,61,41,2,20
Apr 27,61,41,2,20
Apr 28,61,41,2,20
Apr 29,61,41,2,20
Apr 30,61,40,3,21
May 01,63,42,3,21
May 02,63,38,3,25
May 03,63,38,3,25
May 04,63,37,3,26
May 05,63,37,3,26
May 06,64,37,3,27
May 07,64,37,3,27
May 08,64,37,3,27
May 09,64,37,3,27
May 10,64,37,3,27
May 11,64,33,3,31
May 12,64,33,3,31
May 13,64,33,3,31
May 14,64,33,3,31
May 15,64,33,3,31
May 16,65,34,3,31
May 17,65,27,3,38
May 18,65,27,3,38
May 19,68,30,3,38
May 20,69,31,3,38
May 21,71,33,3,38
May 22,72,31,3,41
May 23,75,33,3,42
May 24,75,33,3,42
May 25,75,32,3,43
May 26,77,34,3,43
May 27,99,55,4,44
May 28,105,59,5,46
May 29,118,72,5,46
May 30,130,75,5,55
May 31,156,99,5,57
Jun 01,168,111,5,57
Jun 02,182,125,5,57
Jun 03,196,139,5,57
Jun 04,209,152,5,57
Jun 05,239,182,5,57
Jun 06,256,199,5,57
Jun 07,256,199,5,57
Jun 08,332,270,5,62
Jun 09,359,296,5,63
Jun 10,378,314,5,64
Jun 11,393,329,5,64
Jun 12,409,344,6,65
Jun 13,418,348,8,70
Jun 14,454,381,10,73
Jun 15,467,387,10,80
Jun 16,484,398,10,86
Jun 17,500,412,10,88
Jun 18,510,419,10,91
Jun 19,520,427,10,93
Jun 20,544,436,10,108
Jun 21,571,458,10,113
Jun 22,595,469,10,126
Jun 23,639,490,17,149
Jun 24,670,514,18,156
Jun 25,698,540,18,158
Jun 26,713,553,18,160
Jun 27,727,538,18,189
Jun 28,762,545,21,217
Jun 29,802,573,23,229
Jun 30,824,591,24,233
Jul 01,874,626,25,248
Jul 02,891,641,26,250
Jul 03,918,661,27,257
Jul 04,989,704,27,285
Jul 05,1046,753,32,293
Jul 06,1117,814,34,303
Jul 07,1182,852,35,330
Jul 08,1268,926,36,342
Jul 09,1342,997,38,345
Jul 10,1342,997,38,345
Jul 11,1389,1011,38,378
Jul 12,1433,1053,39,380
Jul 13,1512,1105,40,407
Jul 14,1563,1151,42,412
Jul 15,1589,1173,43,416
Jul 16,1652,1227,46,425
Jul 17,1704,1277,47,427
Jul 18,1791,1358,48,433
Jul 19,1866,1400,48,466
Jul 20,1980,1490,49,490
Jul 21,2088,1559,50,529
Jul 22,2176,1634,53,542
Jul 23,2314,1757,56,557
Jul 24,2424,1863,57,561
Jul 25,2547,1979,58,568
Jul 26,2669,2056,60,613
Jul 27,2827,2186,64,641
Jul 28,3017,2371,67,646
Jul 29,3222,2555,71,667
Jul 30,3438,2761,73,677
Jul 31,3621,2929,74,692
Aug 01,3691,2992,80,699
Aug 02,3837,3131,83,706
Aug 03,4063,3345,93,718
Aug 04,4224,3495,96,729
Aug 05,4475,3736,99,739
Aug 06,4879,4120,107,759
Aug 07,5079,4311,108,768
Aug 08,5232,4428,113,804
Aug 09,5451,4631,119,820
Aug 10,5929,5080,125,849
Aug 11,6302,5430,132,872
Aug 12,6611,5701,132,910
Aug 13,7050,6099,135,951
Aug 14,7327,6340,139,987
Aug 15,7738,6699,145,1039
Aug 16,8172,7086,153,1086
Aug 17,8579,7453,157,1126
Aug 18,9068,7901,164,1167
Aug 19,9463,8276,169,1187
Aug 20,9707,8487,173,1220
