Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,1,1,0,0
Mar 27,1,1,0,0
Mar 28,3,3,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,10,9,0,1
Apr 01,10,10,0,0
Apr 02,11,10,1,1
Apr 03,17,16,1,1
Apr 04,18,17,1,1
Apr 05,18,17,1,1
Apr 06,19,17,1,2
Apr 07,20,18,1,2
Apr 08,21,12,1,9
Apr 09,24,15,1,9
Apr 10,24,15,1,9
Apr 11,25,16,1,9
Apr 12,25,15,1,10
Apr 13,26,16,1,10
Apr 14,35,25,1,10
Apr 15,48,36,1,12
Apr 16,49,37,1,12
Apr 17,49,37,1,12
Apr 18,49,37,1,12
Apr 19,51,39,1,12
Apr 20,51,35,1,16
Apr 21,59,43,1,16
Apr 22,60,44,1,16
Apr 23,60,43,2,17
Apr 24,61,41,2,20
Apr 25,61,41,2,20
Apr 26,61,41,2,20
Apr 27,61,41,2,20
Apr 28,61,41,2,20
Apr 29,61,41,2,20
Apr 30,61,40,3,21
May 01,63,42,3,21
May 02,63,38,3,25
May 03,63,38,3,25
May 04,63,37,3,26
May 05,63,37,3,26
May 06,64,37,3,27
May 07,64,37,3,27
May 08,64,37,3,27
May 09,64,37,3,27
May 10,64,37,3,27
May 11,64,33,3,31
May 12,64,33,3,31
May 13,64,33,3,31
May 14,64,33,3,31
May 15,64,33,3,31
May 16,65,34,3,31
May 17,65,27,3,38
May 18,65,27,3,38
May 19,68,30,3,38
May 20,69,31,3,38
May 21,71,33,3,38
May 22,72,31,3,41
May 23,75,33,3,42
May 24,75,33,3,42
May 25,75,32,3,43
May 26,77,34,3,43
May 27,99,55,4,44
May 28,105,59,5,46
May 29,118,72,5,46
May 30,130,75,5,55
May 31,156,99,5,57
Jun 01,168,111,5,57
Jun 02,182,125,5,57
Jun 03,196,139,5,57
Jun 04,209,152,5,57
Jun 05,239,182,5,57
Jun 06,256,199,5,57
Jun 07,256,199,5,57
Jun 08,332,270,5,62
Jun 09,359,296,5,63
Jun 10,378,314,5,64
Jun 11,393,329,5,64
