Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,3,3,0,0
Mar 12,4,4,0,0
Mar 13,4,4,0,0
Mar 14,4,4,0,0
Mar 15,7,7,0,0
Mar 16,7,7,0,0
Mar 17,19,19,0,0
Mar 18,28,28,0,0
Mar 19,28,28,0,0
Mar 20,28,28,0,0
Mar 21,37,37,0,0
Mar 22,37,37,0,0
Mar 23,51,51,0,0
Mar 24,51,51,0,0
Mar 25,51,51,0,0
Mar 26,56,56,0,0
Mar 27,56,56,0,0
Mar 28,56,56,0,0
Mar 29,56,56,0,0
Mar 30,62,62,0,0
Mar 31,68,68,0,0
Apr 01,72,72,0,0
Apr 02,75,75,0,0
Apr 03,75,75,0,0
Apr 04,77,76,1,1
Apr 05,77,76,1,1
Apr 06,77,21,1,56
Apr 07,78,22,1,56
Apr 08,78,22,1,56
Apr 09,78,22,1,56
Apr 10,79,23,1,56
Apr 11,79,23,1,56
Apr 12,79,23,1,56
Apr 13,79,23,1,56
Apr 14,79,23,1,56
Apr 15,80,24,1,56
Apr 16,80,24,1,56
Apr 17,81,25,1,56
Apr 18,81,25,1,56
Apr 19,81,25,1,56
Apr 20,81,25,1,56
Apr 21,81,25,1,56
Apr 22,81,25,1,56
Apr 23,81,25,1,56
Apr 24,81,25,1,56
Apr 25,81,25,1,56
Apr 26,82,26,1,56
Apr 27,82,26,1,56
Apr 28,82,26,1,56
Apr 29,82,26,1,56
Apr 30,82,26,1,56
May 01,82,26,1,56
May 02,82,26,1,56
May 03,82,26,1,56
May 04,82,26,1,56
May 05,82,26,1,56
May 06,82,26,1,56
May 07,82,26,1,56
May 08,82,26,1,56
May 09,82,26,1,56
May 10,82,26,1,56
May 11,82,26,1,56
May 12,82,26,1,56
May 13,82,26,1,56
May 14,82,26,1,56
May 15,82,26,1,56
May 16,82,26,1,56
May 17,82,26,1,56
May 18,82,26,1,56
May 19,82,26,1,56
May 20,82,26,1,56
May 21,82,26,1,56
May 22,82,26,1,56
May 23,82,26,1,56
May 24,82,26,1,56
May 25,82,26,1,56
May 26,82,26,1,56
May 27,82,26,1,56
May 28,82,26,1,56
May 29,82,26,1,56
May 30,82,26,1,56
May 31,82,26,1,56
Jun 01,82,26,1,56
Jun 02,82,26,1,56
Jun 03,82,26,1,56
Jun 04,82,26,1,56
Jun 05,82,26,1,56
Jun 06,82,26,1,56
Jun 07,82,26,1,56
Jun 08,82,26,1,56
Jun 09,82,26,1,56
Jun 10,82,26,1,56
Jun 11,82,26,1,56
