Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,6,6,0,0
Mar 14,9,8,0,1
Mar 15,14,13,0,1
Mar 16,18,17,0,1
Mar 17,26,25,0,1
Mar 18,34,33,0,1
Mar 19,48,47,0,1
Mar 20,69,67,1,2
Mar 21,99,97,1,2
Mar 22,143,141,1,2
Mar 23,179,177,1,2
Mar 24,209,206,2,3
Mar 25,274,269,4,5
Mar 26,299,294,4,5
Mar 27,358,352,5,6
Mar 28,394,386,7,8
Mar 29,460,452,7,8
Mar 30,491,477,7,14
Mar 31,537,522,8,15
Apr 01,581,566,8,15
Apr 02,649,633,9,16
Apr 03,696,680,9,16
Apr 04,771,753,11,18
Apr 05,811,791,13,20
Apr 06,843,820,15,23
Apr 07,880,857,15,23
Apr 08,912,889,15,23
Apr 09,955,931,16,24
Apr 10,999,923,22,76
Apr 11,1026,949,23,77
Apr 12,1053,933,23,120
Apr 13,1062,937,24,125
Apr 14,1070,940,29,130
Apr 15,1091,923,30,168
Apr 16,1128,918,32,210
Apr 17,1149,906,33,243
Apr 18,1239,978,33,261
Apr 19,1298,1021,35,277
Apr 20,1326,1047,37,279
Apr 21,1350,1014,38,336
Apr 22,1370,975,38,395
Apr 23,1398,959,40,439
Apr 24,1410,940,40,470
Apr 25,1426,925,41,501
Apr 26,1438,930,41,508
Apr 27,1449,934,41,515
Apr 28,1344,764,44,580
Apr 29,1375,767,45,608
Apr 30,1385,751,45,634
May 01,1399,760,45,639
May 02,1406,728,46,678
May 03,1410,729,46,681
May 04,1419,735,46,684
May 05,1423,699,46,724
May 06,1428,662,48,766
May 07,1433,645,49,788
May 08,1436,622,49,814
May 09,1444,567,49,877
May 10,1479,601,50,878
May 11,1485,602,50,883
May 12,1491,591,50,900
May 13,1505,543,54,962
May 14,1511,523,54,988
May 15,1523,504,54,1019
May 16,1534,491,55,1043
May 17,1541,488,56,1053
May 18,1547,491,59,1056
May 19,1562,477,60,1085
May 20,1577,468,60,1109
May 21,1593,483,61,1110
May 22,1604,432,61,1172
May 23,1616,418,63,1198
May 24,1623,422,63,1201
May 25,1635,434,63,1201
May 26,1639,409,65,1230
May 27,1647,397,66,1250
May 28,1656,395,68,1261
May 29,1662,378,68,1284
May 30,1670,371,70,1299
May 31,1675,369,70,1306
Jun 01,1678,372,70,1306
Jun 02,1682,362,71,1320
Jun 03,1684,353,71,1331
Jun 04,1687,343,71,1344
Jun 05,1694,321,71,1373
Jun 06,1705,313,71,1392
Jun 07,1714,315,71,1399
Jun 08,1720,318,71,1402
Jun 09,1727,317,72,1410
Jun 10,1733,290,74,1443
Jun 11,1752,306,74,1446
