Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,2,2,0,0
Mar 06,3,3,0,0
Mar 07,4,4,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,7,7,0,0
Mar 11,7,7,0,0
Mar 12,26,26,0,0
Mar 13,38,37,1,1
Mar 14,51,50,1,1
Mar 15,77,76,1,1
Mar 16,81,80,1,1
Mar 17,140,139,1,1
Mar 18,203,201,2,2
Mar 19,335,325,4,10
Mar 20,484,473,5,11
Mar 21,670,656,8,14
Mar 22,798,784,8,14
Mar 23,875,861,8,14
Mar 24,1099,1085,8,14
Mar 25,1333,1319,8,14
Mar 26,1453,1438,9,15
Mar 27,1605,1550,15,55
Mar 28,1831,1773,18,58
Mar 29,1950,1889,21,61
Mar 30,1988,1926,22,62
Mar 31,2178,2075,23,103
Apr 01,2319,2210,29,109
Apr 02,2487,2377,30,110
Apr 03,2612,2081,31,531
Apr 04,2729,2198,31,531
Apr 05,2804,2268,36,536
Apr 06,2843,2302,41,541
Apr 07,2970,2426,44,544
Apr 08,3034,2488,46,546
Apr 09,3115,2563,52,552
Apr 10,3223,2669,54,554
Apr 11,3270,2708,62,562
Apr 12,3281,2715,66,566
Apr 13,3292,2723,69,569
Apr 14,3307,2740,67,567
Apr 15,3373,2778,69,595
Apr 16,3444,2823,69,621
Apr 17,3480,2829,72,651
Apr 18,3537,2864,72,673
Apr 19,3550,2850,73,700
Apr 20,3558,2846,75,712
Apr 21,3618,2870,78,748
Apr 22,3654,2863,80,791
Apr 23,3665,2854,83,811
Apr 24,3695,603,85,3092
Apr 25,3711,538,85,3173
Apr 26,3723,531,88,3192
Apr 27,3729,518,88,3211
Apr 28,3741,529,89,3212
Apr 29,3769,546,89,3223
Apr 30,3784,481,90,3303
May 01,3802,497,92,3305
May 02,3812,402,92,3410
May 03,3824,349,96,3475
May 04,3828,327,96,3501
May 05,3840,332,96,3508
May 06,3851,301,98,3550
May 07,3859,254,100,3605
May 08,3871,245,100,3626
May 09,3877,226,101,3651
May 10,3886,199,101,3687
May 11,3888,185,101,3703
May 12,3894,182,102,3712
May 13,3904,172,103,3732
May 14,3915,147,103,3768
May 15,3923,137,104,3786
May 16,3930,127,104,3803
May 17,3945,136,107,3809
May 18,3947,125,107,3822
May 19,3958,131,109,3827
May 20,3971,134,109,3837
May 21,3980,130,109,3850
May 22,3981,124,109,3857
May 23,3990,123,109,3867
May 24,3992,115,110,3877
May 25,3993,102,110,3891
May 26,3995,102,110,3893
May 27,4001,100,110,3901
May 28,4008,95,110,3913
May 29,4012,87,110,3925
May 30,4016,91,110,3925
May 31,4018,75,110,3943
Jun 01,4019,64,110,3955
Jun 02,4020,62,110,3958
Jun 03,4024,53,110,3971
Jun 04,4027,43,110,3984
Jun 05,4032,37,110,3995
Jun 06,4035,37,110,3998
Jun 07,4039,30,110,4009
Jun 08,4040,29,110,4011
Jun 09,4046,34,110,4012
Jun 10,4049,35,110,4014
Jun 11,4052,32,110,4020
