Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,10,7,0,3
Feb 16,10,5,0,5
Feb 17,10,5,0,5
Feb 18,10,5,0,5
Feb 19,10,5,0,5
Feb 20,10,4,0,6
Feb 21,10,4,0,6
Feb 22,10,4,0,6
Feb 23,10,4,0,6
Feb 24,10,5,0,5
Feb 25,10,5,0,5
Feb 26,10,4,0,6
Feb 27,10,4,0,6
Feb 28,10,4,0,6
Feb 29,10,4,0,6
Mar 01,10,4,0,6
Mar 02,10,4,0,6
Mar 03,10,1,0,9
Mar 04,10,1,0,9
Mar 05,10,1,0,9
Mar 06,10,0,0,10
Mar 07,10,0,0,10
Mar 08,10,0,0,10
Mar 09,10,0,0,10
Mar 10,10,0,0,10
Mar 11,10,0,0,10
Mar 12,10,0,0,10
Mar 13,10,0,0,10
Mar 14,10,0,0,10
Mar 15,11,1,0,10
Mar 16,12,2,0,10
Mar 17,13,3,0,10
Mar 18,17,7,0,10
Mar 19,17,7,0,10
Mar 20,17,7,0,10
Mar 21,19,9,0,10
Mar 22,22,12,0,10
Mar 23,25,15,0,10
Mar 24,29,19,0,10
Mar 25,31,21,0,10
Mar 26,33,23,0,10
Mar 27,34,24,0,10
Mar 28,34,24,0,10
Mar 29,37,27,0,10
Mar 30,38,28,0,10
Mar 31,41,31,0,10
Apr 01,41,31,0,10
Apr 02,41,31,0,10
Apr 03,42,32,0,10
Apr 04,44,34,0,10
Apr 05,44,34,0,10
Apr 06,44,34,0,10
Apr 07,44,34,0,10
Apr 08,45,35,0,10
Apr 09,45,35,0,10
Apr 10,45,35,0,10
Apr 11,45,35,0,10
Apr 12,45,35,0,10
Apr 13,45,35,0,10
Apr 14,45,35,0,10
Apr 15,45,30,0,15
Apr 16,45,29,0,16
Apr 17,45,29,0,16
Apr 18,45,29,0,16
Apr 19,45,28,0,17
Apr 20,45,23,0,22
Apr 21,45,21,0,24
Apr 22,45,19,0,26
Apr 23,45,18,0,27
Apr 24,45,18,0,27
Apr 25,45,18,0,27
Apr 26,45,14,0,31
Apr 27,45,13,0,32
Apr 28,45,13,0,32
Apr 29,45,11,0,34
Apr 30,45,10,0,35
May 01,45,8,0,37
May 02,45,8,0,37
May 03,45,6,0,39
May 04,45,6,0,39
May 05,45,6,0,39
May 06,45,6,0,39
May 07,45,5,0,40
May 08,45,5,0,40
May 09,45,5,0,40
May 10,45,5,0,40
May 11,45,5,0,40
May 12,45,3,0,42
May 13,45,2,0,43
May 14,45,2,0,43
May 15,45,2,0,43
May 16,45,2,0,43
May 17,45,2,0,43
May 18,45,1,0,44
May 19,45,0,0,45
May 20,45,0,0,45
May 21,45,0,0,45
May 22,45,0,0,45
May 23,45,0,0,45
May 24,45,0,0,45
May 25,45,0,0,45
May 26,45,0,0,45
May 27,45,0,0,45
May 28,45,0,0,45
May 29,45,0,0,45
May 30,45,0,0,45
May 31,45,0,0,45
Jun 01,45,0,0,45
Jun 02,45,0,0,45
Jun 03,45,0,0,45
Jun 04,45,0,0,45
Jun 05,45,0,0,45
Jun 06,45,0,0,45
Jun 07,45,0,0,45
Jun 08,45,0,0,45
Jun 09,45,0,0,45
Jun 10,45,0,0,45
Jun 11,45,0,0,45
Jun 12,45,0,0,45
Jun 13,45,0,0,45
Jun 14,45,0,0,45
Jun 15,45,0,0,45
Jun 16,45,0,0,45
Jun 17,45,0,0,45
Jun 18,45,0,0,45
Jun 19,45,0,0,45
Jun 20,45,0,0,45
Jun 21,45,0,0,45
Jun 22,45,0,0,45
Jun 23,45,0,0,45
Jun 24,45,0,0,45
Jun 25,45,0,0,45
Jun 26,46,1,0,45
Jun 27,46,1,0,45
Jun 28,46,1,0,45
Jun 29,46,1,0,45
Jun 30,46,1,0,45
Jul 01,46,1,0,45
Jul 02,46,1,0,45
Jul 03,46,1,0,45
Jul 04,46,1,0,45
Jul 05,46,1,0,45
Jul 06,46,1,0,45
Jul 07,46,1,0,45
Jul 08,46,1,0,45
Jul 09,46,1,0,45
Jul 10,46,1,0,45
Jul 11,46,1,0,45
Jul 12,46,1,0,45
Jul 13,46,1,0,45
Jul 14,46,1,0,45
Jul 15,46,1,0,45
Jul 16,46,1,0,45
Jul 17,46,1,0,45
Jul 18,46,0,0,46
Jul 19,46,0,0,46
Jul 20,46,0,0,46
Jul 21,46,0,0,46
Jul 22,46,0,0,46
Jul 23,46,0,0,46
Jul 24,46,0,0,46
Jul 25,46,0,0,46
Jul 26,46,0,0,46
Jul 27,46,0,0,46
Jul 28,46,0,0,46
Jul 29,46,0,0,46
Jul 30,46,0,0,46
Jul 31,46,0,0,46
Aug 01,46,0,0,46
Aug 02,46,0,0,46
Aug 03,46,0,0,46
Aug 04,46,0,0,46
Aug 05,46,0,0,46
Aug 06,46,0,0,46
Aug 07,46,0,0,46
Aug 08,46,0,0,46
Aug 09,46,0,0,46
Aug 10,46,0,0,46
Aug 11,46,0,0,46
Aug 12,46,0,0,46
Aug 13,46,0,0,46
Aug 14,46,0,0,46
Aug 15,46,0,0,46
Aug 16,46,0,0,46
Aug 17,46,0,0,46
Aug 18,46,0,0,46
Aug 19,46,0,0,46
Aug 20,46,0,0,46
