Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,3,3,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,12,12,0,0
Mar 24,17,17,0,0
Mar 25,19,19,0,0
Mar 26,23,23,0,0
Mar 27,26,26,0,0
Mar 28,26,26,0,0
Mar 29,39,39,0,0
Mar 30,43,43,0,0
Mar 31,57,57,0,0
Apr 01,57,57,0,0
Apr 02,59,59,0,0
Apr 03,70,70,0,0
Apr 04,70,70,0,0
Apr 05,72,70,0,2
Apr 06,82,80,0,2
Apr 07,88,81,0,7
Apr 08,93,82,0,11
Apr 09,93,82,0,11
Apr 10,93,82,0,11
Apr 11,102,91,0,11
Apr 12,106,86,0,20
Apr 13,106,85,0,21
Apr 14,108,85,0,23
Apr 15,110,81,0,29
Apr 16,111,78,0,33
Apr 17,117,84,0,33
Apr 18,120,85,0,35
Apr 19,121,82,0,39
Apr 20,121,80,0,41
Apr 21,121,77,0,44
Apr 22,121,69,0,52
Apr 23,121,63,0,58
Apr 24,122,61,0,61
Apr 25,123,61,0,62
Apr 26,124,53,0,71
Apr 27,128,53,0,75
Apr 28,128,46,0,82
Apr 29,128,38,0,90
Apr 30,128,36,0,92
May 01,132,38,0,94
May 02,135,38,0,97
May 03,149,51,0,98
May 04,149,50,0,99
May 05,151,50,0,101
May 06,158,57,0,101
May 07,186,85,0,101
May 08,186,85,0,101
May 09,186,85,0,101
May 10,186,85,0,101
May 11,186,85,0,101
May 12,186,85,0,101
May 13,212,105,0,107
May 14,230,122,0,108
May 15,238,126,0,112
May 16,283,169,0,114
May 17,304,189,1,115
May 18,322,202,1,120
May 19,326,205,2,121
May 20,371,238,2,133
May 21,405,272,2,133
May 22,448,311,2,137
May 23,488,348,2,140
May 24,527,383,2,144
May 25,542,393,2,149
May 26,586,437,2,149
May 27,612,459,2,153
May 28,656,500,2,156
May 29,698,529,5,169
May 30,758,587,6,171
May 31,771,597,6,174
Jun 01,826,646,6,180
Jun 02,845,654,6,191
Jun 03,908,707,6,201
Jun 04,957,750,7,207
Jun 05,975,767,7,208
Jun 06,1026,806,8,220
Jun 07,1052,810,9,242
Jun 08,1094,831,9,263
Jun 09,1138,855,9,283
Jun 10,1162,856,10,306
Jun 11,1203,881,10,322
Jun 12,1230,876,10,354
Jun 13,1252,880,10,372
Jun 14,1272,895,10,377
Jun 15,1290,896,10,394
Jun 16,1317,888,12,429
Jun 17,1378,916,12,462
Jun 18,1403,927,13,476
Jun 19,1443,932,13,511
Jun 20,1503,872,13,631
Jun 21,1596,927,14,669
Jun 22,1640,933,15,707
Jun 23,1724,977,15,747
Jun 24,1787,992,16,795
Jun 25,1829,990,16,839
Jun 26,1922,1044,16,878
Jun 27,2005,1082,16,923
Jun 28,2078,1116,18,962
Jun 29,2138,1152,20,986
Jun 30,2214,1200,20,1014
Jul 01,2303,1275,22,1028
Jul 02,2403,1339,24,1064
Jul 03,2512,1429,26,1083
Jul 04,2728,1621,29,1107
Jul 05,2941,1801,32,1140
Jul 06,3250,2082,33,1168
Jul 07,3472,2252,33,1220
Jul 08,3573,1779,33,1794
Jul 09,3782,1799,33,1983
Jul 10,4143,1926,34,2217
Jul 11,4578,2257,34,2321
Jul 12,4867,2454,35,2413
Jul 13,5080,2549,37,2531
Jul 14,5343,2658,39,2685
Jul 15,5605,2751,43,2854
Jul 16,6089,3085,53,3004
Jul 17,6467,3305,54,3162
Jul 18,6849,3455,55,3394
Jul 19,7049,3492,59,3557
Jul 20,7153,3303,62,3850
Jul 21,7548,3197,65,4351
Jul 22,8162,3431,69,4731
Jul 23,8381,3151,70,5230
Jul 24,8741,3143,76,5598
Jul 25,8866,3209,78,5657
Jul 26,9295,3193,85,6102
Jul 27,9690,3339,91,6351
Jul 28,10104,3398,93,6706
Jul 29,10317,3101,99,7216
Jul 30,10748,3182,105,7566
Jul 31,10868,2955,106,7913
Aug 01,11273,3057,107,8216
Aug 02,11528,2970,114,8558
Aug 03,11660,2717,118,8943
Aug 04,11895,2486,123,9409
Aug 05,12222,2297,127,9925
Aug 06,12526,2244,134,10282
Aug 07,12708,2161,135,10547
Aug 08,12922,2177,141,10745
Aug 09,13086,2122,148,10964
Aug 10,13202,2040,151,11162
Aug 11,13317,1889,152,11428
Aug 12,13397,1712,156,11685
Aug 13,13522,1580,162,11942
Aug 14,13643,1468,164,12175
Aug 15,13724,1326,166,12398
Aug 16,13827,1233,170,12594
Aug 17,13886,1112,171,12774
Aug 18,14009,1069,173,12940
Aug 19,14074,980,173,13094
Aug 20,14154,939,177,13215
