Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,3,3,0,0
Apr 03,3,3,0,0
Apr 04,4,4,0,0
Apr 05,4,4,0,0
Apr 06,5,5,0,0
Apr 07,8,7,1,1
Apr 08,8,7,1,1
Apr 09,8,7,1,1
Apr 10,9,8,1,1
Apr 11,12,10,2,2
Apr 12,13,11,2,2
Apr 13,16,14,2,2
Apr 14,16,14,2,2
Apr 15,16,14,2,2
Apr 16,16,14,2,2
Apr 17,17,12,2,5
Apr 18,17,12,2,5
Apr 19,17,12,2,5
Apr 20,17,12,2,5
Apr 21,18,13,2,5
Apr 22,23,17,3,6
Apr 23,33,27,3,6
Apr 24,33,26,3,7
Apr 25,33,26,3,7
Apr 26,34,27,3,7
Apr 27,36,29,3,7
Apr 28,36,28,3,8
Apr 29,36,26,3,10
Apr 30,37,27,3,10
May 01,37,25,3,12
May 02,38,26,3,12
May 03,39,27,3,12
May 04,41,29,3,12
May 05,41,29,3,12
May 06,43,31,3,12
May 07,43,26,3,17
May 08,43,26,3,17
May 09,56,39,3,17
May 10,56,39,3,17
May 11,57,30,3,27
May 12,57,30,3,27
May 13,63,36,3,27
May 14,63,36,3,27
May 15,63,36,3,27
May 16,65,38,3,27
May 17,70,40,3,30
May 18,70,40,3,30
May 19,70,40,3,30
May 20,71,41,3,30
May 21,72,42,3,30
May 22,82,51,3,31
May 23,82,51,3,31
May 24,83,46,4,37
May 25,101,64,4,37
May 26,101,60,4,41
May 27,101,60,4,41
May 28,203,162,4,41
May 29,273,227,4,46
May 30,279,233,4,46
May 31,284,238,4,46
Jun 01,336,290,4,46
Jun 02,358,312,4,46
Jun 03,369,314,4,55
Jun 04,393,338,4,55
Jun 05,409,350,4,59
Jun 06,409,350,4,59
Jun 07,438,379,4,59
Jun 08,443,384,4,59
Jun 09,455,396,4,59
Jun 10,455,396,4,59
Jun 11,481,422,4,59
Jun 12,481,412,4,69
Jun 13,529,458,5,71
Jun 14,547,472,6,75
Jun 15,555,480,6,75
Jun 16,564,485,6,79
Jun 17,572,493,6,79
Jun 18,592,510,8,82
Jun 19,620,521,8,99
Jun 20,620,521,8,99
Jun 21,730,461,11,269
Jun 22,749,480,11,269
Jun 23,803,534,11,269
Jun 24,941,671,11,270
Jun 25,960,688,12,272
Jun 26,1005,732,13,273
Jun 27,1038,765,13,273
Jun 28,1146,873,13,273
Jun 29,1152,879,13,273
Jun 30,1224,950,14,274
Jul 01,1265,989,16,276
Jul 02,1342,1055,16,287
Jul 03,1498,1165,16,333
Jul 04,1613,1279,17,334
Jul 05,1613,1279,17,334
Jul 06,1742,1406,19,336
Jul 07,1818,1482,19,336
Jul 08,1864,1495,24,369
Jul 09,1942,1548,25,394
Jul 10,2069,1659,31,410
Jul 11,2261,1711,33,550
Jul 12,2364,1769,38,595
Jul 13,2430,1644,39,786
Jul 14,2497,1662,40,835
Jul 15,2614,1566,43,1048
Jul 16,2712,1588,51,1124
Jul 17,2805,1643,55,1162
Jul 18,2810,1644,55,1166
Jul 19,2907,1713,59,1194
Jul 20,2992,1777,62,1215
Jul 21,3045,1801,64,1244
Jul 22,3149,1822,71,1327
Jul 23,3302,1944,76,1358
Jul 24,3453,1993,87,1460
Jul 25,3557,1878,94,1679
Jul 26,3640,1902,99,1738
Jul 27,3664,1920,99,1744
Jul 28,3709,1939,103,1770
Jul 29,3738,1907,103,1831
Jul 30,3858,1991,107,1867
Jul 31,4078,2089,114,1989
Aug 01,4186,2152,120,2034
Aug 02,4231,2189,123,2042
Aug 03,4272,2204,123,2068
Aug 04,4361,2186,128,2175
Aug 05,4426,2212,136,2214
Aug 06,4491,2217,137,2274
Aug 07,4575,2254,137,2321
Aug 08,4624,2152,143,2472
Aug 09,4658,2137,146,2521
Aug 10,4674,2098,146,2576
Aug 11,4714,2085,152,2629
Aug 12,4752,2071,152,2681
Aug 13,4912,2209,153,2703
Aug 14,4988,2256,156,2732
Aug 15,5026,2246,157,2780
Aug 16,5072,2285,161,2787
Aug 17,5125,2273,162,2852
Aug 18,5193,2314,163,2879
Aug 19,5240,2219,164,3021
Aug 20,5282,2234,165,3048
