Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,3,3,0,0
Apr 03,3,3,0,0
Apr 04,4,4,0,0
Apr 05,4,4,0,0
Apr 06,5,5,0,0
Apr 07,8,7,1,1
Apr 08,8,7,1,1
Apr 09,8,7,1,1
Apr 10,9,8,1,1
Apr 11,12,10,2,2
Apr 12,13,11,2,2
Apr 13,16,14,2,2
Apr 14,16,14,2,2
Apr 15,16,14,2,2
Apr 16,16,14,2,2
Apr 17,17,12,2,5
Apr 18,17,12,2,5
Apr 19,17,12,2,5
Apr 20,17,12,2,5
Apr 21,18,13,2,5
Apr 22,23,17,3,6
Apr 23,33,27,3,6
Apr 24,33,26,3,7
Apr 25,33,26,3,7
Apr 26,34,27,3,7
Apr 27,36,29,3,7
Apr 28,36,28,3,8
Apr 29,36,26,3,10
Apr 30,37,27,3,10
May 01,37,25,3,12
May 02,38,26,3,12
May 03,39,27,3,12
May 04,41,29,3,12
May 05,41,29,3,12
May 06,43,31,3,12
May 07,43,26,3,17
May 08,43,26,3,17
May 09,56,39,3,17
May 10,56,39,3,17
May 11,57,30,3,27
May 12,57,30,3,27
May 13,63,36,3,27
May 14,63,36,3,27
May 15,63,36,3,27
May 16,65,38,3,27
May 17,70,40,3,30
May 18,70,40,3,30
May 19,70,40,3,30
May 20,71,41,3,30
May 21,72,42,3,30
May 22,82,51,3,31
May 23,82,51,3,31
May 24,83,46,4,37
May 25,101,64,4,37
May 26,101,60,4,41
May 27,101,60,4,41
May 28,203,162,4,41
May 29,273,227,4,46
May 30,279,233,4,46
May 31,284,238,4,46
Jun 01,336,290,4,46
Jun 02,358,312,4,46
Jun 03,369,314,4,55
Jun 04,393,338,4,55
Jun 05,409,350,4,59
Jun 06,409,350,4,59
Jun 07,438,379,4,59
Jun 08,443,384,4,59
Jun 09,455,396,4,59
Jun 10,455,396,4,59
Jun 11,481,422,4,59
