Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,22,15,0,7
Feb 16,22,14,0,8
Feb 17,22,13,0,9
Feb 18,22,11,0,11
Feb 19,22,7,0,15
Feb 20,22,5,0,17
Feb 21,22,5,0,17
Feb 22,22,5,0,17
Feb 23,22,4,0,18
Feb 24,22,5,0,17
Feb 25,22,2,0,20
Feb 26,22,2,0,20
Feb 27,22,2,0,20
Feb 28,25,5,0,20
Feb 29,25,5,0,20
Mar 01,29,7,0,22
Mar 02,29,7,0,22
Mar 03,36,14,0,22
Mar 04,50,28,0,22
Mar 05,55,33,0,22
Mar 06,83,60,0,23
Mar 07,93,70,0,23
Mar 08,99,75,0,24
Mar 09,117,93,0,24
Mar 10,129,42,0,87
Mar 11,149,123,0,26
Mar 12,158,132,0,26
Mar 13,197,165,0,32
Mar 14,238,203,0,35
Mar 15,428,386,0,42
Mar 16,566,524,0,42
Mar 17,673,622,2,51
Mar 18,790,728,2,62
Mar 19,900,823,2,77
Mar 20,1030,940,3,90
Mar 21,1183,1061,8,122
Mar 22,1306,1157,10,149
Mar 23,1518,1345,14,173
Mar 24,1624,1425,16,199
Mar 25,1796,1577,20,219
Mar 26,2031,1793,23,238
Mar 27,2161,1876,26,285
Mar 28,2320,1973,27,347
Mar 29,2470,2047,35,423
Mar 30,2626,2110,37,516
Mar 31,2766,2186,43,580
Apr 01,2908,2218,45,690
Apr 02,3116,2299,50,817
Apr 03,3333,2453,53,880
Apr 04,3483,2511,57,972
Apr 05,3662,2596,61,1066
Apr 06,3793,2490,62,1303
Apr 07,3963,2579,63,1384
Apr 08,4119,2567,65,1552
Apr 09,4228,2553,67,1675
Apr 10,4346,2446,70,1900
Apr 11,4530,2462,73,2068
Apr 12,4683,2499,76,2184
Apr 13,4817,2464,77,2353
