Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,2,2,0,0
Mar 26,4,4,0,0
Mar 27,11,11,0,0
Mar 28,18,17,1,1
Mar 29,18,17,1,1
Mar 30,25,23,2,2
Mar 31,28,26,2,2
Apr 01,31,28,3,3
Apr 02,36,33,3,3
Apr 03,39,36,3,3
Apr 04,41,37,3,4
Apr 05,45,39,5,6
Apr 06,47,33,5,14
Apr 07,56,39,5,17
Apr 08,59,36,7,23
Apr 09,74,45,7,29
Apr 10,87,58,7,29
Apr 11,87,58,7,29
Apr 12,105,74,9,31
Apr 13,123,87,10,36
Apr 14,144,97,13,47
Apr 15,148,101,13,47
Apr 16,171,124,13,47
Apr 17,171,124,13,47
Apr 18,216,162,13,54
Apr 19,224,168,14,56
Apr 20,246,176,14,70
Apr 21,258,187,14,71
Apr 22,293,203,17,90
Apr 23,309,211,21,98
Apr 24,325,217,21,108
Apr 25,370,258,21,112
Apr 26,389,254,23,135
Apr 27,408,272,23,136
Apr 28,424,278,24,146
Apr 29,482,328,25,154
Apr 30,490,329,26,161
May 01,508,286,26,222
May 02,544,312,26,232
May 03,563,323,27,240
May 04,580,328,29,252
May 05,612,352,32,260
May 06,631,338,32,293
May 07,650,347,32,303
May 08,668,348,35,320
May 09,692,357,37,335
May 10,704,315,38,389
May 11,712,296,39,416
May 12,730,292,40,438
May 13,758,302,44,456
May 14,779,297,46,482
May 15,806,305,46,501
May 16,835,308,48,527
May 17,860,314,52,546
May 18,874,310,52,564
May 19,901,319,53,582
May 20,931,333,55,598
May 21,947,329,60,618
May 22,969,347,62,622
May 23,1015,378,63,637
May 24,1030,368,65,662
May 25,1059,388,67,671
May 26,1077,390,70,687
May 27,1116,414,70,702
