Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,3,3,0,0
Mar 08,3,3,0,0
Mar 09,4,4,0,0
Mar 10,5,5,0,0
Mar 11,7,7,0,0
Mar 12,9,9,0,0
Mar 13,12,11,0,1
Mar 14,18,17,0,1
Mar 15,21,19,0,2
Mar 16,30,28,0,2
Mar 17,38,36,0,2
Mar 18,48,46,0,2
Mar 19,53,51,0,2
Mar 20,64,62,0,2
Mar 21,73,71,0,2
Mar 22,90,88,0,2
Mar 23,107,105,0,2
Mar 24,110,108,0,2
Mar 25,129,127,0,2
Mar 26,134,132,0,2
Mar 27,139,137,0,2
Mar 28,149,147,0,2
Mar 29,151,149,0,2
Mar 30,156,154,0,2
Mar 31,169,167,0,2
Apr 01,188,186,0,2
Apr 02,196,194,0,2
Apr 03,202,200,0,2
Apr 04,213,211,0,2
Apr 05,227,222,0,5
Apr 06,241,236,0,5
Apr 07,293,288,0,5
Apr 08,299,282,1,17
Apr 09,337,319,2,18
Apr 10,350,332,2,18
Apr 11,370,351,3,19
Apr 12,378,331,3,47
Apr 13,384,337,3,47
Apr 14,393,346,3,47
Apr 15,399,352,3,47
Apr 16,412,327,3,85
Apr 17,422,328,3,94
Apr 18,426,324,3,102
Apr 19,427,306,3,121
Apr 20,431,302,3,129
Apr 21,443,290,3,153
Apr 22,444,276,3,168
Apr 23,445,238,3,207
Apr 24,447,221,3,226
Apr 25,448,195,4,253
Apr 26,448,162,4,286
Apr 27,450,160,4,290
Apr 28,458,151,4,307
Apr 29,463,120,4,343
Apr 30,465,110,4,355
May 01,467,96,4,371
May 02,468,85,4,383
May 03,477,81,4,396
May 04,480,77,4,403
May 05,482,74,5,408
May 06,484,72,5,412
May 07,486,68,5,418
May 08,489,65,5,424
May 09,490,58,5,432
May 10,496,58,5,438
May 11,503,64,5,439
May 12,506,67,5,439
May 13,508,66,6,442
May 14,522,73,6,449
May 15,532,78,6,454
May 16,546,90,6,456
May 17,553,93,6,460
May 18,558,96,6,462
May 19,569,103,6,466
May 20,584,113,6,471
May 21,599,125,6,474
May 22,600,125,6,475
May 23,609,130,6,479
May 24,610,128,6,482
May 25,611,120,6,491
May 26,611,120,6,491
May 27,612,114,7,498
