Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,2,2,0,0
Mar 06,2,2,0,0
Mar 07,2,2,0,0
Mar 08,2,2,0,0
Mar 09,2,2,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,3,3,0,0
Mar 14,10,10,0,0
Mar 15,10,10,0,0
Mar 16,15,14,1,1
Mar 17,15,14,1,1
Mar 18,23,22,1,1
Mar 19,23,22,1,1
Mar 20,32,31,1,1
Mar 21,37,36,1,1
Mar 22,44,43,1,1
Mar 23,53,52,1,1
Mar 24,57,56,1,1
Mar 25,66,65,1,1
Mar 26,81,80,1,1
Mar 27,93,92,1,1
Mar 28,93,92,1,1
Mar 29,93,92,1,1
Mar 30,93,92,1,1
Mar 31,128,98,3,30
Apr 01,135,105,3,30
Apr 02,138,108,3,30
Apr 03,143,113,3,30
Apr 04,145,115,3,30
Apr 05,149,95,4,54
Apr 06,151,97,4,54
Apr 07,152,98,4,54
Apr 08,154,98,6,56
Apr 09,154,98,6,56
Apr 10,155,99,6,56
Apr 11,155,99,6,56
Apr 12,155,99,6,56
Apr 13,157,101,6,56
Apr 14,157,101,6,56
Apr 15,158,77,8,81
Apr 16,158,77,8,81
Apr 17,158,77,8,81
Apr 18,163,78,12,85
Apr 19,163,78,12,85
Apr 20,163,78,12,85
Apr 21,163,76,14,87
Apr 22,164,77,14,87
Apr 23,164,77,14,87
Apr 24,170,79,14,91
Apr 25,175,84,14,91
Apr 26,175,84,14,91
Apr 27,175,84,14,91
Apr 28,175,78,14,97
Apr 29,175,78,14,97
Apr 30,178,81,14,97
May 01,179,82,14,97
May 02,179,82,14,97
May 03,179,82,14,97
May 04,181,84,14,97
May 05,181,84,14,97
May 06,182,85,14,97
May 07,183,86,14,97
May 08,186,89,14,97
May 09,186,89,14,97
May 10,186,89,14,97
May 11,187,90,14,97
May 12,187,82,14,105
May 13,189,84,14,105
May 14,189,84,14,105
May 15,192,87,14,105
May 16,192,87,14,105
May 17,192,87,14,105
May 18,192,87,14,105
May 19,192,87,14,105
May 20,192,87,14,105
May 21,192,87,14,105
May 22,197,92,14,105
May 23,197,92,14,105
May 24,197,92,14,105
May 25,197,92,14,105
May 26,197,92,14,105
May 27,197,92,14,105
May 28,197,92,14,105
May 29,200,88,14,112
May 30,200,88,14,112
May 31,200,88,14,112
Jun 01,200,88,14,112
Jun 02,200,88,14,112
Jun 03,200,88,14,112
Jun 04,200,88,14,112
Jun 05,202,90,14,112
Jun 06,202,90,14,112
Jun 07,202,90,14,112
Jun 08,202,90,14,112
Jun 09,202,90,14,112
Jun 10,202,90,14,112
Jun 11,202,90,14,112
Jun 12,202,90,14,112
Jun 13,202,90,14,112
Jun 14,202,90,14,112
Jun 15,202,90,14,112
Jun 16,202,90,14,112
Jun 17,202,90,14,112
Jun 18,221,109,14,112
Jun 19,236,124,14,112
Jun 20,236,124,14,112
Jun 21,236,124,14,112
Jun 22,236,124,14,112
Jun 23,236,124,14,112
Jun 24,236,124,14,112
Jun 25,236,124,14,112
Jun 26,242,130,14,112
Jun 27,242,130,14,112
Jun 28,242,130,14,112
Jun 29,242,130,14,112
Jun 30,242,130,14,112
Jul 01,242,130,14,112
Jul 02,242,130,14,112
Jul 03,249,137,14,112
Jul 04,249,137,14,112
Jul 05,249,137,14,112
Jul 06,249,137,14,112
Jul 07,249,137,14,112
Jul 08,249,137,14,112
Jul 09,249,137,14,112
Jul 10,255,142,15,113
Jul 11,255,142,15,113
Jul 12,255,142,15,113
Jul 13,255,142,15,113
Jul 14,255,142,15,113
Jul 15,255,142,15,113
Jul 16,255,142,15,113
Jul 17,255,142,15,113
Jul 18,262,149,15,113
Jul 19,262,149,15,113
Jul 20,262,149,15,113
Jul 21,262,149,15,113
Jul 22,262,149,15,113
Jul 23,262,149,15,113
Jul 24,269,156,15,113
Jul 25,269,156,15,113
Jul 26,269,156,15,113
Jul 27,269,156,15,113
Jul 28,269,156,15,113
Jul 29,269,156,15,113
Jul 30,269,156,15,113
Jul 31,269,156,15,113
Aug 01,269,156,15,113
Aug 02,269,156,15,113
Aug 03,269,156,15,113
Aug 04,269,156,15,113
Aug 05,269,156,15,113
Aug 06,276,163,15,113
Aug 07,336,222,16,114
Aug 08,336,222,16,114
Aug 09,336,222,16,114
Aug 10,336,222,16,114
Aug 11,336,222,16,114
Aug 12,336,222,16,114
Aug 13,336,222,16,114
Aug 14,336,222,16,114
Aug 15,336,222,16,114
Aug 16,336,222,16,114
Aug 17,336,222,16,114
Aug 18,336,222,16,114
Aug 19,336,222,16,114
Aug 20,336,222,16,114
