Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,2,2,0,0
Mar 06,2,2,0,0
Mar 07,2,2,0,0
Mar 08,2,2,0,0
Mar 09,2,2,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,3,3,0,0
Mar 14,10,10,0,0
Mar 15,10,10,0,0
Mar 16,15,14,1,1
Mar 17,15,14,1,1
Mar 18,23,22,1,1
Mar 19,23,22,1,1
Mar 20,32,31,1,1
Mar 21,37,36,1,1
Mar 22,44,43,1,1
Mar 23,53,52,1,1
Mar 24,57,56,1,1
Mar 25,66,65,1,1
Mar 26,81,80,1,1
Mar 27,93,92,1,1
Mar 28,93,92,1,1
Mar 29,93,92,1,1
Mar 30,93,92,1,1
Mar 31,128,98,3,30
Apr 01,135,105,3,30
Apr 02,138,108,3,30
Apr 03,143,113,3,30
Apr 04,145,115,3,30
Apr 05,149,95,4,54
Apr 06,151,97,4,54
Apr 07,152,98,4,54
Apr 08,154,98,6,56
Apr 09,154,98,6,56
Apr 10,155,99,6,56
Apr 11,155,99,6,56
Apr 12,155,99,6,56
Apr 13,157,101,6,56
Apr 14,157,101,6,56
Apr 15,158,77,8,81
Apr 16,158,77,8,81
Apr 17,158,77,8,81
Apr 18,163,78,12,85
Apr 19,163,78,12,85
Apr 20,163,78,12,85
Apr 21,163,76,14,87
Apr 22,164,77,14,87
Apr 23,164,77,14,87
Apr 24,170,79,14,91
Apr 25,175,84,14,91
Apr 26,175,84,14,91
Apr 27,175,84,14,91
Apr 28,175,78,14,97
Apr 29,175,78,14,97
Apr 30,178,81,14,97
May 01,179,82,14,97
May 02,179,82,14,97
May 03,179,82,14,97
May 04,181,84,14,97
May 05,181,84,14,97
May 06,182,85,14,97
May 07,183,86,14,97
May 08,186,89,14,97
May 09,186,89,14,97
May 10,186,89,14,97
May 11,187,90,14,97
May 12,187,82,14,105
May 13,189,84,14,105
May 14,189,84,14,105
May 15,192,87,14,105
May 16,192,87,14,105
May 17,192,87,14,105
May 18,192,87,14,105
May 19,192,87,14,105
May 20,192,87,14,105
May 21,192,87,14,105
May 22,197,92,14,105
May 23,197,92,14,105
May 24,197,92,14,105
May 25,197,92,14,105
May 26,197,92,14,105
May 27,197,92,14,105
