Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,2,2,0,0
Mar 24,2,2,0,0
Mar 25,2,2,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,5,5,0,0
Mar 29,5,3,0,2
Mar 30,6,3,1,3
Mar 31,6,3,1,3
Apr 01,6,3,1,3
Apr 02,6,3,1,3
Apr 03,6,3,1,3
Apr 04,6,3,1,3
Apr 05,6,3,1,3
Apr 06,6,3,1,3
Apr 07,6,3,1,3
Apr 08,6,3,1,3
Apr 09,7,4,1,3
Apr 10,7,4,1,3
Apr 11,7,4,1,3
Apr 12,7,4,1,3
Apr 13,7,4,1,3
Apr 14,7,4,1,3
Apr 15,7,4,1,3
Apr 16,7,4,1,3
Apr 17,7,4,1,3
Apr 18,7,0,1,7
Apr 19,7,0,1,7
Apr 20,7,0,1,7
Apr 21,7,0,1,7
Apr 22,7,0,1,7
Apr 23,7,0,1,7
Apr 24,7,0,1,7
Apr 25,7,0,1,7
Apr 26,7,0,1,7
Apr 27,7,0,1,7
Apr 28,7,0,1,7
Apr 29,8,1,1,7
Apr 30,8,1,1,7
May 01,8,1,1,7
May 02,8,1,1,7
May 03,8,1,1,7
May 04,8,1,1,7
May 05,8,1,1,7
May 06,8,1,1,7
May 07,8,1,1,7
May 08,8,1,1,7
May 09,8,1,1,7
May 10,8,1,1,7
May 11,8,1,1,7
May 12,9,2,1,7
May 13,15,7,2,8
May 14,20,11,2,9
May 15,29,19,3,10
May 16,40,29,4,11
May 17,62,51,4,11
May 18,81,70,4,11
May 19,131,120,4,11
May 20,141,130,4,11
May 21,173,161,5,12
May 22,200,187,6,13
May 23,227,214,6,13
May 24,237,216,6,21
May 25,262,238,9,24
May 26,268,240,13,28
May 27,292,261,16,31
May 28,346,312,19,34
May 29,423,382,20,41
May 30,483,442,20,41
May 31,530,480,23,50
Jun 01,588,538,23,50
Jun 02,668,582,31,86
Jun 03,745,654,34,91
Jun 04,784,680,39,104
Jun 05,883,771,43,112
Jun 06,947,794,49,153
Jun 07,1049,886,55,163
Jun 08,1104,926,59,178
Jun 09,1162,962,61,200
Jun 10,1283,1070,71,213
Jun 11,1439,1115,74,324
